id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJhX-H973OBZER02VYM_jremE,https://www.google.com/maps/place/?q=place_id:ChIJhX-H973OBZER02VYM_jremE,Pollería La Hacienda,Restaurante especializado en pollo,"Av. Los Próceres 106, Lima 15107",964 239 629,+51 964 239 629,facebook.com,https://www.facebook.com/polleria.lahacienda,"-12.0210976,-77.08594579999999",4.2,,"Pollería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJf9Nbf_XPBZERPzU0UjS1l6c,https://www.google.com/maps/place/?q=place_id:ChIJf9Nbf_XPBZERPzU0UjS1l6c,Que Buen Pollo,Pollería,"Av. Germán Aguirre 520, San Martín de Porres 15103",913 195 127,+51 913 195 127,,,"-12.0134511,-77.0705334",4.8,,"Pollería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJWTkwBnPJBZER1nZ1SKa_uiQ,https://www.google.com/maps/place/?q=place_id:ChIJWTkwBnPJBZER1nZ1SKa_uiQ,Pollos y parrillas San Martin,Restaurante,"Av. Universitaria 813, San Miguel 15087",(01) 2632825,+51 1 2632825,,,"-12.0801771,-77.0821461",4.3,,"Pollería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJgTq5bCTJBZER34VxZFhYR4Y,https://www.google.com/maps/place/?q=place_id:ChIJgTq5bCTJBZER34VxZFhYR4Y,POLLERIA CARBON Y BRASAS,Pollería,"Av. Crnel Jose Leal 682, Lince 15073",950 293 079,+51 950 293 079,,,"-12.085315399999999,-77.0404259",4.2,,"Pollería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJS-xhCJzPBZERicpa38eNgzo,https://www.google.com/maps/place/?q=place_id:ChIJS-xhCJzPBZERicpa38eNgzo,CARBON CHICKEN,Restaurante,"Av. José Granda 3435, San Martín de Porres 15107",991 413 149,+51 991 413 149,facebook.com,https://www.facebook.com/profile.php?id=100088199765018&mibextid=ZbWKwL,"-12.0231155,-77.0828499",3.6,,"Pollería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJdfJzxMVlsJERPYorE307lWc,https://www.google.com/maps/place/?q=place_id:ChIJdfJzxMVlsJERPYorE307lWc,SABOR ESLABONINO,Restaurante especializado en pollo,"JR buenos aires 377, El Eslabón 22640",,,,,"-7.0218701999999995,-76.7235164",5,,"Pollería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJH4yz0LvOBZERRK7vN4EXbEE,https://www.google.com/maps/place/?q=place_id:ChIJH4yz0LvOBZERRK7vN4EXbEE,Vicky Chicken,Restaurante especializado en pollo,"Av. Lima, 3608 San Martín de Porres, Lima 15106",965 640 000,+51 965 640 000,,,"-12.028563799999999,-77.0855213",4.4,,"Pollería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJn_9n2ubPBZERnao5oQqsBGw,https://www.google.com/maps/place/?q=place_id:ChIJn_9n2ubPBZERnao5oQqsBGw,CARBON CHICKEN,Restaurante,"Av. Central Mz 137, Los Olivos 15719",929 375 290,+51 929 375 290,facebook.com,https://www.facebook.com/profile.php?id=100088199765018&mibextid=ZbWKwL,"-11.9577478,-77.07948569999999",3.9,,"Pollería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJSU7kf9PNBZERzGo2CUi7sps,https://www.google.com/maps/place/?q=place_id:ChIJSU7kf9PNBZERzGo2CUi7sps,Polleria restaurant pio pio chicken - parrilla,Restaurante,"Mz, Av. Pacasmayo 22, San Martín de Porres 15109",978 544 258,+51 978 544 258,facebook.com,https://www.facebook.com/1788242191275647?referrer=whatsapp,"-11.996900799999999,-77.1081627",3.5,,"Pollería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJn8xR48HGBZERnZjlmAIdx-Y,https://www.google.com/maps/place/?q=place_id:ChIJn8xR48HGBZERnZjlmAIdx-Y,El Cevichón,Restaurante,"Av. Huarochiri 125, Ate 15012",(01) 3481523,+51 1 3481523,elcevichon.com,http://www.elcevichon.com/,"-12.063785099999999,-76.9409371",4.2,,"Cevichería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJm2LM-PrGBZERixTMYvhJLko,https://www.google.com/maps/place/?q=place_id:ChIJm2LM-PrGBZERixTMYvhJLko,El Cevichón,Restaurante,"Centro Comercial, Av. la Molina 1167, La Molina 15024",(01) 3496907,+51 1 3496907,elcevichon.com,https://elcevichon.com/,"-12.073195799999999,-76.9555977",4.2,,"Cevichería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJDWnUj8nPBZERZFcVvsmTF08,https://www.google.com/maps/place/?q=place_id:ChIJDWnUj8nPBZERZFcVvsmTF08,Cevicheria “Entre Amigos”,Marisquería,"Jr. Víctor Llona 2972, Lima 15103",,,,,"-12.0253591,-77.07439049999999",4.6,,"Cevichería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJ7dqpzS9ksJERQ87U_Oez0E8,https://www.google.com/maps/place/?q=place_id:ChIJ7dqpzS9ksJERQ87U_Oez0E8,El Eslabón,,22640,,,,,"-7.0218871,-76.7235513",,,"Cevichería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJwxTIwhLOBZER1zdbZZSdYIE,https://www.google.com/maps/place/?q=place_id:ChIJwxTIwhLOBZER1zdbZZSdYIE,Fushion Mar,Marisquería,"Mz, Av. Canta Callao 17, San Martín de Porres 15112",(01) 5222481,+51 1 5222481,,,"-11.9750763,-77.0888624",4.2,,"Cevichería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJnX_TZgDPBZER1HKa4OvOmqE,https://www.google.com/maps/place/?q=place_id:ChIJnX_TZgDPBZER1HKa4OvOmqE,PEPPERONI PIZZA CLUB (Habich),Pizzería,"Av. Eduardo de Habich 441 B, San Martín de Porres 15103",906 901 604,+51 906 901 604,,,"-12.027100899999999,-77.0553229",4.8,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJe4EgL-rOBZERyoVoE3IUphQ,https://www.google.com/maps/place/?q=place_id:ChIJe4EgL-rOBZERyoVoE3IUphQ,Mio Nonno,Pizzería,"Av. Germán Aguirre 931, San Martín de Porres 15103",(01) 4899843,+51 1 4899843,,,"-12.0180931,-77.0736187",4.1,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJfd-8hDfPBZERqfl0KzLqimM,https://www.google.com/maps/place/?q=place_id:ChIJfd-8hDfPBZERqfl0KzLqimM,PIZZA BRAVA,Pizzería,"Av. Felipe Arancibia 486, Rímac 15094",(01) 6567501,+51 1 6567501,wa.me,https://wa.me/message/QXRQQUI62KMXG1,"-12.0304218,-77.035887",4.2,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJ_3iJDr7OBZER8aq5FD9-JeA,https://www.google.com/maps/place/?q=place_id:ChIJ_3iJDr7OBZER8aq5FD9-JeA,Pizzas Y Pastas,Pizzería,"Av. José Granda 3608, Lima 15107",(01) 5673356,+51 1 5673356,,,"-12.021868399999999,-77.0846435",4.3,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJ-0TpofDHBZER3CnImt5h5WE,https://www.google.com/maps/place/?q=place_id:ChIJ-0TpofDHBZER3CnImt5h5WE,Don Pizza,Pizzería,"Av. Aviación 4556, Santiago de Surco 15038",(01) 2609500,+51 1 2609500,facebook.com,https://www.facebook.com/Pizza.Peru/?fref=ts,"-12.1218182,-76.9985998",4.4,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJH-8HlifRBZERsGW10yWtPic,https://www.google.com/maps/place/?q=place_id:ChIJH-8HlifRBZERsGW10yWtPic,PIZZABELA,Pizzería,San Martín de Porres 15113,912 821 273,+51 912 821 273,,,"-11.9458805,-77.08653489999999",4.3,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJL8RCCzrHBZERiwAFm7HFmRU,https://www.google.com/maps/place/?q=place_id:ChIJL8RCCzrHBZERiwAFm7HFmRU,DON DINO Pizza & Pasta,Pizzería,"Av. Aviación 4963, Santiago de Surco 15034",(01) 2750806,+51 1 2750806,dondino.pe,http://www.dondino.pe/,"-12.1255521,-76.9994962",4,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJnaO4HKXOBZERlypUKwc0cqU,https://www.google.com/maps/place/?q=place_id:ChIJnaO4HKXOBZERlypUKwc0cqU,Pizzas & Pastas Smith,Pizzería,"Av. Perú 4080, San Martín de Porres 15106",(01) 5387184,+51 1 5387184,sites.google.com,https://sites.google.com/view/pizzassmith/p%C3%A1gina-principal,"-12.0298761,-77.0930516",4.1,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJZ6H6THS4BZER9D8U0nGvzyk,https://www.google.com/maps/place/?q=place_id:ChIJZ6H6THS4BZER9D8U0nGvzyk,DON DINO Pizza & Pasta,Pizzería,"Ca. Mercaderes 300, Santiago de Surco 15039",(01) 2750806,+51 1 2750806,dondino.pe,http://www.dondino.pe/,"-12.1310834,-76.9835322",4.3,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJM6XYQEHPBZERVuLOTDHjx2Q,https://www.google.com/maps/place/?q=place_id:ChIJM6XYQEHPBZERVuLOTDHjx2Q,NONNO PIZZA,Pizzería,"Av. Daniel Alcides Carrión 1193, Lima 15108",940 633 630,+51 940 633 630,facebook.com,https://www.facebook.com/Nonnopizzaperu/,"-11.9896164,-77.0960417",4,,"Pizzería en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJMe5rbJrJBZER9T6u3DHSqZE,https://www.google.com/maps/place/?q=place_id:ChIJMe5rbJrJBZER9T6u3DHSqZE,El Chifa,Restaurante,"WXJP+553, Lima 15018",,,,,"-12.0696085,-77.0145886",3.5,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJG8SyhrDIBZERw_CKiSiymWM,https://www.google.com/maps/place/?q=place_id:ChIJG8SyhrDIBZERw_CKiSiymWM,Chifa San Joy Lao,Restaurante cantonés,"Jr. Ucayali 779, Lima 15001",(01) 4267799,+51 1 4267799,chifasanjoylao.com,http://www.chifasanjoylao.com/,"-12.0513173,-77.0250128",4.1,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJzW-Fg7DIBZERjLJeLeOYezw,https://www.google.com/maps/place/?q=place_id:ChIJzW-Fg7DIBZERjLJeLeOYezw,Fung Yen S R L,Restaurante chino,"Jr. Ucayali 744, Lima 15001",514270945,+51 514270945,fungyen.com,http://www.fungyen.com/,"-12.0512648,-77.02534229999999",4.1,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJKd9cPsjIBZERViIaATmau74,https://www.google.com/maps/place/?q=place_id:ChIJKd9cPsjIBZERViIaATmau74,Food Town Restaurante,Restaurante,"Jirón de la Unión 850, Lima 15001",(01) 4282318,+51 1 4282318,,,"-12.050416,-77.0345651",3.9,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJOWbgf7rIBZERUNQl-qlCf_Y,https://www.google.com/maps/place/?q=place_id:ChIJOWbgf7rIBZERUNQl-qlCf_Y,Salon Capon,Restaurante cantonés,"Jr. Paruro 819, Lima 15001",(01) 4269286,+51 1 4269286,facebook.com,https://www.facebook.com/ChifaSalonCapon/,"-12.0517136,-77.0247804",4.1,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJf0_xH4LPBZERElmBr7PMgX4,https://www.google.com/maps/place/?q=place_id:ChIJf0_xH4LPBZERElmBr7PMgX4,Chifa-Polleria Fu Yun,Restaurante chino,"Jr. Callao 580, San Martín de Porres 15106",989 173 897,+51 989 173 897,,,"-12.031906699999999,-77.0868067",4.3,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJzwRpe7nOBZERVdJJ-kCu7PA,https://www.google.com/maps/place/?q=place_id:ChIJzwRpe7nOBZERVdJJ-kCu7PA,Chifa Xin Yan,Restaurante chino,"Av Lima 3510, San Martín de Porres 15106",965 640 000,+51 965 640 000,,,"-12.0286175,-77.0847538",4.2,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJp1kC2VbIBZERIMx4GW7o3ls,https://www.google.com/maps/place/?q=place_id:ChIJp1kC2VbIBZERIMx4GW7o3ls,Chifa Royal,Restaurante cantonés,"Av. Guillermo Prescott 231, San Isidro 15076",(01) 4229547,+51 1 4229547,restauranteroyal.com,http://www.restauranteroyal.com/,"-12.0910086,-77.0479989",4.2,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJY8hAvY_JBZER1BX9nOcSqLw,https://www.google.com/maps/place/?q=place_id:ChIJY8hAvY_JBZER1BX9nOcSqLw,Chifa Martin,Comida china para llevar,"12.0428229, -77.0485310, Lima 15079",942 853 355,+51 942 853 355,m.facebook.com,https://m.facebook.com/Chifanorma/,"-12.0428439,-77.0486008",4.3,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJA8UAPjTFBZER5_b_VrgJNFE,https://www.google.com/maps/place/?q=place_id:ChIJA8UAPjTFBZER5_b_VrgJNFE,CHIFA CAPON,Restaurante chino,"Av. San Martín 370, San Juan de Lurigancho 15419",(01) 7756512,+51 1 7756512,,,"-11.9715531,-76.9973522",3.9,,"Chifa en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJ37FbO6jFBZER2UxZUjkHzT0,https://www.google.com/maps/place/?q=place_id:ChIJ37FbO6jFBZER2UxZUjkHzT0,Ohashi maki sjl,Restaurante japonés,"Av. Los Jardines Oeste 269, San Juan de Lurigancho 15427",,,ohashimaki.pe,https://ohashimaki.pe/,"-12.007892,-77.009534",4.2,,"Makis en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJrWK8m-LIBZER3wPdeYNSNL8,https://www.google.com/maps/place/?q=place_id:ChIJrWK8m-LIBZER3wPdeYNSNL8,Ohashi Maki,Restaurante japonés,"Av. Simón Bolívar 311, Pueblo Libre 15084",(01) 5923284,+51 1 5923284,ohashimaki.pe,http://www.ohashimaki.pe/,"-12.073632,-77.055977",4.2,,"Makis en el distrito de El Eslabón, Huallaga , San Martín, Perú"
ChIJa5DHCYvIBZERKgHs_MW7sMg,https://www.google.com/maps/place/?q=place_id:ChIJa5DHCYvIBZERKgHs_MW7sMg,Ohashi Maki,Restaurante,"Av. Francisco Lazo 1798, Lince 15046",(01) 2652684,+51 1 2652684,facebook.com,https://www.facebook.com/ohashimaki.lince/,"-12.0817763,-77.0307626",4.3,,"Makis en el distrito de El Eslabón, Huallaga , San Martín, Perú"
