id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJqyHDHQDFBZEROTwn0Ipw0WI,https://www.google.com/maps/place/?q=place_id:ChIJqyHDHQDFBZEROTwn0Ipw0WI,Mr. Chino Chicken Pollos a la Brasa,Tienda de aves de corral,"X2GC+4GH, San Juan de Lurigancho 15457",931 920 484,+51 931 920 484,,,"-12.0247092,-76.978636",3,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
ChIJf9Nbf_XPBZERPzU0UjS1l6c,https://www.google.com/maps/place/?q=place_id:ChIJf9Nbf_XPBZERPzU0UjS1l6c,Que Buen Pollo,Pollería,"Av. Germán Aguirre 520, San Martín de Porres 15103",913 195 127,+51 913 195 127,,,"-12.0134511,-77.0705334",4.8,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
ChIJxVFMPWzFBZERG_FgyGEICuA,https://www.google.com/maps/place/?q=place_id:ChIJxVFMPWzFBZERG_FgyGEICuA,Chugurano Chicken,Restaurante,"Av. San Martín 799, San Juan de Lurigancho 15438, Av. San Martín 734, San Juan de Lurigancho 15404",(01) 3870029,+51 1 3870029,,,"-11.978582999999999,-76.9923404",4.2,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
ChIJpfktvpPFBZER9RT3KBZaYvs,https://www.google.com/maps/place/?q=place_id:ChIJpfktvpPFBZER9RT3KBZaYvs,El shaday pollos y parrillas,Tienda de aves de corral,"Av. Héroes del Cenepa Oeste, San Juan de Lurigancho 00051",933 445 280,+51 933 445 280,,,"-11.9573883,-76.989419",2,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
ChIJ2WUyHqu5BZER8V3RNvP007I,https://www.google.com/maps/place/?q=place_id:ChIJ2WUyHqu5BZER8V3RNvP007I,Pollería El Choche,,"R2GM+G4R, Av. César Canevaro, Lima 15824",,,,,"-12.1736484,-76.9672357",5,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
ChIJN24wQEK5BZERolQLjnBtgKU,https://www.google.com/maps/place/?q=place_id:ChIJN24wQEK5BZERolQLjnBtgKU,Pollería Pío Che,Restaurante especializado en pollo,"R2GM+65X, G, San Juan de Miraflores 15824",,,,,"-12.1743764,-76.9670143",5,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
ChIJ99ZQCi3XBZER9X0hmIqttns,https://www.google.com/maps/place/?q=place_id:ChIJ99ZQCi3XBZER9X0hmIqttns,Riveras chicken,Restaurante,"5WCX+52Q, Av. los Constructores, Carabayllo 15122",936 647 082,+51 936 647 082,,,"-11.829536599999999,-77.0523802",5,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
ChIJobbHVWG5BZERCEq1VfM1wsg,https://www.google.com/maps/place/?q=place_id:ChIJobbHVWG5BZERCEq1VfM1wsg,Polleria Pio Che,Restaurante,"Av. Miguel Iglesias, San Juan de Miraflores 15829",933 811 638,+51 933 811 638,,,"-12.184800099999999,-76.96049049999999",3.9,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
ChIJ2QF-aMTRBZERLqJrkmigPdU,https://www.google.com/maps/place/?q=place_id:ChIJ2QF-aMTRBZERLqJrkmigPdU,Polleria riveras chicken,Restaurante,"Av. Túpac Amaru 489, Carabayllo 15313",903 352 387,+51 903 352 387,,,"-11.9029697,-77.0309255",4.6,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
ChIJl-MAYxzXBZERNR-6O0m0cxc,https://www.google.com/maps/place/?q=place_id:ChIJl-MAYxzXBZERNR-6O0m0cxc,Pollería,Restaurante,"Cal. G Mz. A, Carabayllo 15319",970 595 885,+51 970 595 885,,,"-11.860025799999999,-77.0157846",4.3,,"Pollería en el distrito de Sacanche, Huallaga , San Martín, Perú"
