id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJOTU--XJssJERQd_JZYoG-eI,https://www.google.com/maps/place/?q=place_id:ChIJOTU--XJssJERQd_JZYoG-eI,Polleria Casablanca,Restaurante especializado en pollo,"Jirón Huallaga 322, Juanjuí 22601",,,,,"-7.1806719999999995,-76.724516",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJtX_-BXNssJERRiugPiyYfuc,https://www.google.com/maps/place/?q=place_id:ChIJtX_-BXNssJERRiugPiyYfuc,Polleria Don Rafa Juanjui,Restaurante,"Jirón Huallaga 434, Juanjuí 22601",,,,,"-7.180674,-76.72560899999999",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJPSgQhXRssJERpZMupIGx1UA,https://www.google.com/maps/place/?q=place_id:ChIJPSgQhXRssJERpZMupIGx1UA,Polleria La Colmena,Restaurante peruano,"Jirón Libertad 316, Juanjuí 22601",,,,,"-7.1800109999999995,-76.728568",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJSbO_4KdtsJERWf2ye9qpr58,https://www.google.com/maps/place/?q=place_id:ChIJSbO_4KdtsJERWf2ye9qpr58,Pollos & Parrillas Kandelos,Restaurante,"Jirón Huallaga 966, Juanjuí 22601",,,,,"-7.1805319999999995,-76.72992099999999",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJjVzJXnNssJERBbw3AkF15BA,https://www.google.com/maps/place/?q=place_id:ChIJjVzJXnNssJERBbw3AkF15BA,Restaurant Cevichería Pollería Leo Ross,Restaurante peruano,"Jr. 2 de Mayo # 460, Prolongacion 2 dos De Mayo 460, Juanjuí",,,,,"-7.17918,-76.727527",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJM3yJIgBtsJERmMbAV5kfny0,https://www.google.com/maps/place/?q=place_id:ChIJM3yJIgBtsJERmMbAV5kfny0,Pollería el Gool,Restaurante,"Jr, Triunfo 472, Juanjuí",,,,,"-7.17998,-76.725025",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJj_cs83RssJERDenWkRAjw5w,https://www.google.com/maps/place/?q=place_id:ChIJj_cs83RssJERDenWkRAjw5w,Polleria Ben 10,Restaurante,"R79C+QH4, Jirón Huallaga, Juanjuí 22601",,,,,"-7.1806,-76.72854099999999",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJkV7me3NssJERwHX2o0twLSk,https://www.google.com/maps/place/?q=place_id:ChIJkV7me3NssJERwHX2o0twLSk,Polleria & Churrasqueria el Torito,Restaurante peruano,"Jirón Huallaga 695, Juanjuí 22601",,,facebook.com,https://www.facebook.com/torito.rodriguezllatas?mibextid=ZbWKwL,"-7.180732,-76.727432",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJjaoKj3RssJERQo3hdp6sRSQ,https://www.google.com/maps/place/?q=place_id:ChIJjaoKj3RssJERQo3hdp6sRSQ,Restaurant Polleria El Rey,Restaurante peruano,"Jirón Libertad 384, Juanjuí 22621",,,,,"-7.179961,-76.728413",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJifct9C9rsJERFidsKIiuTVs,https://www.google.com/maps/place/?q=place_id:ChIJifct9C9rsJERFidsKIiuTVs,polleria KANDELO'S,Restaurante,"Jirón Huallaga 1519, Juanjuí 22601",,,facebook.com,https://www.facebook.com/elarstv,"-7.180516,-76.735051",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJ8x0_DL5tsJERzJfm4Pjee_k,https://www.google.com/maps/place/?q=place_id:ChIJ8x0_DL5tsJERzJfm4Pjee_k,El Candelon Pollos y Parrillas,Pollería,"Jirones la Merced, Juanjuí 22601",,,,,"-7.179854,-76.72610499999999",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJX7-ogDttsJERoAgshNcWaYg,https://www.google.com/maps/place/?q=place_id:ChIJX7-ogDttsJERoAgshNcWaYg,Polleria PENTAGONITO,Restaurante,"Jr. Alfonso Ugarte 238, Juanjuí 22601",,,,,"-7.180371,-76.724288",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJz5bD9wJtsJERLOM9HoXQhdg,https://www.google.com/maps/place/?q=place_id:ChIJz5bD9wJtsJERLOM9HoXQhdg,"Brasas y parrillas ""QUE POLLO""",Restaurante familiar,"R7FC+QG9, Jirón Libertad, Juanjuí 22601",,,,,"-7.175586999999999,-76.728627",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJ9SD7OaltsJERwcwah9i8oGg,https://www.google.com/maps/place/?q=place_id:ChIJ9SD7OaltsJERwcwah9i8oGg,Pollos & Parrillas Kandelos,Restaurante,"Jirones la Merced 432, Juanjuí 22601",,,,,"-7.179315,-76.72599199999999",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJydFbNyJtsJER1dgkwcvbH_I,https://www.google.com/maps/place/?q=place_id:ChIJydFbNyJtsJER1dgkwcvbH_I,polleria La Tuchpa,Restaurante especializado en pollo,"Al costado de la losa deportiva, Malecon Puerto Amberes 326, Juanjuí 22601",,,,,"-7.183879999999999,-76.727074",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
ChIJfQs77Y1tsJERfYgf1ouiYbE,https://www.google.com/maps/place/?q=place_id:ChIJfQs77Y1tsJERfYgf1ouiYbE,Pollería super diez,Restaurante especializado en pollo,"Jirones la Merced 401, Juanjuí 22601",,,,,"-7.179703,-76.726019",,,"Pollería en el distrito de Juanjuí, Mariscal Cáceres , San Martín, Perú"
