id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJK48IkyfFBZERWNOZl7GRrok,https://www.google.com/maps/place/?q=place_id:ChIJK48IkyfFBZERWNOZl7GRrok,Walpa Chicken - Campoy,Restaurante,"Av. S. Martín, San Juan de Lurigancho 15457",924 068 913,+51 924 068 913,walpachicken.com,http://www.walpachicken.com/,"-12.0241895,-76.96800069999999",3.5,,"Pollería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJ54WveVDPBZER9XLTcEUu9ig,https://www.google.com/maps/place/?q=place_id:ChIJ54WveVDPBZER9XLTcEUu9ig,Walpa Chicken - Las Flores,Restaurante,"Av. Las Flores de Primavera 1766, San Juan de Lurigancho 15408",923 810 239,+51 923 810 239,walpachicken.com,http://www.walpachicken.com/,"-11.9994705,-77.0138334",4.2,,"Pollería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJWTYvSvWHupERtLDSg-qWEOA,https://www.google.com/maps/place/?q=place_id:ChIJWTYvSvWHupERtLDSg-qWEOA,Polleria Raquel,Pollería,"Jiron Picota 517, Picota",989 651 136,+51 989 651 136,,,"-6.9190513,-76.3311002",4.4,,"Pollería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJH4yz0LvOBZERRK7vN4EXbEE,https://www.google.com/maps/place/?q=place_id:ChIJH4yz0LvOBZERRK7vN4EXbEE,Vicky Chicken,Restaurante especializado en pollo,"Av. Lima, 3608 San Martín de Porres, Lima 15106",965 640 000,+51 965 640 000,,,"-12.028563799999999,-77.0855213",4.4,,"Pollería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJxxpqCpXIBZERMO_A4so2qEs,https://www.google.com/maps/place/?q=place_id:ChIJxxpqCpXIBZERMO_A4so2qEs,Restaurante Vicky,Tienda de aves de corral,"Av. Iquitos 501, La Victoria 15033",(01) 3322795,+51 1 3322795,,,"-12.0648631,-77.0305328",4.1,,"Pollería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJhf1EVwC5BZERjaW8nGy3heA,https://www.google.com/maps/place/?q=place_id:ChIJhf1EVwC5BZERjaW8nGy3heA,TULLPA POLLOS A LA BRASA,Restaurante especializado en pollo,"R342+H9X, Av. 1ro de Mayo, Villa EL Salvador 15828",908 812 112,+51 908 812 112,,,"-12.1935191,-76.9490639",4.6,,"Pollería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJJzmrRK6HupERFobVf676quw,https://www.google.com/maps/place/?q=place_id:ChIJJzmrRK6HupERFobVf676quw,Chicken Burger Janet,Restaurante familiar,"Túpac Amaru 118, Picota 22430",993 631 544,+51 993 631 544,facebook.com,https://www.facebook.com/chickenburgerjanet/,"-6.9221762,-76.3292183",4,,"Pollería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJ38WdGSvMBZER6Z09O2zQhz0,https://www.google.com/maps/place/?q=place_id:ChIJ38WdGSvMBZER6Z09O2zQhz0,LEO POLLOS Chifa,Restaurante,"Av. Colectora, Callao 07036",(01) 5942552,+51 1 5942552,,,"-12.0011668,-77.1058565",3.7,,"Pollería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJnX_TZgDPBZER1HKa4OvOmqE,https://www.google.com/maps/place/?q=place_id:ChIJnX_TZgDPBZER1HKa4OvOmqE,PEPPERONI PIZZA CLUB (Habich),Pizzería,"Av. Eduardo de Habich 441 B, San Martín de Porres 15103",906 901 604,+51 906 901 604,,,"-12.027100899999999,-77.0553229",4.8,,"Pizzería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJQfpbQLrOBZERfae1csRbjY0,https://www.google.com/maps/place/?q=place_id:ChIJQfpbQLrOBZERfae1csRbjY0,Papizza Al Taglio!,Pizzería,"XW97+Q7P, Av. Perú, Lima 15106",968 141 575,+51 968 141 575,,,"-12.0305257,-77.08680509999999",4.2,,"Pizzería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJezoOdCvGBZERhqKmO2cRLc0,https://www.google.com/maps/place/?q=place_id:ChIJezoOdCvGBZERhqKmO2cRLc0,La Santa Pizza,Pizzería,"Av. Canadá 1387, La Victoria 15034",932 425 979,+51 932 425 979,lasantapizza.pe,http://lasantapizza.pe/,"-12.0845895,-77.00927469999999",4.5,,"Pizzería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJBdzcwgvDBZEREgmX8eIELL0,https://www.google.com/maps/place/?q=place_id:ChIJBdzcwgvDBZEREgmX8eIELL0,Pizzería La Sabrosa - Huachipa,Pizzería,"15457, huachipa 15457",918 488 404,+51 918 488 404,,,"-12.016944899999999,-76.9166508",4,,"Pizzería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJM6o8ycnJBZER6ofCBPRXnwA,https://www.google.com/maps/place/?q=place_id:ChIJM6o8ycnJBZER6ofCBPRXnwA,La Italiana Pizzería,Pizzería,"Av. República de Chile 289, Lima 15072",958 057 189,+51 958 057 189,facebook.com,https://www.facebook.com/share/1AC6dmVNbh/?mibextid=wwXIfr,"-12.06683,-77.037922",4.2,,"Pizzería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJ3fjkmF-5BZER9rUqCYBsiz0,https://www.google.com/maps/place/?q=place_id:ChIJ3fjkmF-5BZER9rUqCYBsiz0,Pizzpas,Restaurante,"Q3P6+7FR, Villa EL Salvador 15834",997 462 387,+51 997 462 387,facebook.com,https://www.facebook.com/PizzPasPeru/,"-12.2142507,-76.9388635",4,,"Pizzería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJD7P8NMvaBZERNjNo5XMubjU,https://www.google.com/maps/place/?q=place_id:ChIJD7P8NMvaBZERNjNo5XMubjU,LA PIZZOTA,Pizzería,"15412, San Juan de Lurigancho 15412",923 829 998,+51 923 829 998,,,"-11.948978,-76.98324939999999",4,,"Pizzería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJTVfyYrHDBZER6rl_cz3lwhA,https://www.google.com/maps/place/?q=place_id:ChIJTVfyYrHDBZER6rl_cz3lwhA,Pizza el Cesar,Pizzería,"01 Ate Gobierno Regional de Lima, LIMA 01",956 504 106,+51 956 504 106,bit.ly,http://bit.ly/RealizaTuPedidoPizzaelCesar,"-12.0301771,-76.88868819999999",4.5,,"Pizzería en el distrito de Caspisapa, Picota , San Martín, Perú"
ChIJVQJGyfzIBZERAsqnnZv48lY,https://www.google.com/maps/place/?q=place_id:ChIJVQJGyfzIBZERAsqnnZv48lY,PIZZA RAÚL GARZON,Pizzería,"Av. Gral. Eugenio Garzón 1523, Jesús María 15072",(01) 2078130,+51 1 2078130,pizzaraul.com,https://www.pizzaraul.com/,"-12.0753118,-77.052027",3.9,,"Pizzería en el distrito de Caspisapa, Picota , San Martín, Perú"
