id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJox3UWekNupERQHQKlxrfyhU,https://www.google.com/maps/place/?q=place_id:ChIJox3UWekNupERQHQKlxrfyhU,La Canga | Pollos y Parrillas | Pollería en Tarapoto,Restaurante peruano,"Fernando Belaunde Terry 161, Tarapoto 22200",(042) 524084,+51 42 524084,,,"-6.491202899999999,-76.3559441",4.3,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJdzRhKwANupER3p72FjUa0DM,https://www.google.com/maps/place/?q=place_id:ChIJdzRhKwANupER3p72FjUa0DM,Pollería Isisi,Tienda de aves de corral,"Pajaten 178, Tarapoto 22202",,,,,"-6.4925162,-76.3488833",5,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJZXNDNAANupERzSKD-8IRV7E,https://www.google.com/maps/place/?q=place_id:ChIJZXNDNAANupERzSKD-8IRV7E,Pollería D'CASA,Tienda de aves de corral,"Maximiliano Murrieta 195, Tarapoto 22202",917 057 327,+51 917 057 327,,,"-6.4849961,-76.3537558",,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJXafDfYQNupERzI2MoGE7icg,https://www.google.com/maps/place/?q=place_id:ChIJXafDfYQNupERzI2MoGE7icg,Super Gordo,Restaurante especializado en pollo,"Jr. Perú 157, Tarapoto 22202",904 723 241,+51 904 723 241,,,"-6.4917063,-76.3555868",4.3,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJ4UdVTgANupERs1t2dssjYpU,https://www.google.com/maps/place/?q=place_id:ChIJ4UdVTgANupERs1t2dssjYpU,El Buen Pollo,Restaurante especializado en pollo,"Jr. Yurimaguas 504, Tarapoto 22200",,,,,"-6.491872799999999,-76.3535169",5,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJ1VwDbAANupER8ZXLfDjKoHw,https://www.google.com/maps/place/?q=place_id:ChIJ1VwDbAANupER8ZXLfDjKoHw,Criss pollos a la brasa,Restaurante especializado en pollo,"Jr. Amazonas 479, Tarapoto 22202",918 933 178,+51 918 933 178,facebook.com,https://www.facebook.com/share/1BkZAkDGzX/,"-6.4912243,-76.3533308",,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJR8Px1voNupERgNkzbBFB5W0,https://www.google.com/maps/place/?q=place_id:ChIJR8Px1voNupERgNkzbBFB5W0,PapiPollo Tpp,Pollería,"Jirón Jimenez Pimentel 544, Tarapoto 22202",948 634 014,+51 948 634 014,,,"-6.4882976,-76.3511223",5,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJJ94OVA4MupERvxMJdIEaQsc,https://www.google.com/maps/place/?q=place_id:ChIJJ94OVA4MupERvxMJdIEaQsc,El Batán - Restaurante y Pollería,Restaurante,"Jr. Yurimaguas 320, Tarapoto 22200",900 407 548,+51 900 407 548,,,"-6.490715499999999,-76.3546717",4.2,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJzez6vQ0MupERYze5oXCnDE0,https://www.google.com/maps/place/?q=place_id:ChIJzez6vQ0MupERYze5oXCnDE0,Torres Polleria,,"Ex Ctra. Yurimaguas 363, Tarapoto 22202",,,,,"-6.494575299999999,-76.3536362",4,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJA-mSawANupERMK56lS7traA,https://www.google.com/maps/place/?q=place_id:ChIJA-mSawANupERMK56lS7traA,Selva Brasa,Restaurante especializado en pollo,"Jirón Francisco Bolognesi 285, Tarapoto 22202",,,,,"-6.491092999999999,-76.3430054",,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJkYoEKwANupERPED1f-4AdTA,https://www.google.com/maps/place/?q=place_id:ChIJkYoEKwANupERPED1f-4AdTA,Pollería La Y,Restaurante,"FJQV+5GJ, Tarapoto 22200",,,,,"-6.5120482,-76.3562465",,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJu7swaggMupERMfMZ0Vnp3OY,https://www.google.com/maps/place/?q=place_id:ChIJu7swaggMupERMfMZ0Vnp3OY,La Canga | Pollos y Parrillas | Pollería en Tarapoto,Restaurante,"Jirón Martínez de Compañón 309, Tarapoto 22202",(042) 524084,+51 42 524084,,,"-6.4890799999999995,-76.361992",4,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJ632fT6MNupERFoiqrUDt7JA,https://www.google.com/maps/place/?q=place_id:ChIJ632fT6MNupERFoiqrUDt7JA,Pollon Dorado,Tienda de aves de corral,"Atahualpa cuadra 4, Tarapoto 22202",931 396 978,+51 931 396 978,,,"-6.4953192,-76.35392689999999",1,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJRdZcbQANupERiLgDh1BoKhY,https://www.google.com/maps/place/?q=place_id:ChIJRdZcbQANupERiLgDh1BoKhY,"Pollería ""La Pascana"". Un hermoso lugar con vista a la Banda de Shilcayo. Ambientación, de madera, acojedora.",Restaurante especializado en pollo,"Jr. Moyobamba 257, Tarapoto 22200",,,,,"-6.488785399999999,-76.3582322",3.7,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJ8266Y0ULupERFt4xhhs7Tvg,https://www.google.com/maps/place/?q=place_id:ChIJ8266Y0ULupERFt4xhhs7Tvg,Pollería Restaurante El Galpón,Pollería,"Miraflores 697, Tarapoto 22202",993 011 293,+51 993 011 293,,,"-6.4865732,-76.3510989",1,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
ChIJUTN_JFkNupER3-isISnTzdk,https://www.google.com/maps/place/?q=place_id:ChIJUTN_JFkNupER3-isISnTzdk,EL BUEN SABOR,Restaurante,Tarapoto 22202,966 817 141,+51 966 817 141,,,"-6.498183099999999,-76.3499483",4.4,,"Pollería en el distrito de La Banda de Shilcayo, San Martín , San Martín, Perú"
