id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJY1-ELXfFWpERgKyV-sycjKY,https://www.google.com/maps/place/?q=place_id:ChIJY1-ELXfFWpERgKyV-sycjKY,POLLERIA GRAN CONQUISTADOR GRILL TACNA,Restaurante,"Av. Francisco De Zela, N:802 23003",949 717 915,+51 949 717 915,facebook.com,https://www.facebook.com/profile.php?id=100066652810952,"-17.998390399999998,-70.2219574",3.5,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
ChIJn2j6OKXFWpER_yl1AKOXAfg,https://www.google.com/maps/place/?q=place_id:ChIJn2j6OKXFWpER_yl1AKOXAfg,La Gran Polleria,Pollería,"2Q3F+CH7, Av. Circunvalación Este, Tacna 23001",920 615 535,+51 920 615 535,facebook.com,https://www.facebook.com/LaGranPolleriaTacna?mibextid=ZbWKwL,"-17.9964646,-70.2260718",3.7,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
ChIJJ3tge3zPWpERmc2-ADTUnsM,https://www.google.com/maps/place/?q=place_id:ChIJJ3tge3zPWpERmc2-ADTUnsM,Polleria el Pollon,Restaurante,Tacna 23001,(052) 245788,+51 52 245788,,,"-18.0071068,-70.24604029999999",4,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
ChIJ3UHaPXXFWpER3dPqrR-7Ln0,https://www.google.com/maps/place/?q=place_id:ChIJ3UHaPXXFWpER3dPqrR-7Ln0,Pic Pic Matty,Restaurante,"Av. Francisco De Zela 1252, Tacna 23003",(052) 426731,+51 52 426731,,,"-17.9941398,-70.2183706",4.2,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
ChIJb8-lF33PWpER7nu3r59bIgE,https://www.google.com/maps/place/?q=place_id:ChIJb8-lF33PWpER7nu3r59bIgE,Rolys Polleria,Restaurante,"Frente a la parroquia Espiritu Santo, Av. San Martin 1199, Tacna 23001",(052) 425333,+51 52 425333,,,"-18.0083943,-70.24308119999999",4.1,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
ChIJNeq3G33PWpERRhPfkVpE7sU,https://www.google.com/maps/place/?q=place_id:ChIJNeq3G33PWpERRhPfkVpE7sU,"REST. CAMPESTRE ""LA HUERTA""",Restaurante,"Av. Francisco De Zela 1327, Tacna 23003",,,,,"-17.9935138,-70.21754349999999",3.7,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
ChIJzSbubYLPWpERsgh2oG7IAF0,https://www.google.com/maps/place/?q=place_id:ChIJzSbubYLPWpERsgh2oG7IAF0,"""Chicken a las brasas"" Polleria",Restaurante,"Industrial 1023, Tacna 23001",982 942 629,+51 982 942 629,,,"-17.9983297,-70.2486225",3.7,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
ChIJW1VFZ37PWpERsf-jVGgdXP4,https://www.google.com/maps/place/?q=place_id:ChIJW1VFZ37PWpERsf-jVGgdXP4,Polleria Super Pollo,Restaurante,"Gustavo Pinto 440, Tacna 23001",,,,,"-18.002983099999998,-70.2434567",3.6,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
ChIJ_VXoevTFWpERvGMcyRUYFqg,https://www.google.com/maps/place/?q=place_id:ChIJ_VXoevTFWpERvGMcyRUYFqg,Polleria El Fogón,Restaurante,"196, Tacna 23002",(052) 616802,+51 52 616802,,,"-17.9802385,-70.2331731",3.8,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
ChIJ6SbwBWTFWpERt09Ul8l1QXU,https://www.google.com/maps/place/?q=place_id:ChIJ6SbwBWTFWpERt09Ul8l1QXU,Polleria El Rancho,Restaurante,"2Q98+F7C, Tacna 23002",,,,,"-17.9813174,-70.2343697",3.8,,"Pollería en el distrito de Pocollay, Tacna , Tacna, Perú"
