id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJzSbubYLPWpERsgh2oG7IAF0,https://www.google.com/maps/place/?q=place_id:ChIJzSbubYLPWpERsgh2oG7IAF0,"""Chicken a las brasas"" Polleria",Restaurante,"Industrial 1023, Tacna 23001",982 942 629,+51 982 942 629,,,"-17.9983297,-70.2486225",3.7,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
ChIJJ3tge3zPWpERmc2-ADTUnsM,https://www.google.com/maps/place/?q=place_id:ChIJJ3tge3zPWpERmc2-ADTUnsM,Polleria el Pollon,Restaurante,Tacna 23001,(052) 245788,+51 52 245788,,,"-18.0071068,-70.24604029999999",4,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
ChIJb8-lF33PWpER7nu3r59bIgE,https://www.google.com/maps/place/?q=place_id:ChIJb8-lF33PWpER7nu3r59bIgE,Rolys Polleria,Restaurante,"Frente a la parroquia Espiritu Santo, Av. San Martin 1199, Tacna 23001",(052) 425333,+51 52 425333,,,"-18.0083943,-70.24308119999999",4.1,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
ChIJt-wAXnnPWpERu5yAhtpXVGU,https://www.google.com/maps/place/?q=place_id:ChIJt-wAXnnPWpERu5yAhtpXVGU,Polleria Tradicion,Restaurante,"XQW2+8QG, San Carlos, Tacna 23001",(052) 241237,+51 52 241237,tradicion.pe,https://www.tradicion.pe/,"-18.004199399999997,-70.2480356",4.1,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
ChIJcVnKV4PPWpERxN9ivnJ7EN0,https://www.google.com/maps/place/?q=place_id:ChIJcVnKV4PPWpERxN9ivnJ7EN0,Pollería Cutimbo - Tacna,Restaurante,Tacna 23002,952 520 099,+51 952 520 099,,,"-17.9939203,-70.25210799999999",3.6,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
ChIJcXaITGbFWpERPl6ctUEDYLQ,https://www.google.com/maps/place/?q=place_id:ChIJcXaITGbFWpERPl6ctUEDYLQ,Rey Dorado Ciudad Nueva,Restaurante especializado en pollo,"v internacional comite 21 mz 82 Lt 07, Tacna 23004",994 360 676,+51 994 360 676,reydoradoperu.com,http://www.reydoradoperu.com/,"-17.9812273,-70.234299",4,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
ChIJSRlvXX7PWpERqXrwhZhvwig,https://www.google.com/maps/place/?q=place_id:ChIJSRlvXX7PWpERqXrwhZhvwig,Polleria el mas rico,Restaurante especializado en pollo,"Francisco Paula Vigil 1045, Tacna 23000",,,,,"-18.002728599999998,-70.2431502",3.6,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
ChIJS1lMHGTFWpERgNJggSFKmPs,https://www.google.com/maps/place/?q=place_id:ChIJS1lMHGTFWpERgNJggSFKmPs,POLLERIA CHAMBI,Restaurante,"Los Proceres con, Tacna 23002",944 444 734,+51 944 444 734,,,"-17.980865599999998,-70.2340059",3.5,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
ChIJdxr5XHzPWpEREB0r-_lK4no,https://www.google.com/maps/place/?q=place_id:ChIJdxr5XHzPWpEREB0r-_lK4no,Pollos y Carnes Chave,Restaurante,"Av. Augusto B Leguia 1095, Tacna 23000",(052) 428311,+51 52 428311,pollosycarneschave.com,https://www.pollosycarneschave.com/,"-18.0067272,-70.2450707",4.1,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
ChIJPaFoWoPPWpERYGLfrgzSuQ4,https://www.google.com/maps/place/?q=place_id:ChIJPaFoWoPPWpERYGLfrgzSuQ4,Polleria EL DORADITO,Tienda de aves de corral,"Juan Velasco Alvarado MZ A LT 14, 23000",917 676 487,+51 917 676 487,,,"-17.9941215,-70.2519112",3.4,,"Pollería en el distrito de Sama, Tacna , Tacna, Perú"
