id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJa5D9XvHJBZERSBq_F06ngSU,https://www.google.com/maps/place/?q=place_id:ChIJa5D9XvHJBZERSBq_F06ngSU,RESTAURANTE CEVICHERÍA VESIQUE BEACH,Restaurante,"Jr. Huánuco 1458, La Victoria 15018",963 738 784,+51 963 738 784,,,"-12.0620189,-77.0153899",5,,"Cevichería en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJhdx2e9zFWpERdvEBRDjk4KY,https://www.google.com/maps/place/?q=place_id:ChIJhdx2e9zFWpERdvEBRDjk4KY,🌞 INTI - MAR 🐟 CEVICHERIA TACNA 🇵🇪 RESTAURANT,Restaurante peruano,"Hermanos Carcamo, Tacna 23002",,,,,"-17.9827381,-70.2302033",3.2,,"Cevichería en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJR_lhM4fFWpERZBADH0Nq5rM,https://www.google.com/maps/place/?q=place_id:ChIJR_lhM4fFWpERZBADH0Nq5rM,Cevicheria Secretos Del Mar,Restaurante,"Av. Augusto B Leguia 1735, Tacna 23001",952 291 733,+51 952 291 733,,,"-18.0038904,-70.2389706",3.7,,"Cevichería en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJealCQWfPWpEROQxx-CCv2f4,https://www.google.com/maps/place/?q=place_id:ChIJealCQWfPWpEROQxx-CCv2f4,Un Cebichito Tacna,Restaurante,"Miraflores 702 A, Tacna 23003",950 149 992,+51 950 149 992,facebook.com,https://facebook.com/uncebichitotacna/,"-18.0227151,-70.2481299",4.4,,"Cevichería en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJP2ggeirJBZERI1PHuLYbkhs,https://www.google.com/maps/place/?q=place_id:ChIJP2ggeirJBZERI1PHuLYbkhs,El PALADAR PIURANO,Restaurante,"Jr. Italia 1478 La victoria, LIMA 13",945 880 981,+51 945 880 981,tiktok.com,https://www.tiktok.com/@elpaladarpiurano?_r=1&_t=ZS-93cdJFwLuOD,"-12.0696301,-77.0148193",4.2,,"Cevichería en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJY_38_3cVW5ERd38oqLQbCOQ,https://www.google.com/maps/place/?q=place_id:ChIJY_38_3cVW5ERd38oqLQbCOQ,"Aguas termales de Putina, Ticaco, Tarata, Tacna, Perú",Atracción turística,"HX86+7MC, Ticaco 23220",,,,,"-17.4343058,-70.03836749999999",4.3,,"Comida oriental en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJgbMohWXPWpERHBeXJSvd14U,https://www.google.com/maps/place/?q=place_id:ChIJgbMohWXPWpERHBeXJSvd14U,Kazoku Sushi - Lounge,Restaurante,"Av. San Martin 997, Tacna 23001",(052) 245522,+51 52 245522,,,"-18.0097448,-70.2445194",4.1,,"Comida oriental en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJVZOZgDvPWpERkhISQddhHpg,https://www.google.com/maps/place/?q=place_id:ChIJVZOZgDvPWpERkhISQddhHpg,Tayta Restaurant,Restaurante familiar,"Av. San Martin 960, Tacna 23001",,,,,"-18.0098752,-70.2451268",4.1,,"Comida oriental en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJOwMdPdrFWpERgdvpdPt_W4k,https://www.google.com/maps/place/?q=place_id:ChIJOwMdPdrFWpERgdvpdPt_W4k,Asia Grill Bar,Restaurante,"Av. Augusto B Leguia 1407, Tacna 23001",(052) 285143,+51 52 285143,asiagrillbar.com,https://asiagrillbar.com/,"-18.005795799999998,-70.241387",4.4,,"Comida oriental en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJsV2st33PWpERGa-YNg8Sxv0,https://www.google.com/maps/place/?q=place_id:ChIJsV2st33PWpERGa-YNg8Sxv0,Chifa Dragon Dorado Tacna,Restaurante chino,"Av. Augusto B Leguia 1383, Tacna 23001",(052) 285645,+51 52 285645,,,"-18.0057741,-70.24169239999999",3.8,,"Comida oriental en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJ2fXDY-EVW5ERym-wSX6Gdeo,https://www.google.com/maps/place/?q=place_id:ChIJ2fXDY-EVW5ERym-wSX6Gdeo,Restaurante Turístico Tarata,Restaurante peruano,"Francisco Antonio de Zela 38, Tarata 23200",,,,,"-17.4750737,-70.03226769999999",3.6,,"Comida peruana en el distrito de Ticaco, Tarata , Tacna, Perú"
ChIJY_38_3cVW5ERd38oqLQbCOQ,https://www.google.com/maps/place/?q=place_id:ChIJY_38_3cVW5ERd38oqLQbCOQ,"Aguas termales de Putina, Ticaco, Tarata, Tacna, Perú",Atracción turística,"HX86+7MC, Ticaco 23220",,,,,"-17.4343058,-70.03836749999999",4.3,,"Comida peruana en el distrito de Ticaco, Tarata , Tacna, Perú"
