id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJjyhMfHciNJARjQJ8r1X_Mpg,https://www.google.com/maps/place/?q=place_id:ChIJjyhMfHciNJARjQJ8r1X_Mpg,Casitas,,24450,,,,,"-4.0563324,-80.6770787",,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJydIMYLzIBZERcy1YHd47G3Y,https://www.google.com/maps/place/?q=place_id:ChIJydIMYLzIBZERcy1YHd47G3Y,Cevichería Puro Tumbes,Marisquería,"Av. Miguel Grau 670, Lima 15033",(01) 3320289,+51 1 3320289,,,"-12.058746099999999,-77.0250154",4.1,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJ8aJGRYbIBZERYbc6r9wczKw,https://www.google.com/maps/place/?q=place_id:ChIJ8aJGRYbIBZERYbc6r9wczKw,Puro Tumbes,Marisquería,"Av. Canadá 690, La Victoria 15034",(01) 7043298,+51 1 7043298,,,"-12.0814269,-77.01984759999999",4.2,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJi1h2JOaNM5AR_Yswx03t_BM,https://www.google.com/maps/place/?q=place_id:ChIJi1h2JOaNM5AR_Yswx03t_BM,Restaurant Cevicheria Puerto Loco,Restaurante,"Los Angeles 211, Tumbes 24001",,,,,"-3.5612738999999998,-80.4532807",4.2,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJm7BHG5nOBZERcBQM0GsAQlk,https://www.google.com/maps/place/?q=place_id:ChIJm7BHG5nOBZERcBQM0GsAQlk,Las Cañitas De Tumbes,Restaurante,"totus, A media cuadra de, Av. los Dominicos 623, Callao 07036",917 842 704,+51 917 842 704,,,"-12.0156003,-77.0939813",4.4,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJZ6MJYtTPBZERmGa6wjwNKz4,https://www.google.com/maps/place/?q=place_id:ChIJZ6MJYtTPBZERmGa6wjwNKz4,Restaurante Cevicheria Puerto Tumbes I,Restaurante,"Mexico 128, Lima 15311",953 261 420,+51 953 261 420,blogspot.pe,http://restaurantepuertotumbes.blogspot.pe/,"-11.9568351,-77.05380199999999",4,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJh4IxtNvzM5ARoxvThxarvcA,https://www.google.com/maps/place/?q=place_id:ChIJh4IxtNvzM5ARoxvThxarvcA,Restaurant Cevicheria Las Piedritas,Restaurante,"Tarata, Tumbes 24001",,,,,"-3.5627236,-80.4563155",3.8,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJseGBdfzOBZERc1tAfHgyHFg,https://www.google.com/maps/place/?q=place_id:ChIJseGBdfzOBZERc1tAfHgyHFg,Cevicheria Tumbes,Restaurante,"centro comercial, Pasaje las compras N°57, Los Olivos 15302",975 381 760,+51 975 381 760,,,"-12.005171599999999,-77.06275269999999",4.3,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJacS07Dn5M5ARxb2AanPyv4Y,https://www.google.com/maps/place/?q=place_id:ChIJacS07Dn5M5ARxb2AanPyv4Y,"Restaurante Turistico ""Mister Ceviche""",Restaurante,"8853+P9M, Ctra. Panamericana N, Zorritos 24540",920 129 865,+51 920 129 865,,,"-3.6906687,-80.6965871",4.3,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJr810CCrzM5ARSFX-z8B_BhI,https://www.google.com/maps/place/?q=place_id:ChIJr810CCrzM5ARSFX-z8B_BhI,Eduardo El Brujo,Restaurante,"Benavides 768, Tumbes 24001",972 859 285,+51 972 859 285,,,"-3.5723366999999997,-80.4593862",4.3,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJ_xaA3wnJBZERTX6XgzJw6Y4,https://www.google.com/maps/place/?q=place_id:ChIJ_xaA3wnJBZERTX6XgzJw6Y4,El Paladar de Tumbes,Restaurante,"Comandante Espinar 537, Magdalena del Mar 15086",912 883 277,+51 912 883 277,facebook.com,https://www.facebook.com/El-Paladar-de-Tumbes-151343515044683/manage_jobs/?tab=job_posts&source=manage_jobs_tab,"-12.0952246,-77.0758273",4.1,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
ChIJYd89xCuNM5ARPpuXGHnDPeY,https://www.google.com/maps/place/?q=place_id:ChIJYd89xCuNM5ARPpuXGHnDPeY,Las Terrazas II,Restaurante,"Hilario Carrasco 505, Tumbes 24001",(072) 633161,+51 72 633161,,,"-3.5680389999999997,-80.4504226",4.1,,"Cevichería en el distrito de Casitas, Contralmirante Villar , Tumbes, Perú"
