id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJyyZp3Z2aM5AR5D-nVbEYEtc,https://www.google.com/maps/place/?q=place_id:ChIJyyZp3Z2aM5AR5D-nVbEYEtc,Polleria El Pollon,Restaurante,"FPWF+6V4, Tupac Amaru, Las Lomas 24151",(072) 565086,+51 72 565086,,,"-3.5044788,-80.2752953",4.1,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJWzCWSJ2aM5ARHWMrHtsVhBU,https://www.google.com/maps/place/?q=place_id:ChIJWzCWSJ2aM5ARHWMrHtsVhBU,Pollería La Familia,Restaurante,"C. Tumbes 441, Zarumilla 24151",,,,,"-3.500587,-80.2755973",,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJYb9zDImRM5AREfFSJdEQ_u0,https://www.google.com/maps/place/?q=place_id:ChIJYb9zDImRM5AREfFSJdEQ_u0,"Pollería ""La Familia"" Delivery - Entrega- Inmediata.",Restaurante,"9 de Octubre N° 100, Zarumilla 24151",932 131 614,+51 932 131 614,,,"-3.5023255,-80.2777675",,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJC7Aa91ibM5ARwGJVvGUUFFY,https://www.google.com/maps/place/?q=place_id:ChIJC7Aa91ibM5ARwGJVvGUUFFY,Rest.Polleria Brasitas de saylu,Restaurante,"Atrás de el parque la alameda de referencia diagonal de la fortaleza, Zarumilla 24101",945 948 771,+51 945 948 771,,,"-3.4906317,-80.2652987",5,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJdeMZRp2aM5ARe4HwGg1xp9Q,https://www.google.com/maps/place/?q=place_id:ChIJdeMZRp2aM5ARe4HwGg1xp9Q,Pollos y parrillas la hacienda,Restaurante,"FPXF+PPH, Zarumilla 24151",943 970 407,+51 943 970 407,,,"-3.5006888999999997,-80.27562569999999",3.1,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJA7oIQISaM5ARW_x2oyE0a60,https://www.google.com/maps/place/?q=place_id:ChIJA7oIQISaM5ARW_x2oyE0a60,Polleria Piero's,,Zarumilla 24151,,,,,"-3.4962301,-80.2697177",3.8,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJVfjMSYqbM5ARO5FW1aavBXA,https://www.google.com/maps/place/?q=place_id:ChIJVfjMSYqbM5ARO5FW1aavBXA,Polleria El Piurano,Tienda de aves de corral,"Zavala S/N, Zarumilla 24150",,,,,"-3.5016225,-80.2710689",,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJT_B8y3eQM5ARCm_5K7ydzXU,https://www.google.com/maps/place/?q=place_id:ChIJT_B8y3eQM5ARCm_5K7ydzXU,Polleria NANDO'S FLAME GRILLED CHICKEN,Restaurante,"FPXC+2WM, 9 de Octubre, Zarumilla 24151",,,,,"-3.5024113999999997,-80.2776995",4.2,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJLVCQgfSbM5ARKr8c9alI2JI,https://www.google.com/maps/place/?q=place_id:ChIJLVCQgfSbM5ARKr8c9alI2JI,Pollos a La Brasa & Parrillas Crisjhon,Restaurante,"Arica, Zarumilla 24151",945 189 884,+51 945 189 884,,,"-3.5007593,-80.2743892",3.1,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJLyCEAgCbM5ARWZd-fJbBFTU,https://www.google.com/maps/place/?q=place_id:ChIJLyCEAgCbM5ARWZd-fJbBFTU,PolleríaE&L,Restaurante especializado en pollo,"GP8M+3V, Zarumilla 24100",,,,,"-3.4848174,-80.2652885",1,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJ_8r-U-CbM5ARUCgpTRq-O9U,https://www.google.com/maps/place/?q=place_id:ChIJ_8r-U-CbM5ARUCgpTRq-O9U,POLLERIA CHE MARQUITOS,Tienda de aves de corral,"AAHH, Villa de Aguas Verdes 24100",,,,,"-3.4913277,-80.26215619999999",,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJ662azBabM5ARJRtN_IvvMaU,https://www.google.com/maps/place/?q=place_id:ChIJ662azBabM5ARJRtN_IvvMaU,Pollería Gumac Chicken,Restaurante,"Av. La República Entre Costa Rica, y y Cj. Quito, 070503 Huaquillas, Ecuador",098 400 3171,+593 98 400 3171,facebook.com,https://www.facebook.com/Poller%C3%ADa-Gumac-Chicken-107339894499959,"-3.4817418,-80.23742349999999",4.8,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJsY0_dYSbM5AR4XZ6XznEde4,https://www.google.com/maps/place/?q=place_id:ChIJsY0_dYSbM5AR4XZ6XznEde4,D'Pochys,Parrilla,"Av. Independencia Las Flores, Zarumilla 24100",931 577 406,+51 931 577 406,d-pochys.ueniweb.com,https://d-pochys.ueniweb.com/?utm_campaign=gmb,"-3.4842722,-80.26207339999999",,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJ2Tq-rNXyM5ARJm-yyon3Xeg,https://www.google.com/maps/place/?q=place_id:ChIJ2Tq-rNXyM5ARJm-yyon3Xeg,"Pollería ""LA GRANJA""",Tienda de aves de corral,"Francisco Bolognesi 360, Tumbes 24001",914 025 331,+51 914 025 331,,,"-3.5695273999999997,-80.4579159",4,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJ_QhGZeObM5ARDO_3KueSm8Y,https://www.google.com/maps/place/?q=place_id:ChIJ_QhGZeObM5ARDO_3KueSm8Y,POLLOS A LA BRASA NORY'S,Restaurante,"GQ97+V3C, 1 de Mayo, Huaquillas, Ecuador",098 985 6465,+593 98 985 6465,facebook.com,https://www.facebook.com/norys.pollosalabrasa.1,"-3.4803221,-80.2373492",4.2,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJZ7akf0abM5ARD9OCcZoPs3Y,https://www.google.com/maps/place/?q=place_id:ChIJZ7akf0abM5ARD9OCcZoPs3Y,La Esquina Del Sabor,Restaurante,"GP6R+367, Zarumilla 24100",945 709 794,+51 945 709 794,facebook.com,https://www.facebook.com/La-Esquina-Del-Sabor-158687438232735/,"-3.4898439,-80.2594601",4.5,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJkZJ_9xibM5ARjlCaziuf3lo,https://www.google.com/maps/place/?q=place_id:ChIJkZJ_9xibM5ARjlCaziuf3lo,Avícola súper pollo,Granja avícola,"804, Zarumilla",998 972 882,+51 998 972 882,,,"-3.5012876,-80.2759967",,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJQ61PUlKaM5ARUh-bNnQmYfA,https://www.google.com/maps/place/?q=place_id:ChIJQ61PUlKaM5ARUh-bNnQmYfA,Asadero El Pollon,Restaurante,"GQ97+6RC, Av. de la República y Juan Montalvo, 070704 Huaquillas, Ecuador",098 144 6886,+593 98 144 6886,,,"-3.4819443999999997,-80.2354754",4,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJofyrymKaM5AR_CUaVCWURIg,https://www.google.com/maps/place/?q=place_id:ChIJofyrymKaM5AR_CUaVCWURIg,Sabor Norteño,Restaurante,"GP6M+FQR, Zarumilla 24100",(072) 282174,+51 72 282174,,,"-3.4887555999999997,-80.2656002",4,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
ChIJYVvZKJ2aM5ARizw0aZfV8oI,https://www.google.com/maps/place/?q=place_id:ChIJYVvZKJ2aM5ARizw0aZfV8oI,Valdera Polleria,Restaurante,"Arica, Zarumilla 24151",,,,,"-3.500485,-80.2742329",,,"Pollería en el distrito de Aguas Verdes, Zarumilla , Tumbes, Perú"
