id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJhZwVvXvPBZERbOkkGo71R5Y,https://www.google.com/maps/place/?q=place_id:ChIJhZwVvXvPBZERbOkkGo71R5Y,Pollería el parador chicken,Restaurante,"Av. Samuel Alcázar 418, Rímac 15094",(01) 4826524,+51 1 4826524,,,"-12.029868299999999,-77.0298277",3.5,,"Pollería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJA-LLPgDPBZERv77q-NAnNIY,https://www.google.com/maps/place/?q=place_id:ChIJA-LLPgDPBZERv77q-NAnNIY,Polleria parador amancaes,Restaurante,"Av. Samuel Alcázar 923, Rímac 15094",(01) 3814066,+51 1 3814066,,,"-12.026551999999999,-77.034205",2,,"Pollería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJh06cUNuappERBRtKhAvXUuY,https://www.google.com/maps/place/?q=place_id:ChIJh06cUNuappERBRtKhAvXUuY,"Municipalidad de Padre Abad, Aguaytía",Gobierno,"XF7R+7GG, Aguaytia 25551",(061) 481079,+51 61 481079,munipadreabad.gob.pe,http://www.munipadreabad.gob.pe/,"-9.036806,-75.5086796",4.1,,"Pollería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJwVhWBPTRBZERtyq3YNMBt0c,https://www.google.com/maps/place/?q=place_id:ChIJwVhWBPTRBZERtyq3YNMBt0c,Pollería el Parador,Restaurante,"I etapa, Av. los Próceres de Huandoy 7798,Urb, Los Olivos 15307",991 624 250,+51 991 624 250,,,"-11.9381025,-77.0748788",4.6,,"Pollería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJ-Zkfzd6bppERjwzivIILJ6M,https://www.google.com/maps/place/?q=place_id:ChIJ-Zkfzd6bppERjwzivIILJ6M,Villa Aguaytia,Restaurante,"Barrio Unido s/n, Aguaytia 25551",939 345 588,+51 939 345 588,facebook.com,https://www.facebook.com/polleria.aguaytia.9/,"-9.0366562,-75.5037196",4,,"Pollería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJGwVEGwCbppERciFIGSybclI,https://www.google.com/maps/place/?q=place_id:ChIJGwVEGwCbppERciFIGSybclI,"Restobar Cevichería ""Pa Bravo Yo""",,"XG72+F8R, Cam. a San Miguel, Aguaytia 25550",,,,,"-9.0360803,-75.4991367",,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJResBfBmbppERaetv6E9u4mw,https://www.google.com/maps/place/?q=place_id:ChIJResBfBmbppERaetv6E9u4mw,Lelisia Restaurante,Restaurante,"Jirón Andahuaylas mz s lt 14, Aguaytia 25551",978 390 060,+51 978 390 060,facebook.com,https://www.facebook.com/Lelisiarestaurante/,"-9.0383554,-75.5097227",4.4,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJ-SvPBd-appERCb247mTeW_M,https://www.google.com/maps/place/?q=place_id:ChIJ-SvPBd-appERCb247mTeW_M,CEVICHERIA PA BRAVO YO,Restaurante,1,961 510 053,+51 961 510 053,,,"-9.0361748,-75.4982454",4.1,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJ6-3nGdyappERHJkePDq3qX8,https://www.google.com/maps/place/?q=place_id:ChIJ6-3nGdyappERHJkePDq3qX8,Cevicheria Restaurante Plaza,Restaurante,"XF7R+3CC, Aguaytia 25551",,,,,"-9.037310699999999,-75.5089929",3.6,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJges8HQCbppERpuk_XA--Upw,https://www.google.com/maps/place/?q=place_id:ChIJges8HQCbppERpuk_XA--Upw,Cevicheria la concha M,Marisquería,Aguaytia 25551,,,,,"-9.0395314,-75.5131117",,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJfVPoGdyappERPTCUcPv5x7Q,https://www.google.com/maps/place/?q=place_id:ChIJfVPoGdyappERPTCUcPv5x7Q,Plaza Hostal - Restaurant Cevichería,Hotel,"Jr. Arica 160, Aguaytia 25551",(061) 508235,+51 61 508235,,,"-9.037304899999999,-75.50896639999999",4,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJz2KwKACbppERhrlwMxtcnKU,https://www.google.com/maps/place/?q=place_id:ChIJz2KwKACbppERhrlwMxtcnKU,Cevicheria Barba,Marisquería,"XF7R+7JX, Av. Simon Bolivar, Aguaytia 25551",,,,,"-9.036767,-75.5083992",,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJJxCDL8ibppER2QXfQ22aUo4,https://www.google.com/maps/place/?q=place_id:ChIJJxCDL8ibppER2QXfQ22aUo4,Cevicheria limon,Restaurante,"XF7R+7CV, Jr. Arica, Aguaytia 25551",,,,,"-9.0367599,-75.5089481",5,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJnbw8C9yappER8DsbdbesWSk,https://www.google.com/maps/place/?q=place_id:ChIJnbw8C9yappER8DsbdbesWSk,Cevicheria El Tigre,Restaurante,"XF6R+R2F, Jirón Cahuide, Aguaytia 25551",,,,,"-9.037943199999999,-75.5099554",,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJ10owdWybppERCObG4cYrEY8,https://www.google.com/maps/place/?q=place_id:ChIJ10owdWybppERCObG4cYrEY8,Cevicheria la LEMA,Restaurante,"C.F.B Mz 141 - Lt 07 Portal, Aguaytia 25551",,,,,"-9.048831999999999,-75.5101694",,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
ChIJh06cUNuappERBRtKhAvXUuY,https://www.google.com/maps/place/?q=place_id:ChIJh06cUNuappERBRtKhAvXUuY,"Municipalidad de Padre Abad, Aguaytía",Gobierno,"XF7R+7GG, Aguaytia 25551",(061) 481079,+51 61 481079,munipadreabad.gob.pe,http://www.munipadreabad.gob.pe/,"-9.036806,-75.5086796",4.1,,"Cevichería en el distrito de Padre Abad, Padre Abad , Ucayali, Perú"
