id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ3Zqf3AK9o5ER1rQFrxG1Nk8,https://www.google.com/maps/place/?q=place_id:ChIJ3Zqf3AK9o5ER1rQFrxG1Nk8,Pollería Ben Hur,Restaurante,"JF82+6HJ, Av. Salvador Allende, Pucallpa 25000",(061) 284753,+51 61 284753,,,"-8.3844102,-74.5486019",3.9,,"Pollería en el distrito de Purus, Purús, Ucayali, Perú"
ChIJi4GB5OW8o5ERb-jH9RrlcVg,https://www.google.com/maps/place/?q=place_id:ChIJi4GB5OW8o5ERb-jH9RrlcVg,Polleria El Sabor,Restaurante,"Av. Saenz Peña 580, Pucallpa 25000",(061) 282765,+51 61 282765,,,"-8.3779497,-74.5354722",4.2,,"Pollería en el distrito de Purus, Purús, Ucayali, Perú"
ChIJjfIj9e68o5EREIlwJ3E9G9k,https://www.google.com/maps/place/?q=place_id:ChIJjfIj9e68o5EREIlwJ3E9G9k,Polleria Las Garzas,Restaurante,"Jr Inmaculada 625, Pucallpa 25001",(061) 506203,+51 61 506203,,,"-8.379893299999999,-74.5302734",3.9,,"Pollería en el distrito de Purus, Purús, Ucayali, Perú"
ChIJN9VpCea8o5ERn6GOEN4SGno,https://www.google.com/maps/place/?q=place_id:ChIJN9VpCea8o5ERn6GOEN4SGno,Pollería Shulita,Pollería,"Av, Av. Saenz Peña 600, Pucallpa 25000",(061) 571347,+51 61 571347,,,"-8.3773764,-74.5356638",3.9,,"Pollería en el distrito de Purus, Purús, Ucayali, Perú"
ChIJrzknFOW8o5ERVNDe7dWaNag,https://www.google.com/maps/place/?q=place_id:ChIJrzknFOW8o5ERVNDe7dWaNag,Polleria Oriental,Restaurante,"Rafael De Souza, Pucallpa 25001",985 408 981,+51 985 408 981,,,"-8.3813621,-74.5364206",3.9,,"Pollería en el distrito de Purus, Purús, Ucayali, Perú"
ChIJJ1tPWFW8o5ERt5gqZXrdsSE,https://www.google.com/maps/place/?q=place_id:ChIJJ1tPWFW8o5ERt5gqZXrdsSE,Polleria 9 de Octubre,Restaurante especializado en pollo,"JF43+9RC, Huayna Capac, Pucallpa 25001",(061) 573607,+51 61 573607,,,"-8.3940602,-74.54548079999999",3.6,,"Pollería en el distrito de Purus, Purús, Ucayali, Perú"
ChIJiU9ekgrRd5ERuTVUlxnZ6m4,https://www.google.com/maps/place/?q=place_id:ChIJiU9ekgrRd5ERuTVUlxnZ6m4,reserva comunal Purús,Reserva natural,25400,,,,,"-10.1846546,-71.07142019999999",4,,"Chifa en el distrito de Purus, Purús, Ucayali, Perú"
ChIJ31c1gbDIBZER5LBEnMQHv6c,https://www.google.com/maps/place/?q=place_id:ChIJ31c1gbDIBZER5LBEnMQHv6c,Chifa Chiu Wa,Restaurante chino,"Jr. Ucayali 781, Lima 15001",920 641 833,+51 920 641 833,,,"-12.0514149,-77.02487119999999",1.7,,"Chifa en el distrito de Purus, Purús, Ucayali, Perú"
ChIJy_8xYe68o5EROnwbrJ39dDs,https://www.google.com/maps/place/?q=place_id:ChIJy_8xYe68o5EROnwbrJ39dDs,Chifa El Dragón de Oro,Restaurante chino,"Jr Inmaculada 650, Pucallpa 25001",(061) 634020,+51 61 634020,,,"-8.3801354,-74.5302447",4,,"Chifa en el distrito de Purus, Purús, Ucayali, Perú"
ChIJv6YWWCDJBZER20pMqhQx224,https://www.google.com/maps/place/?q=place_id:ChIJv6YWWCDJBZER20pMqhQx224,Chifa Shenjing (comida china y Chifa),Restaurante de fusión,"Jr. Ucayali 779, Lima 15001",922 626 035,+51 922 626 035,,,"-12.0509541,-77.0250697",3.4,,"Chifa en el distrito de Purus, Purús, Ucayali, Perú"
ChIJW5d0BKb0dpER9eaVQjyRWwA,https://www.google.com/maps/place/?q=place_id:ChIJW5d0BKb0dpER9eaVQjyRWwA,Parque Nacional Alto Purus,Parque nacional,,,,,,"-10.430330999999999,-71.5723953",4,,"Chifa en el distrito de Purus, Purús, Ucayali, Perú"
ChIJL24PN--8o5ERholUScingxk,https://www.google.com/maps/place/?q=place_id:ChIJL24PN--8o5ERholUScingxk,Chifa Primavera,Restaurante chino,"Jr Inmaculada 301, Pucallpa 25001",939 329 000,+51 939 329 000,,,"-8.3780346,-74.5328711",4.1,,"Chifa en el distrito de Purus, Purús, Ucayali, Perú"
