id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJqV8oY9jIBZERUWuX6HN3UMM,https://www.google.com/maps/place/?q=place_id:ChIJqV8oY9jIBZERUWuX6HN3UMM,Pollería Hnos. ERAZO,Tienda de aves de corral,"Av. Venezuela 1669, Lima 15082",952 662 457,+51 952 662 457,,,"-12.05574,-77.0556549",4.1,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ-di_cwDJBZERQvS_Y_xmYxs,https://www.google.com/maps/place/?q=place_id:ChIJ-di_cwDJBZERQvS_Y_xmYxs,Pollería,,"Av. Venezuela 773, Breña 15082",,,,,"-12.054977,-77.04479289999999",,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJZx3HcwDHBZER9oPv66TGQpQ,https://www.google.com/maps/place/?q=place_id:ChIJZx3HcwDHBZER9oPv66TGQpQ,Sazon D Brasa Pollos y Criollos,Restaurante,"Av. los Nogales 476, Santa Anita 15007",943 720 735,+51 943 720 735,pedidosya.com.pe,https://www.pedidosya.com.pe/restaurantes/lima/sazon-d-brasa-los-nogales-7a6bf310-da25-4f71-80ce-a9afb52dcfef-menu,"-12.0547281,-76.9817789",5,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJq2LMnJbJBZERjC-F-SQEPqw,https://www.google.com/maps/place/?q=place_id:ChIJq2LMnJbJBZERjC-F-SQEPqw,Pollos y Parrillas La Choza,Tienda de aves de corral,"Domingo Elías 11848, Surquillo 15047",982 965 356,+51 982 965 356,,,"-12.1121146,-77.0209979",4.2,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJJy-KbvfFBZERaRyTRA5fEhM,https://www.google.com/maps/place/?q=place_id:ChIJJy-KbvfFBZERaRyTRA5fEhM,Sazón D Brasa Pollos y Parillas,Restaurante,"Auxiliar Av. Metropolitana, Ate 15498",(01) 6945760,+51 1 6945760,pedidosya.com.pe,https://www.pedidosya.com.pe/restaurantes/lima/sazon-d-brasa-los-nogales-7a6bf310-da25-4f71-80ce-a9afb52dcfef-menu,"-12.030877499999999,-76.9305631",4.2,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJdzFDbQDFBZERXr8I145QcBI,https://www.google.com/maps/place/?q=place_id:ChIJdzFDbQDFBZERXr8I145QcBI,Pollería ocaña,Restaurante especializado en pollo,"2XPR+5C2, San Juan de Lurigancho 15412",,,,,"-11.9645882,-77.00896139999999",3,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJKY_nwOO3BZERYnyZRV1tBhg,https://www.google.com/maps/place/?q=place_id:ChIJKY_nwOO3BZERYnyZRV1tBhg,Restaurant Polleria Raymondi,Restaurante,"Av Surco 328, Lima 15063",993 289 416,+51 993 289 416,,,"-12.1470574,-77.0173638",4.4,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJpy87_LvFBZER8VYBaExbK64,https://www.google.com/maps/place/?q=place_id:ChIJpy87_LvFBZER8VYBaExbK64,Farinam → Brasas & Parrillas,Restaurante,"J.R.MIRABLES,LOS MZ.D-1 LT.7, San Juan de Lurigancho 15401",922 643 585,+51 922 643 585,,,"-12.0172957,-77.0030166",4,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJAXTow9TPBZERabgIKpQdSdw,https://www.google.com/maps/place/?q=place_id:ChIJAXTow9TPBZERabgIKpQdSdw,Las Chozas,Restaurante especializado en pollo,"Mexico 600, Comas 15311",967 257 569,+51 967 257 569,,,"-11.9562604,-77.0552469",4.2,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJgwEBPNnDBZERzQ6XHsC0KHw,https://www.google.com/maps/place/?q=place_id:ChIJgwEBPNnDBZERzQ6XHsC0KHw,Pollería Mi Choza Chicken- Grill,Restaurante peruano,"Calle Rammor 166, Ate 15487",(01) 3646029,+51 1 3646029,,,"-12.030166399999999,-76.8881832",4,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ8w2XQGXPBZERa4igWcX3bpE,https://www.google.com/maps/place/?q=place_id:ChIJ8w2XQGXPBZERa4igWcX3bpE,D'BRASA,Restaurante especializado en pollo,"Av. Naranjal 1593, San Martín de Porres 15109",936 836 339,+51 936 836 339,,,"-11.976291999999999,-77.0852534",4.3,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJyaird_HOBZER0KDLeLn4efo,https://www.google.com/maps/place/?q=place_id:ChIJyaird_HOBZER0KDLeLn4efo,Willy's,Restaurante especializado en pollo,"Mz. ""B"" lote 1 Jr. Las Guayabas, cdra 21 El, Los Olivos 15302",(01) 5330410,+51 1 5330410,facebook.com,https://www.facebook.com/314001512070837/posts/2047791082025196/,"-12.006643799999999,-77.0728505",4,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJY8TfM2bOBZERIHnncCEO48o,https://www.google.com/maps/place/?q=place_id:ChIJY8TfM2bOBZERIHnncCEO48o,Polleria Ibarra,Restaurante,"2W68+PW San Martín de Porres, Av. Los Olivos 241, Los Olivos 15109",,,,,"-11.988204399999999,-77.0827006",4.4,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJl6qiVgDRBZERpERJvUFr0UI,https://www.google.com/maps/place/?q=place_id:ChIJl6qiVgDRBZERpERJvUFr0UI,Pollería Ibarra,Restaurante especializado en pollo,"3W4R+R4M, Av Guillermo de la Fuente, 422Comas 15312",921 400 207,+51 921 400 207,,,"-11.9429062,-77.0597071",3.7,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJpfktvpPFBZER9RT3KBZaYvs,https://www.google.com/maps/place/?q=place_id:ChIJpfktvpPFBZER9RT3KBZaYvs,El shaday pollos y parrillas,Tienda de aves de corral,"Av. Héroes del Cenepa Oeste, San Juan de Lurigancho 00051",933 445 280,+51 933 445 280,,,"-11.9573883,-76.989419",2,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ2xzeNmLOBZERy13H0GZ4cT8,https://www.google.com/maps/place/?q=place_id:ChIJ2xzeNmLOBZERy13H0GZ4cT8,Ibarra Pollos & Chifa,Restaurante,"Av. Santiago Antunez de Mayolo 1766, San Martín de Porres 15108",910 809 807,+51 910 809 807,,,"-11.996313299999999,-77.0864053",2.8,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJKTyiTwDRBZERYLJMX6TFwl0,https://www.google.com/maps/place/?q=place_id:ChIJKTyiTwDRBZERYLJMX6TFwl0,Brasas del Centro,Restaurante familiar,"Av. Victor Andrés Belaunde, Comas 15327",952 120 251,+51 952 120 251,,,"-11.941152599999999,-77.04953429999999",5,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJoXpA5yPOBZEROCwfmjcxbGQ,https://www.google.com/maps/place/?q=place_id:ChIJoXpA5yPOBZEROCwfmjcxbGQ,Ibarra Pollos - Chifa,Restaurante,"Av. Central 736, Los Olivos 15306",,,,,"-11.9593603,-77.07504829999999",4,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJx5ww_hXOBZERMfpLPrnwjKo,https://www.google.com/maps/place/?q=place_id:ChIJx5ww_hXOBZERMfpLPrnwjKo,Ibarra Pollos & Chifa,Restaurante,"2WHC+R4W, Av. Marañon, Los Olivos 15306",946 064 060,+51 946 064 060,,,"-11.970393999999999,-77.07968559999999",4.2,,"Pollería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJbzac2RLJBZERmxnEt7Mn1X8,https://www.google.com/maps/place/?q=place_id:ChIJbzac2RLJBZERmxnEt7Mn1X8,Cevichería Barra Maretazo | Peruvian Food,Restaurante peruano,"C. Berlín 340, Miraflores 15074",941 666 727,+51 941 666 727,barramaretazo.com,https://www.barramaretazo.com/,"-12.120900899999999,-77.0330898",4.9,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ5XbJYRnIBZERs61Io2CFoFk,https://www.google.com/maps/place/?q=place_id:ChIJ5XbJYRnIBZERs61Io2CFoFk,Cevichería Barra Maretazo | Peruvian Food,Restaurante peruano,"Calle Alcanfores 373, Miraflores 15074",933 037 574,+51 933 037 574,barramaretazo.com,http://www.barramaretazo.com/,"-12.1229096,-77.0277089",4.6,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJITk87_DGBZERduqvFymxh7o,https://www.google.com/maps/place/?q=place_id:ChIJITk87_DGBZERduqvFymxh7o,Don Erizo,Restaurante,"Los Agroquímicos 230, La Molina 15012",(01) 3102355,+51 1 3102355,,,"-12.0687353,-76.9567783",4.3,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJn8xR48HGBZERnZjlmAIdx-Y,https://www.google.com/maps/place/?q=place_id:ChIJn8xR48HGBZERnZjlmAIdx-Y,El Cevichón,Restaurante,"Av. Huarochiri 125, Ate 15012",(01) 3481523,+51 1 3481523,elcevichon.com,http://www.elcevichon.com/,"-12.063785099999999,-76.9409371",4.2,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJATjvV3PJBZERqqfLUyVdBdk,https://www.google.com/maps/place/?q=place_id:ChIJATjvV3PJBZERqqfLUyVdBdk,El Cevichón,Restaurante,"Federico Villarreal 290, Miraflores 15074",995 119 252,+51 995 119 252,elcevichon.com,https://elcevichon.com/,"-12.112579799999999,-77.0477305",4.3,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ9zLUenW4BZEROePGltzCQ0k,https://www.google.com/maps/place/?q=place_id:ChIJ9zLUenW4BZEROePGltzCQ0k,Maretazo,Marisquería,"Av. Alfredo Benavides 5002, Lima 15039",(01) 2790651,+51 1 2790651,,,"-12.128865,-76.9850622",4.3,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJK4XvoDPQBZERjOgBhW-oOPs,https://www.google.com/maps/place/?q=place_id:ChIJK4XvoDPQBZERjOgBhW-oOPs,"Cebicheria ""El Paraíso del Sabor""",Marisquería,"Av. Victor Andrés Belaunde n° 660 - 662, Comas 15312",926 930 759,+51 926 930 759,facebook.com,https://www.facebook.com/cebicheria.el.paraiso.del.sabor,"-11.9364133,-77.0540621",4.2,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJg2esFsrIBZERjtgXUMUm8UA,https://www.google.com/maps/place/?q=place_id:ChIJg2esFsrIBZERjtgXUMUm8UA,El Tridente Sabor Divino,Restaurante,"Jirón Ica 344, Lima 15001",(01) 4946573,+51 1 4946573,,,"-12.0454787,-77.0344436",4.4,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJhZrZ51fJBZER4v_t6h1-ANA,https://www.google.com/maps/place/?q=place_id:ChIJhZrZ51fJBZER4v_t6h1-ANA,El Maretazo,Restaurante,"Tamarugal 4005, Callao 07001",(01) 4694049,+51 1 4694049,,,"-12.051809599999999,-77.1021457",4.3,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJZ3atyZTJBZERUAvEUlw1lL8,https://www.google.com/maps/place/?q=place_id:ChIJZ3atyZTJBZERUAvEUlw1lL8,CUMPA Taberna Criolla,Restaurante,"Jirón Leoncio Prado 498, Surquillo 15047",946 345 833,+51 946 345 833,cumpatabernacriolla.com,https://cumpatabernacriolla.com/,"-12.1175125,-77.0238566",4.5,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJi18yPnS4BZERR4MJkVwFiYQ,https://www.google.com/maps/place/?q=place_id:ChIJi18yPnS4BZERR4MJkVwFiYQ,Cevicheria El Erizo,Restaurante,"Av. Caminos del Inca 2150, Santiago de Surco 15039",999 279 155,+51 999 279 155,,,"-12.1321285,-76.98293129999999",3.8,,"Cevichería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJCeEdmTrHBZER-Lcyc6fXRY4,https://www.google.com/maps/place/?q=place_id:ChIJCeEdmTrHBZER-Lcyc6fXRY4,Renzo Antonio Pizzería Lima,Pizzería,"Harrington 228, Lima 15038",923 406 809,+51 923 406 809,linktr.ee,https://linktr.ee/renzoantoniopizzasypastas,"-12.1137503,-77.0004948",4.9,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ7UQ32LXIBZERldmrWeSjNwk,https://www.google.com/maps/place/?q=place_id:ChIJ7UQ32LXIBZERldmrWeSjNwk,Pizza Palace Plaza Mayor,Pizzería,"Jirón de la Unión 409, Lima 15001",(01) 4262654,+51 1 4262654,facebook.com,https://www.facebook.com/PizzaPalacePeru/,"-12.0462411,-77.031342",4.3,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJow3dFgDJBZERJNPRsO5Kkqk,https://www.google.com/maps/place/?q=place_id:ChIJow3dFgDJBZERJNPRsO5Kkqk,Donde Rafa,Pizzería,"Av Horacio Urteaga 1509, Jesús María 15072",935 396 474,+51 935 396 474,,,"-12.0764435,-77.050399",5,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ16J-cUrHBZERZ0VBNW8Ren4,https://www.google.com/maps/place/?q=place_id:ChIJ16J-cUrHBZERZ0VBNW8Ren4,Trattoria Di Lorenzzi,Restaurante,"El Grifo 150A, La Molina 15026",991 663 952,+51 991 663 952,,,"-12.0739687,-76.9365789",4.6,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJK1eCnCfXBZERtM9POxeJ1ZM,https://www.google.com/maps/place/?q=place_id:ChIJK1eCnCfXBZERtM9POxeJ1ZM,Vadri Gambino,Pizzería,"4XR4+P8J, San Antonio, Carabayllo 15121",926 613 109,+51 926 613 109,instagram.com,https://instagram.com/vadrigambino?igshid=MzRlODBiNWFlZA==,"-11.8581503,-77.04424569999999",4.7,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJVW0K0ZLOBZERJPJ6ZSG-2u0,https://www.google.com/maps/place/?q=place_id:ChIJVW0K0ZLOBZERJPJ6ZSG-2u0,Sazón Italiana 2,Pizzería,"Avenida Universitaria, 1 Cuadra 12 Los Olivos, Lima 15108",977 266 886,+51 977 266 886,,,"-12.0118338,-77.0799069",3.9,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ_3iJDr7OBZER8aq5FD9-JeA,https://www.google.com/maps/place/?q=place_id:ChIJ_3iJDr7OBZER8aq5FD9-JeA,Pizzas Y Pastas,Pizzería,"Av. José Granda 3608, Lima 15107",(01) 5673356,+51 1 5673356,,,"-12.021868399999999,-77.0846435",4.3,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJx09sGMkNqZERpQFGwT6zujc,https://www.google.com/maps/place/?q=place_id:ChIJx09sGMkNqZERpQFGwT6zujc,Renzo Antonio Pizzería,Pizzería,"Av. Centenario 422, independencia 02002",947 022 924,+51 947 022 924,linktr.ee,https://linktr.ee/renzoantoniopizzasypastas,"-9.520428899999999,-77.5292501",4.6,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJr1uTNADRBZERJJwF-DzpUlQ,https://www.google.com/maps/place/?q=place_id:ChIJr1uTNADRBZERJJwF-DzpUlQ,Vadri Gambino,Restaurante,"Av Retablo 193, Comas 15314",997 607 223,+51 997 607 223,instagram.com,https://www.instagram.com/vadrigambino?igsh=MXVrOWlvczR5M2ZjMA==,"-11.93696,-77.0607844",4.5,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJz4tr7craBZERchcHL7jDxJ8,https://www.google.com/maps/place/?q=place_id:ChIJz4tr7craBZERchcHL7jDxJ8,Pizza Antonio,Pizzería,"Av. el Muro Oeste 187, San Juan de Lurigancho 15453",999 999 999,+51 999 999 999,,,"-11.947213,-76.9858186",4,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJMblM8nLRBZERT2qjxOSDsKY,https://www.google.com/maps/place/?q=place_id:ChIJMblM8nLRBZERT2qjxOSDsKY,Vadri Gambino,Restaurante,"Av. Chimpu Ocllo 508, Carabayllo 15313",926 984 421,+51 926 984 421,,,"-11.8953261,-77.0352537",4.6,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJDWlcXk3BBZERy05W5WhnoUQ,https://www.google.com/maps/place/?q=place_id:ChIJDWlcXk3BBZERy05W5WhnoUQ,Don Quezo Pizzas,Pizzería,"Calle Micaela Bastidas, Zona ""F"", mZ ""D"" Lote 5, Tambo Viejo, Cieneguilla",987 407 185,+51 987 407 185,,,"-12.108995799999999,-76.82678039999999",4.5,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJDyL-SFLHBZEROOefGT-qSQU,https://www.google.com/maps/place/?q=place_id:ChIJDyL-SFLHBZEROOefGT-qSQU,Zarelle - Pizzeria & Trattoría Monterrico,Pizzería,"El Polo 196, Santiago de Surco 15023",905 435 485,+51 905 435 485,,,"-12.1085502,-76.974469",4.3,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJf3MhUBS4BZERJKIz2JUTr1M,https://www.google.com/maps/place/?q=place_id:ChIJf3MhUBS4BZERJKIz2JUTr1M,Pizza Antonio,Pizzería,"Jr. El Sol 149, Santiago de Surco 00054",(01) 2743355,+51 1 2743355,,,"-12.1473722,-76.99103459999999",4.1,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJF1TsUgDPBZERW6DaOUXcmxw,https://www.google.com/maps/place/?q=place_id:ChIJF1TsUgDPBZERW6DaOUXcmxw,Bocconi D' pizza comas,Pizzería,"Av. Universitaria 5934, Comas 15311",912 196 421,+51 912 196 421,,,"-11.9533138,-77.0596541",4.8,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJD7P8NMvaBZERNjNo5XMubjU,https://www.google.com/maps/place/?q=place_id:ChIJD7P8NMvaBZERNjNo5XMubjU,LA PIZZOTA,Pizzería,"15412, San Juan de Lurigancho 15412",923 829 998,+51 923 829 998,,,"-11.948978,-76.98324939999999",4,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJndgWQf3RBZERDoibwc5Kjwc,https://www.google.com/maps/place/?q=place_id:ChIJndgWQf3RBZERDoibwc5Kjwc,Bocconi D'Pizza Carabayllo,Pizzería,"Av. Parque Zonal _, Carabayllo 15121",904 425 456,+51 904 425 456,,,"-11.881562599999999,-77.03428339999999",4.8,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJQ5G-VnnXBZERtF8ldMMlewA,https://www.google.com/maps/place/?q=place_id:ChIJQ5G-VnnXBZERtF8ldMMlewA,SAZÓN ITALIANA Pizzas & Pastas,Restaurante italiano,"4XR4+QCG, Av. José Saco Rojas, Carabayllo 15121",973 639 622,+51 973 639 622,,,"-11.8580644,-77.0439122",4.2,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJUd0hTdHRBZERThg1TWytas8,https://www.google.com/maps/place/?q=place_id:ChIJUd0hTdHRBZERThg1TWytas8,Bocconi D' pizza,Pizzería,"Mz v lt 38 asociación de vivienda chillón 15118 lima, Puente Piedra 15118",912 997 835,+51 912 997 835,,,"-11.9220232,-77.07726029999999",4.4,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ442dDTDRBZERnzbRBN1BDJA,https://www.google.com/maps/place/?q=place_id:ChIJ442dDTDRBZERnzbRBN1BDJA,Pizzas Aldo - Pizzeria,Pizzería,"Av. Tupac Amaru 1926, Carabayllo 15318",981 034 085,+51 981 034 085,facebook.com,https://www.facebook.com/pizzasaldo?mibextid=b06tZ0,"-11.8887462,-77.0248864",4.4,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ0ypxbX_PBZER7bWWqf7BY68,https://www.google.com/maps/place/?q=place_id:ChIJ0ypxbX_PBZER7bWWqf7BY68,Sazon Italiana,Pizzería,"Av. Angélica Gamarra de León Velarde 240, Lima 15302",(01) 5918327,+51 1 5918327,,,"-12.0044086,-77.06323689999999",4.3,,"Pizzería en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJS3itNZcNqZERytlGC7oIKrw,https://www.google.com/maps/place/?q=place_id:ChIJS3itNZcNqZERytlGC7oIKrw,CHIFA CIELO - HUARAZ,Restaurante chino,"Antonio Raymondi 1109, Huaraz 02001",939 204 786,+51 939 204 786,facebook.com,https://www.facebook.com/Chifacielo,"-9.5263449,-77.5230248",4,,"Chifa en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJ65dxXbzIBZER1_skp0XQwZ8,https://www.google.com/maps/place/?q=place_id:ChIJ65dxXbzIBZER1_skp0XQwZ8,Chifa Asia,Restaurante chino,"Av. Miguel Grau 640, La Victoria 15001",,,,,"-12.0588936,-77.0253716",3.7,,"Chifa en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJg3f4Agi4BZERJyAZsej7HjQ,https://www.google.com/maps/place/?q=place_id:ChIJg3f4Agi4BZERJyAZsej7HjQ,Gran Chifa Chung Tong,Restaurante chino,"Av. Alfredo Benavides 3590, Santiago de Surco 15038",(01) 4974326,+51 1 4974326,chifachungtong.com,https://chifachungtong.com/,"-12.1288881,-76.9983263",4.4,,"Chifa en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
ChIJAwZe89zHBZER2gLzP8TlZy4,https://www.google.com/maps/place/?q=place_id:ChIJAwZe89zHBZER2gLzP8TlZy4,Chifa Wang Xiang Yuan,Restaurante chino,"Av. Aviación 3219, San Borja 15037",983 777 706,+51 983 777 706,facebook.com,https://www.facebook.com/chifa.wangxiangyuan,"-12.102373799999999,-77.0012697",4.3,,"Chifa en el distrito de Aczo, Antonio Raymondi, Áncash, Perú"
