id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJO38vPgDHBZERwNiXlIEschk,https://www.google.com/maps/place/?q=place_id:ChIJO38vPgDHBZERwNiXlIEschk,Pollería 3 Estrellas,Restaurante,"Av. Riva Agüero 1028, El Agustino 15004",,,,,"-12.051383999999999,-77.0026699",5,,"Pollería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJB19HRQXGBZERqGMxJebUajs,https://www.google.com/maps/place/?q=place_id:ChIJB19HRQXGBZERqGMxJebUajs,Restaurante Pollería y Chifa Tres Estrellas,Restaurante,"X222+449, Hoyle Palacios, Lima 15006",996 112 360,+51 996 112 360,,,"-12.0497246,-76.9996405",3.9,,"Pollería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJbblFiIvGBZERRcr354_ySyA,https://www.google.com/maps/place/?q=place_id:ChIJbblFiIvGBZERRcr354_ySyA,Lucyana's,Restaurante,Ate 15012,(01) 3491341,+51 1 3491341,,,"-12.0562338,-76.9586401",3.9,,"Pollería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJrbZF43nFBZERY3NAenYk3nQ,https://www.google.com/maps/place/?q=place_id:ChIJrbZF43nFBZERY3NAenYk3nQ,"RESTAURANT - CHIFA - POLLERIA ""ALVA """,Restaurante,"2376+XM6, 5 de Agosto, San Antonio de Chaclla 15461",960 405 083,+51 960 405 083,,,"-11.9850792,-76.93834919999999",4.1,,"Pollería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJvZ6x5l_HBZERY6HaIl2wol8,https://www.google.com/maps/place/?q=place_id:ChIJvZ6x5l_HBZERY6HaIl2wol8,Pollería lucyana's,Tienda de aves de corral,"Urubamba 404, Ate 15012",927 541 015,+51 927 541 015,,,"-12.056229499999999,-76.95853369999999",1,,"Pollería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJCZ9x5MO5qJERyxKs39gFffM,https://www.google.com/maps/place/?q=place_id:ChIJCZ9x5MO5qJERyxKs39gFffM,"RESTAURANT - CEVICHERIA ""VASQUEZ""",Restaurante,"Q6WQ+9PX, R10, Distrito de Rapayán 02385",962 092 800,+51 962 092 800,,,"-9.2040139,-76.7606548",4.3,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJY72GncPRBZER1vHOf8NHnvQ,https://www.google.com/maps/place/?q=place_id:ChIJY72GncPRBZER1vHOf8NHnvQ,Cebicheria Ancash,Restaurante,"Jirón Igualdad 7825, Los Olivos 15307",969 235 484,+51 969 235 484,,,"-11.939939599999999,-77.07440559999999",4.2,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJ3cwgTMNDqZERy7BJ0KsvrvA,https://www.google.com/maps/place/?q=place_id:ChIJ3cwgTMNDqZERy7BJ0KsvrvA,RESTAURANT CEVICHERIA TUMAK,Restaurante,Distrito de Tinco 02135,963 049 688,+51 963 049 688,facebook.com,https://www.facebook.com/Restaurante-Tumak-629137774380954/?ref=page_internal,"-9.2727811,-77.6731145",4.1,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJaxYmhmwNqZERYeqKGSySnzw,https://www.google.com/maps/place/?q=place_id:ChIJaxYmhmwNqZERYeqKGSySnzw,Milagros Cevichería Peña,Restaurante,"Jr, Recuay 318, Huaraz 02002",(043) 608007,+51 43 608007,,,"-9.517473299999999,-77.5323652",3.6,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJ-2YSTid_rJERIqfvY5Yne9U,https://www.google.com/maps/place/?q=place_id:ChIJ-2YSTid_rJERIqfvY5Yne9U,Rest Cevicheria Diego's.,Restaurante familiar,"San Carlos, Santa, Chimbote Distrito De Santa, Ancash",959 580 077,+51 959 580 077,,,"-8.9863717,-78.6073567",5,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJWTXFsph_rJERIeRL--X4rds,https://www.google.com/maps/place/?q=place_id:ChIJWTXFsph_rJERIeRL--X4rds,Cevicheria My Gulita,Restaurante,Chimbote 02816,970 609 712,+51 970 609 712,facebook.com,https://www.facebook.com/cevicheriamygulita?mibextid=ZbWKwL,"-8.9912721,-78.6172301",4.2,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJBVGkNYVFqZERl2ZPg8BUQcQ,https://www.google.com/maps/place/?q=place_id:ChIJBVGkNYVFqZERl2ZPg8BUQcQ,Keyla Cevichería Restaurant,Restaurante,"C. del Comercio s\n, Distrito de Mancos 02150",969 782 379,+51 969 782 379,,,"-9.189844899999999,-77.71301869999999",4.2,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJvyYJAX7vBZERPhi8viFKwCo,https://www.google.com/maps/place/?q=place_id:ChIJvyYJAX7vBZERPhi8viFKwCo,"CEBICHERIA ""Celia del Mar""",Restaurante,"JR MARAÑON – MERCADO CENTRAL (REF.: DIRECTAMENTE DEL BAZAR ANTIGUO, Lurigancho-Chosica",991 999 104,+51 991 999 104,,,"-11.9354474,-76.6929164",4.5,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJHQTvZyrEBZERReuUH_Q3nmo,https://www.google.com/maps/place/?q=place_id:ChIJHQTvZyrEBZERReuUH_Q3nmo,Cevicheria El piurano,Restaurante peruano,"Av. Los Chancas cuadra 10, Santa Anita 15009",,,tumenuya.com,https://www.tumenuya.com/elpiuranocevicheria,"-12.0355005,-76.9592826",4.4,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJwyNhYcvFBZERssvPapO9jBE,https://www.google.com/maps/place/?q=place_id:ChIJwyNhYcvFBZERssvPapO9jBE,"Cevicheria ""El Rico Piura""",Restaurante,"JR, Ricardo Palma 201, Ate 15487",965 373 887,+51 965 373 887,facebook.com,https://www.facebook.com/elricopiuraoficial/,"-12.018116899999999,-76.8813603",4.1,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJNVEJlka5BZERxDyHRbXkzxA,https://www.google.com/maps/place/?q=place_id:ChIJNVEJlka5BZERxDyHRbXkzxA,Cevicheria el paisa de chulucanas,Restaurante,"R3Q9+6F, Villa María del Triunfo 15817",916 638 736,+51 916 638 736,,,"-12.1619163,-76.93139889999999",4.1,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJHUOvYwnfBpERbFqr8xXcbhc,https://www.google.com/maps/place/?q=place_id:ChIJHUOvYwnfBpERbFqr8xXcbhc,Cevicheria El Clásico Del Mar,Restaurante,"Inca, Huacho 15136",963 066 274,+51 963 066 274,facebook.com,https://www.facebook.com/CebicheriaElClasicoHuacho,"-11.1135664,-77.6114911",4.2,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
ChIJiyYVjN85B5ERqVwuxRcmsak,https://www.google.com/maps/place/?q=place_id:ChIJiyYVjN85B5ERqVwuxRcmsak,Cevicheria La Tia Chayo,Restaurante,"Av. Lima 332, Supe Puerto 15162",946 380 972,+51 946 380 972,,,"-10.8011694,-77.74473119999999",4.3,,"Cevichería en el distrito de Aquia, Bolognesi, Áncash, Perú"
