id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJrbUKe3hFqJER1QJ6bxH1A-o,https://www.google.com/maps/place/?q=place_id:ChIJrbUKe3hFqJER1QJ6bxH1A-o,Pollería Shaquillo Chicken's,Restaurante especializado en pollo,"Jirón Comercio 210, Huallanca 02422",921 130 495,+51 921 130 495,facebook.com,https://web.facebook.com/shaquillochickens,"-9.8981698,-76.9441994",4,,"Pollería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJL_6M0BdEqJERvqxDBW9A8KA,https://www.google.com/maps/place/?q=place_id:ChIJL_6M0BdEqJERvqxDBW9A8KA,D'CASAVIEJA Chifa -Polleria,Restaurante,"Je Leoncio Prado 300, Huallanca 02422",960 324 668,+51 960 324 668,facebook.com,https://www.facebook.com/D.CASAVIEJA/,"-9.899524699999999,-76.9407004",4.1,,"Pollería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJ9YXAT-VFqJERv4NRCAxEVd0,https://www.google.com/maps/place/?q=place_id:ChIJ9YXAT-VFqJERv4NRCAxEVd0,El Gran Cheff Pollería Restaurant,Restaurante,"3N 102, Huallanca 02422",,,,,"-9.8975922,-76.9428808",,,"Pollería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJT5UFIgBFqJEROGH-4ennP0o,https://www.google.com/maps/place/?q=place_id:ChIJT5UFIgBFqJEROGH-4ennP0o,Restaurant Pollería Yamboly,Restaurante,"Jirón Comercio 424, Huallanca 02422",,,,,"-9.8984083,-76.9414776",,,"Pollería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJL_6M0BdEqJERvqxDBW9A8KA,https://www.google.com/maps/place/?q=place_id:ChIJL_6M0BdEqJERvqxDBW9A8KA,D'CASAVIEJA Chifa -Polleria,Restaurante,"Je Leoncio Prado 300, Huallanca 02422",960 324 668,+51 960 324 668,facebook.com,https://www.facebook.com/D.CASAVIEJA/,"-9.899524699999999,-76.9407004",4.1,,"Cevichería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJscWVdz1EqJERqsD7-eyT4rM,https://www.google.com/maps/place/?q=place_id:ChIJscWVdz1EqJERqsD7-eyT4rM,Bienvenidos Cevicheria Fiorella,Restaurante,"3N 405, Huallanca 02422",,,,,"-9.8991072,-76.942123",,,"Cevichería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJL_6M0BdEqJERvqxDBW9A8KA,https://www.google.com/maps/place/?q=place_id:ChIJL_6M0BdEqJERvqxDBW9A8KA,D'CASAVIEJA Chifa -Polleria,Restaurante,"Je Leoncio Prado 300, Huallanca 02422",960 324 668,+51 960 324 668,facebook.com,https://www.facebook.com/D.CASAVIEJA/,"-9.899524699999999,-76.9407004",4.1,,"Chifa en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJO9un_PJFqJERmBRLHTENMnk,https://www.google.com/maps/place/?q=place_id:ChIJO9un_PJFqJERmBRLHTENMnk,Chifa Isla Del Encanto,Restaurante chino,"JIRON CIRCO S/N, Huallanca 02422",,,,,"-9.8995411,-76.94147889999999",3,,"Chifa en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJ37FbO6jFBZER2UxZUjkHzT0,https://www.google.com/maps/place/?q=place_id:ChIJ37FbO6jFBZER2UxZUjkHzT0,Ohashi maki sjl,Restaurante japonés,"Av. Los Jardines Oeste 269, San Juan de Lurigancho 15427",,,ohashimaki.pe,https://ohashimaki.pe/,"-12.007892,-77.009534",4.2,,"Makis en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJlYwHLaXJBZERa69CzrrVUe4,https://www.google.com/maps/place/?q=place_id:ChIJlYwHLaXJBZERa69CzrrVUe4,Ohashi Maki San Miguel,Restaurante japonés,"Av. La Mar 2231, San Miguel 15088",,,,,"-12.0750104,-77.0808563",3.8,,"Makis en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJL_6M0BdEqJERvqxDBW9A8KA,https://www.google.com/maps/place/?q=place_id:ChIJL_6M0BdEqJERvqxDBW9A8KA,D'CASAVIEJA Chifa -Polleria,Restaurante,"Je Leoncio Prado 300, Huallanca 02422",960 324 668,+51 960 324 668,facebook.com,https://www.facebook.com/D.CASAVIEJA/,"-9.899524699999999,-76.9407004",4.1,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJO9un_PJFqJERmBRLHTENMnk,https://www.google.com/maps/place/?q=place_id:ChIJO9un_PJFqJERmBRLHTENMnk,Chifa Isla Del Encanto,Restaurante chino,"JIRON CIRCO S/N, Huallanca 02422",,,,,"-9.8995411,-76.94147889999999",3,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJG36z6qZFqJER0z8OvUhqfro,https://www.google.com/maps/place/?q=place_id:ChIJG36z6qZFqJER0z8OvUhqfro,Restaurant Hostal Milan,Restaurante,"28 de julio 114, Huallanca 02422",980 510 387,+51 980 510 387,facebook.com,https://www.facebook.com/Hostal-Restaurante-MILAN-122346135054068/,"-9.8993427,-76.9412524",3.4,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJo8xj5phFqJER8FqViQhOSqI,https://www.google.com/maps/place/?q=place_id:ChIJo8xj5phFqJER8FqViQhOSqI,Huallanca,Tienda de alimentación,"4336+233, Huallanca 02422",,,,,"-9.8974878,-76.9398161",4.6,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJrbUKe3hFqJER1QJ6bxH1A-o,https://www.google.com/maps/place/?q=place_id:ChIJrbUKe3hFqJER1QJ6bxH1A-o,Pollería Shaquillo Chicken's,Restaurante especializado en pollo,"Jirón Comercio 210, Huallanca 02422",921 130 495,+51 921 130 495,facebook.com,https://web.facebook.com/shaquillochickens,"-9.8981698,-76.9441994",4,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJpcXybfxFqJERYbIOlzG2goY,https://www.google.com/maps/place/?q=place_id:ChIJpcXybfxFqJERYbIOlzG2goY,Cristy Chicken Hca,Restaurante,"Jr, 28 de julio, Huallanca 02422",982 064 426,+51 982 064 426,fb.watch,https://fb.watch/m0kik4WIo9/?mibextid=NnVzG8,"-9.8971398,-76.9390217",5,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJiatSaNxFqJERm_XM_YG2I4I,https://www.google.com/maps/place/?q=place_id:ChIJiatSaNxFqJERm_XM_YG2I4I,El Gran Combo,Restaurante chino,"4326+27Q, Jirón lima, Huallanca 02422",986 113 389,+51 986 113 389,facebook.com,https://www.facebook.com/El-gran-combo-and-Roxbury-1434996780050025/,"-9.8999141,-76.9392702",3,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJQwYBcwBFqJERbCiO-HeXmjk,https://www.google.com/maps/place/?q=place_id:ChIJQwYBcwBFqJERbCiO-HeXmjk,El BOULEVARD RestoBar,Restaurante,"Jr. Arequipa 404, Huallanca 02422",982 173 041,+51 982 173 041,instagram.com,https://www.instagram.com/elboulevard.restobar?igsh=bm55bTFianFqbWQ4&utm_source=qr,"-9.899076899999999,-76.94192939999999",5,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJ9YXAT-VFqJERv4NRCAxEVd0,https://www.google.com/maps/place/?q=place_id:ChIJ9YXAT-VFqJERv4NRCAxEVd0,El Gran Cheff Pollería Restaurant,Restaurante,"3N 102, Huallanca 02422",,,,,"-9.8975922,-76.9428808",,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJZakY4tFFqJERCcCSt_u3bF0,https://www.google.com/maps/place/?q=place_id:ChIJZakY4tFFqJERCcCSt_u3bF0,HOTEL GRAN EMPERADOR,Hotel,"Jr 28n de julio N° 600, Huallanca 02422",925 402 375,+51 925 402 375,hotelgranemperador.com,http://www.hotelgranemperador.com/,"-9.8970866,-76.9389417",4.4,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJf7IUnltFqJERvqNQu_-SbjM,https://www.google.com/maps/place/?q=place_id:ChIJf7IUnltFqJERvqNQu_-SbjM,Macs Cheff,,"Jirón Junin 203, Huallanca 02422",988 250 575,+51 988 250 575,,,"-9.8981455,-76.9398159",4.3,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJDTdfAt9FqJERLTlvBh-6Mes,https://www.google.com/maps/place/?q=place_id:ChIJDTdfAt9FqJERLTlvBh-6Mes,Platos típicos de mi tierra Huallanca,Restaurante,"4325+QG8, Huallanca 02422",,,,,"-9.8978994,-76.9411303",,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJT5UFIgBFqJEROGH-4ennP0o,https://www.google.com/maps/place/?q=place_id:ChIJT5UFIgBFqJEROGH-4ennP0o,Restaurant Pollería Yamboly,Restaurante,"Jirón Comercio 424, Huallanca 02422",,,,,"-9.8984083,-76.9414776",,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJUUDcCpBFqJER0oFXdppsg9s,https://www.google.com/maps/place/?q=place_id:ChIJUUDcCpBFqJER0oFXdppsg9s,M&R,Restaurante,"Jirón Comercio 112, Huallanca 02422",935 537 852,+51 935 537 852,,,"-9.899569399999999,-76.94066889999999",,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJXZalg8dFqJER5II24ox_EsI,https://www.google.com/maps/place/?q=place_id:ChIJXZalg8dFqJER5II24ox_EsI,Restaurante pollera fried,Restaurante,"PE, 3N 405, Huallanca 02422",,,,,"-9.8985872,-76.9418049",,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJrUdo0BdEqJERHa2hJQAnSc4,https://www.google.com/maps/place/?q=place_id:ChIJrUdo0BdEqJERHa2hJQAnSc4,D`CASAVIEJA HOTEL,Hotel,"3N 98, Huallanca 02422",960 324 668,+51 960 324 668,,,"-9.8994875,-76.9406606",4.3,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJe9CEPPpFqJERFDg0IJ83FWc,https://www.google.com/maps/place/?q=place_id:ChIJe9CEPPpFqJERFDg0IJ83FWc,Gustitos en Casa Vieja,Cafetería,"Jr, 28 de julio 413, Huallanca 02422",955 779 972,+51 955 779 972,ueniweb.com,https://gustitos-en-casa-vieja.ueniweb.com/?utm_campaign=gmb,"-9.897996899999999,-76.94010109999999",5,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJRx__IV9FqJER7K4uyiZVQu4,https://www.google.com/maps/place/?q=place_id:ChIJRx__IV9FqJER7K4uyiZVQu4,D'CASAVIEJA FOODTRUCK,Restaurante,"28 de julio, Huallanca 02422",960 324 668,+51 960 324 668,facebook.com,https://www.facebook.com/D.CASAVIEJA/,"-9.8980157,-76.94008509999999",,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJY68gEwxFqJERaKyjt9qZZwM,https://www.google.com/maps/place/?q=place_id:ChIJY68gEwxFqJERaKyjt9qZZwM,PIZZAJAZEL,Pizzería,"Jr, 28 de julio N° 608, Huallanca 02422",926 723 968,+51 926 723 968,,,"-9.8970211,-76.9388927",,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJTwWMySZFqJERgRdqKLeisSw,https://www.google.com/maps/place/?q=place_id:ChIJTwWMySZFqJERgRdqKLeisSw,Restaurant Erly,Restaurante,"4325+R9P, Huallanca 02422",950 236 418,+51 950 236 418,,,"-9.897901,-76.9415336",,,"Comida oriental en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJL_6M0BdEqJERvqxDBW9A8KA,https://www.google.com/maps/place/?q=place_id:ChIJL_6M0BdEqJERvqxDBW9A8KA,D'CASAVIEJA Chifa -Polleria,Restaurante,"Je Leoncio Prado 300, Huallanca 02422",960 324 668,+51 960 324 668,facebook.com,https://www.facebook.com/D.CASAVIEJA/,"-9.899524699999999,-76.9407004",4.1,,"Comida peruana en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJPesJECrGBZERVgkMJUDuyg8,https://www.google.com/maps/place/?q=place_id:ChIJPesJECrGBZERVgkMJUDuyg8,Miskycha: Cocina Regional Peruana,Restaurante,"Av. Aviación 1573, La Victoria 15018",999 954 151,+51 999 954 151,miskycha.com,http://www.miskycha.com/,"-12.076367,-77.0103053",4.3,,"Comida peruana en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJ2YJnHgxFqJER0q9bMEtJYDY,https://www.google.com/maps/place/?q=place_id:ChIJ2YJnHgxFqJER0q9bMEtJYDY,Municipalidad Distrital de Huallanca,Ayuntamiento,"4325+687, 3N, Huallanca 02422",,,,,"-9.8994603,-76.94170729999999",5,,"Comida peruana en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJrUdo0BdEqJERHa2hJQAnSc4,https://www.google.com/maps/place/?q=place_id:ChIJrUdo0BdEqJERHa2hJQAnSc4,D`CASAVIEJA HOTEL,Hotel,"3N 98, Huallanca 02422",960 324 668,+51 960 324 668,,,"-9.8994875,-76.9406606",4.3,,"Comida peruana en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJL_6M0BdEqJERvqxDBW9A8KA,https://www.google.com/maps/place/?q=place_id:ChIJL_6M0BdEqJERvqxDBW9A8KA,D'CASAVIEJA Chifa -Polleria,Restaurante,"Je Leoncio Prado 300, Huallanca 02422",960 324 668,+51 960 324 668,facebook.com,https://www.facebook.com/D.CASAVIEJA/,"-9.899524699999999,-76.9407004",4.1,,"Comida rapida en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJrUdo0BdEqJERHa2hJQAnSc4,https://www.google.com/maps/place/?q=place_id:ChIJrUdo0BdEqJERHa2hJQAnSc4,D`CASAVIEJA HOTEL,Hotel,"3N 98, Huallanca 02422",960 324 668,+51 960 324 668,,,"-9.8994875,-76.9406606",4.3,,"Comida rapida en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJu4IzLBZEqJERN1xJJQbo9vk,https://www.google.com/maps/place/?q=place_id:ChIJu4IzLBZEqJERN1xJJQbo9vk,IAN Servicio Tecnico Y Venta De Celulares,Tienda de móviles,"3N 121, Huallanca 02422",984 267 594,+51 984 267 594,m.batsmarka-com.webnode.es,http://m.batsmarka-com.webnode.es/,"-9.8986222,-76.9407382",3.7,,"Comida rapida en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJL_6M0BdEqJERvqxDBW9A8KA,https://www.google.com/maps/place/?q=place_id:ChIJL_6M0BdEqJERvqxDBW9A8KA,D'CASAVIEJA Chifa -Polleria,Restaurante,"Je Leoncio Prado 300, Huallanca 02422",960 324 668,+51 960 324 668,facebook.com,https://www.facebook.com/D.CASAVIEJA/,"-9.899524699999999,-76.9407004",4.1,,"Fastfood en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJrUdo0BdEqJERHa2hJQAnSc4,https://www.google.com/maps/place/?q=place_id:ChIJrUdo0BdEqJERHa2hJQAnSc4,D`CASAVIEJA HOTEL,Hotel,"3N 98, Huallanca 02422",960 324 668,+51 960 324 668,,,"-9.8994875,-76.9406606",4.3,,"Fastfood en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJ9V6I1RdEqJERnZgjCI5z16A,https://www.google.com/maps/place/?q=place_id:ChIJ9V6I1RdEqJERnZgjCI5z16A,"Panaderia Pasteleria ""Virgen Del Carmen""",Panadería,Huallanca 02422,,,,,"-9.899148499999999,-76.9412498",,,"Panadería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJ2w6TwrZFqJEROv5_B9dsB2w,https://www.google.com/maps/place/?q=place_id:ChIJ2w6TwrZFqJEROv5_B9dsB2w,El Trigal,Panadería,"Jirón Tarapaca 405, Huallanca 02422",,,,,"-9.897471699999999,-76.9416957",,,"Panadería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJRXyoLdrJBZERw_jB7m9BviU,https://www.google.com/maps/place/?q=place_id:ChIJRXyoLdrJBZERw_jB7m9BviU,Cremeria Toscana Perú,Heladería,"Av. Los Conquistadores 169, San Isidro 15073",(01) 7634479,+51 1 7634479,instagram.com,https://www.instagram.com/cremeriatoscanaperu/,"-12.097513399999999,-77.0358332",4.7,,"Heladería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJVaGaSORtqZEREM-3xlpoa7I,https://www.google.com/maps/place/?q=place_id:ChIJVaGaSORtqZEREM-3xlpoa7I,Heladeria Lucuma,Heladería,02120,918 847 889,+51 918 847 889,,,"-9.4154833,-77.5650048",4.4,,"Heladería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJMcA7yXkNqZERjXDfAVmmghw,https://www.google.com/maps/place/?q=place_id:ChIJMcA7yXkNqZERjXDfAVmmghw,GRANIZO HELADERIA ARTESANAL - HUARAZ,Heladería,"Jiron Amadeo Figueroa, Huaraz 02001",919 461 892,+51 919 461 892,,,"-9.5308922,-77.5234065",4.6,,"Heladería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJr3Bw_9x1BZERCmxcikSjiBU,https://www.google.com/maps/place/?q=place_id:ChIJr3Bw_9x1BZERCmxcikSjiBU,Ovni - pan artesanal,Heladería,"Ctra. Panamericana Sur panamericana sur km 62, Chilca 15870",989 138 025,+51 989 138 025,,,"-12.5061246,-76.7391104",4.4,,"Heladería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJ3fJosMl1BZER37M3TsWGvXk,https://www.google.com/maps/place/?q=place_id:ChIJ3fJosMl1BZER37M3TsWGvXk,Helados Artesanales E. T.,Heladería,"F7R7+H92, Ctra. Panamericana Sur, Chilca 15871",,,,,"-12.5086161,-76.7366223",4.9,,"Heladería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
ChIJb6dwPwM4qJER8emyC-oMaaQ,https://www.google.com/maps/place/?q=place_id:ChIJb6dwPwM4qJER8emyC-oMaaQ,Cordillera Huallanca,Mountain range,02425,,,,,"-10.0124432,-77.00611099999999",,,"Heladería en el distrito de Huallanca, Bolognesi, Áncash, Perú"
