id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ8eldwFlrqZERqXs_HrJ2y_Q,https://www.google.com/maps/place/?q=place_id:ChIJ8eldwFlrqZERqXs_HrJ2y_Q,Pollería La Brasa Brava,Restaurante peruano,02000,918 180 509,+51 918 180 509,,,"-9.3991397,-77.5777997",4.2,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
ChIJ1drlNgBrqZEROSdiuYCfG0g,https://www.google.com/maps/place/?q=place_id:ChIJ1drlNgBrqZEROSdiuYCfG0g,Pollería Mr huamaliano,Tienda de aves de corral,"J9VW+25, Anta 02105",,,,,"-9.357403099999999,-77.6046144",,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
ChIJXTh1CdJBqZER-5cZ-xc7jH8,https://www.google.com/maps/place/?q=place_id:ChIJXTh1CdJBqZER-5cZ-xc7jH8,Pollería el RICOTON,Restaurante,"Avenida, La Merced 936, Carhuaz",957 211 799,+51 957 211 799,,,"-9.2804191,-77.64550969999999",4,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
ChIJ2aaWL-VBqZERM5hYbPvByCc,https://www.google.com/maps/place/?q=place_id:ChIJ2aaWL-VBqZERM5hYbPvByCc,GERARDO'S Polleria Chifa,Restaurante,"La Merced 454, Carhuaz 02127",(043) 261730,+51 43 261730,,,"-9.2822128,-77.6472721",3.4,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
ChIJpRgFwixrqZERYSZf8aX34oo,https://www.google.com/maps/place/?q=place_id:ChIJpRgFwixrqZERYSZf8aX34oo,CEVICHERIA VAQUERO,Restaurante peruano,"W1, Yungar Distric 02103",988 064 040,+51 988 064 040,negocio.site,https://cevicheria-el-vaquero.negocio.site/?utm_source=gmb&utm_medium=referral,"-9.3810433,-77.5898211",4.3,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
ChIJ-7W7KXhBqZERqcpLzdLWl1o,https://www.google.com/maps/place/?q=place_id:ChIJ-7W7KXhBqZERqcpLzdLWl1o,Avícola Richi,Tienda de aves de corral,"P992+WFF, 30 de Enero, Carhuaz 02127",,,,,"-9.2801756,-77.648832",5,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
ChIJ_fBquPRrqZERSHtjSQQ8yek,https://www.google.com/maps/place/?q=place_id:ChIJ_fBquPRrqZERSHtjSQQ8yek,Comida de casa el Huanteño,Restaurante peruano,02022,934 767 072,+51 934 767 072,,,"-9.3762112,-77.59029799999999",,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
ChIJ7R6WigUNqZERZx1ExaMDrmY,https://www.google.com/maps/place/?q=place_id:ChIJ7R6WigUNqZERZx1ExaMDrmY,Polleria La Brasa Brava,Restaurante especializado en pollo,"Av. Ramón Castilla 648, Huaraz 02001",943 843 771,+51 943 843 771,,,"-9.5306147,-77.5231713",4.1,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
ChIJzXsEERINqZERAtnTO73TbbU,https://www.google.com/maps/place/?q=place_id:ChIJzXsEERINqZERAtnTO73TbbU,Pollería Santa Cruz,Restaurante,"Av. Fitzcarrald, Huaraz 02001",912 980 536,+51 912 980 536,,,"-9.5244162,-77.5284805",3,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
ChIJnZ6_3BENqZERXsCwjvQ12aU,https://www.google.com/maps/place/?q=place_id:ChIJnZ6_3BENqZERXsCwjvQ12aU,El Granjero Polleria Criolla - Delivery Huaraz,Restaurante especializado en pollo,"Jr. Lucar y Torre 458, Huaraz 02001",928 948 457,+51 928 948 457,elgranjeroperu.com,https://elgranjeroperu.com/,"-9.5269247,-77.5281837",3.8,,"Pollería en el distrito de Yungar, Carhuaz, Áncash, Perú"
