id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJjRB3DzHGBZERTLCB062tpU4,https://www.google.com/maps/place/?q=place_id:ChIJjRB3DzHGBZERTLCB062tpU4,Pollería Restaurante Narch's San Luis,Restaurante,"Av del Aire 1403, San Luis 15021",953 062 546,+51 953 062 546,facebook.com,https://www.facebook.com/RestauranteNarchs/,"-12.0761319,-76.9954324",4.2,,"Pollería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJQ_OP4S7GBZERG1wCZieNl1E,https://www.google.com/maps/place/?q=place_id:ChIJQ_OP4S7GBZERG1wCZieNl1E,Don Cirilo,Restaurante,"Av. San Juan 701, San Luis 15021",(01) 7549008,+51 1 7549008,doncirilo.pe,http://www.doncirilo.pe/,"-12.075756,-77.0027602",4.3,,"Pollería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJJcIsDzHGBZERmkhFNZbdrfk,https://www.google.com/maps/place/?q=place_id:ChIJJcIsDzHGBZERmkhFNZbdrfk,Leña & Carbón,Pollería,"Avenida Agustín de la Rosa Toro 598, San Luis 15021",(01) 7390999,+51 1 7390999,lenaycarbon.com,http://www.lenaycarbon.com/,"-12.076314499999999,-76.9956452",4,,"Pollería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJhXOKCCnGBZERSoQKwpwZ-Fs,https://www.google.com/maps/place/?q=place_id:ChIJhXOKCCnGBZERSoQKwpwZ-Fs,Las Leñas Polleria,Restaurante,"Av. San Juan 361, San Luis 15021",985 556 355,+51 985 556 355,m.facebook.com,https://m.facebook.com/Las-Le%C3%B1as-Polleria-108027974274527/?ref=bookmarks,"-12.076716399999999,-77.0072169",4.1,,"Pollería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJnaTcLfkuqZERMpXXGSwI5zg,https://www.google.com/maps/place/?q=place_id:ChIJnaTcLfkuqZERMpXXGSwI5zg,Municipalidad Provincial de Carlos Fermín Fitzcarrald,Oficina de gobierno local,"WM4C+CC3, San Luis 02310",,,,,"-9.093993,-77.3289628",5,,"Pollería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJ3QA4VZnHBZERpQnuIshrsY4,https://www.google.com/maps/place/?q=place_id:ChIJ3QA4VZnHBZERpQnuIshrsY4,La Barra Pollera - To Go,Restaurante,"Av. San Luis 1003, San Luis 15021",980 302 585,+51 980 302 585,fb.com,http://fb.com/labarrapollera.togo,"-12.0767667,-76.9998617",3.8,,"Pollería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJnxqhOfkuqZERegdI_wEpSns,https://www.google.com/maps/place/?q=place_id:ChIJnxqhOfkuqZERegdI_wEpSns,Restaurant Olivia,Restaurante peruano,"WM4C+JMF, San Luis 02310",976 364 670,+51 976 364 670,,,"-9.0934258,-77.3283139",3.7,,"Pollería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJ8zfamzrGBZERzSaxsANYymo,https://www.google.com/maps/place/?q=place_id:ChIJ8zfamzrGBZERzSaxsANYymo,La Esquina Del Pescador,Restaurante,"Manuel Beingolea 215 con, Felipe Bargna 999, Lima 15021",(01) 7763038,+51 1 7763038,,,"-12.0720408,-76.9969323",4.3,,"Cevichería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJ8TQSjzbGBZERwHQLiRQwnZE,https://www.google.com/maps/place/?q=place_id:ChIJ8TQSjzbGBZERwHQLiRQwnZE,Cevicheria Los Corales,Restaurante peruano,"San Carlos del Pinar 227, San Luis 15021",969 318 818,+51 969 318 818,,,"-12.0772154,-76.9907119",4.2,,"Cevichería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJnaTcLfkuqZERMpXXGSwI5zg,https://www.google.com/maps/place/?q=place_id:ChIJnaTcLfkuqZERMpXXGSwI5zg,Municipalidad Provincial de Carlos Fermín Fitzcarrald,Oficina de gobierno local,"WM4C+CC3, San Luis 02310",,,,,"-9.093993,-77.3289628",5,,"Cevichería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJly6cCTPGBZERciEJF0pVick,https://www.google.com/maps/place/?q=place_id:ChIJly6cCTPGBZERciEJF0pVick,Pezkalo - Ceviche - Comida marina,Restaurante,"Av. Canadá 3357, San Luis 15021",949 244 932,+51 949 244 932,,,"-12.0811564,-76.9949785",4.5,,"Cevichería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJNe5zCxnHBZER7u4CCP5706Y,https://www.google.com/maps/place/?q=place_id:ChIJNe5zCxnHBZER7u4CCP5706Y,Cviche69 - Marino & Nikkei,Restaurante,"Av. San Juan 677, San Luis 15019",(01) 7549008,+51 1 7549008,cviche69.pe,http://www.cviche69.pe/,"-12.075828099999999,-77.00331",4.1,,"Cevichería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJRQtOeTPGBZERPP59-Q1rR_g,https://www.google.com/maps/place/?q=place_id:ChIJRQtOeTPGBZERPP59-Q1rR_g,El Marinero,Restaurante,"Av. San Juan 759, San Luis 15019",986 418 404,+51 986 418 404,,,"-12.0757623,-77.00258529999999",4.1,,"Cevichería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJlVh24TPGBZERTWuX-dyzS4w,https://www.google.com/maps/place/?q=place_id:ChIJlVh24TPGBZERTWuX-dyzS4w,El Rincón del Gordo,Restaurante,"Avenida Agustín de la Rosa Toro 809, San Luis 15021",(01) 4355103,+51 1 4355103,linktr.ee,https://linktr.ee/rincondelgordo,"-12.0782873,-76.99423569999999",4.2,,"Cevichería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJ1divLgDHBZERRopmXQ5vbfo,https://www.google.com/maps/place/?q=place_id:ChIJ1divLgDHBZERRopmXQ5vbfo,La italiana Pizzería - San Luis,Pizzería,"Av. San Luis 917, San Luis 15021",958 057 189,+51 958 057 189,,,"-12.075716199999999,-77.00053849999999",4.8,,"Pizzería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJryVe0zXGBZERlaXD3lzQD-Y,https://www.google.com/maps/place/?q=place_id:ChIJryVe0zXGBZERlaXD3lzQD-Y,Pastas y Pizzas GANTHU,Restaurante,"Av. Canadá 3999, San Luis 15021",(01) 4364869,+51 1 4364869,,,"-12.0782828,-76.9902224",4,,"Pizzería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJ84jQM9vIBZERO6iEszuhJic,https://www.google.com/maps/place/?q=place_id:ChIJ84jQM9vIBZERO6iEszuhJic,Pizza93,Pizzería,"Jirón Huaraz, Lima 15106",(01) 4250238,+51 1 4250238,facebook.com,https://facebook.com/Pizza93com-195200734153368/,"-12.0563313,-77.0452595",4.3,,"Pizzería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJX4WugTPGBZERRsvlG9Jel1o,https://www.google.com/maps/place/?q=place_id:ChIJX4WugTPGBZERRsvlG9Jel1o,Pizza Hut - San Luis,Pizzería,"Av. Canadá 3741, San Luis 15021",(01) 5051111,+51 1 5051111,pizzahut.com.pe,http://pizzahut.com.pe/,"-12.0797248,-76.9921299",4.1,,"Pizzería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
ChIJxTjgh8LHBZER61SzgavP5M8,https://www.google.com/maps/place/?q=place_id:ChIJxTjgh8LHBZER61SzgavP5M8,Little Caesars Pizza,Pizzería,"Av. Canadá 3721, San Luis 15021",,,,,"-12.0798771,-76.99229489999999",4.5,,"Pizzería en el distrito de San Luis, Carlos Fermín Fitzcarrald, Áncash, Perú"
