id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJy2GY-hK5q5ERrlApo84-9oA,https://www.google.com/maps/place/?q=place_id:ChIJy2GY-hK5q5ERrlApo84-9oA,Pollería Rocky Casma,Restaurante especializado en pollo,"Av. Perú Mz. C3 LT. 25A, Casma 02661",912 771 544,+51 912 771 544,wordpress.com,https://polleriarockycasma.wordpress.com/,"-9.4721683,-78.3009637",,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
ChIJrcJxhI65q5ERik2Kq47dZfY,https://www.google.com/maps/place/?q=place_id:ChIJrcJxhI65q5ERik2Kq47dZfY,El Gordito - Pollos a la brasa,Restaurante,"198, Av. Bolivar 174, Casma",920 321 180,+51 920 321 180,,,"-9.4764191,-78.30492129999999",,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
ChIJuzSHXaa5q5ERyEFCpuE5nV8,https://www.google.com/maps/place/?q=place_id:ChIJuzSHXaa5q5ERyEFCpuE5nV8,Pollería San Martín,Restaurante,"J1Lote 6, Casma 02661",950 535 346,+51 950 535 346,,,"-9.474773599999999,-78.2987512",,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
ChIJpTZoLC65q5ER3bK8goczfds,https://www.google.com/maps/place/?q=place_id:ChIJpTZoLC65q5ER3bK8goczfds,Pollos que rico,Restaurante especializado en pollo,"C. Lima 115, Casma 02661",,,,,"-9.4771665,-78.3051942",,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
ChIJH36YXI-4q5ERsKPb_16j0xE,https://www.google.com/maps/place/?q=place_id:ChIJH36YXI-4q5ERsKPb_16j0xE,"POLLERIA ""EL POLLO CUPY""",Restaurante,"Jiron, Mejía 1-09, Casma 02661",981 129 071,+51 981 129 071,,,"-9.474854299999999,-78.30518719999999",4.1,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
ChIJofa_R4-4q5ERKfvXfh48aRI,https://www.google.com/maps/place/?q=place_id:ChIJofa_R4-4q5ERKfvXfh48aRI,El Otro Lucerito,Tienda de aves de corral,"Auxiliar, Au. Panamericana N 51, Casma",(043) 262143,+51 43 262143,,,"-9.475444,-78.30566019999999",4.4,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
ChIJofpoMLa5q5ERHuLKzXeo5JU,https://www.google.com/maps/place/?q=place_id:ChIJofpoMLa5q5ERHuLKzXeo5JU,"Pollería y Chifa ""El Dorado""",Restaurante especializado en pollo,"Magdalena, Casma 02661",931 369 527,+51 931 369 527,,,"-9.4730223,-78.30752939999999",,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
ChIJZ-ti5im5q5ERmYdrNmKkz5A,https://www.google.com/maps/place/?q=place_id:ChIJZ-ti5im5q5ERmYdrNmKkz5A,Polleria El Leñador Chicken,Pollería,"Nepeña Mz ""N, Casma 02661",925 197 550,+51 925 197 550,,,"-9.4753785,-78.3041468",,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
ChIJHR_LGDq5q5ERY5fwHZr_mC0,https://www.google.com/maps/place/?q=place_id:ChIJHR_LGDq5q5ERY5fwHZr_mC0,Pollería DJE pollos y parrillas,Pollería,"Nuevo Casma F06, Casma 02661",902 886 375,+51 902 886 375,,,"-9.46447,-78.2981933",,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
ChIJEZyfZYW4q5ER1u39doK8qK0,https://www.google.com/maps/place/?q=place_id:ChIJEZyfZYW4q5ER1u39doK8qK0,Doña Becxis Pollos Y Parrillas,Restaurante,"Frente a Eco, Perú 509, Casma 02661",963 336 828,+51 963 336 828,bit.ly,http://bit.ly/donabecxis,"-9.4723429,-78.3043639",4.3,,"Pollería en el distrito de Casma, Casma, Áncash, Perú"
