id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJl03MbADFBZER1Xoilohqdpk,https://www.google.com/maps/place/?q=place_id:ChIJl03MbADFBZER1Xoilohqdpk,Pollería Pikichon,Restaurante especializado en pollo,"Av. Unión Jicamarca, Lima 15461",999 033 302,+51 999 033 302,,,"-11.9747405,-76.94027799999999",4.3,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ8VOjXOzGBZERmWgUVoeXYDs,https://www.google.com/maps/place/?q=place_id:ChIJ8VOjXOzGBZERmWgUVoeXYDs,Pihuicho Pollo Peruano,Restaurante,"Av. Los Constructores 918, La Molina 15012",(01) 3550170,+51 1 3550170,,,"-12.0627298,-76.9487025",4,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ_51sdU7DBZERQ4rNIKnUl8U,https://www.google.com/maps/place/?q=place_id:ChIJ_51sdU7DBZERQ4rNIKnUl8U,Pollería PIHUICHO,Restaurante,"X4WF+PJQ, Av. Carapongo, Lurigancho-Chosica 15464",(01) 4929799,+51 1 4929799,,,"-12.0031638,-76.8758908",3.7,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJTVH-8Dq5BZERHIi3fpipWp4,https://www.google.com/maps/place/?q=place_id:ChIJTVH-8Dq5BZERHIi3fpipWp4,PAMPA`S CHICKEN,Restaurante,"Av Jose Carlos Mariategui 708, Villa María del Triunfo 02002",912 302 848,+51 912 302 848,,,"-12.1559151,-76.9535207",4,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJAU18KGDIBZERgjjsAVVSKmY,https://www.google.com/maps/place/?q=place_id:ChIJAU18KGDIBZERgjjsAVVSKmY,Polleria La Fogata,Restaurante,"Av. Militar 2179, Lince 15046",(01) 3732012,+51 1 3732012,,,"-12.085730199999999,-77.0310737",4.3,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ03XQyoDCBZERMQp0XqYNzJs,https://www.google.com/maps/place/?q=place_id:ChIJ03XQyoDCBZERMQp0XqYNzJs,Pihuicho Pollo Peruano,Restaurante,"Bernard Balaguer Mz.B Lote 10, Lurigancho-Chosica 15464",(01) 6722022,+51 1 6722022,,,"-11.9849531,-76.8318081",3.5,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJYycnBgDDBZERlbLrTTegKVw,https://www.google.com/maps/place/?q=place_id:ChIJYycnBgDDBZERlbLrTTegKVw,Bambu chicken Carapongo,Restaurante especializado en pollo,"Av. Carapongo, Lurigancho-Chosica 15464",999 999 999,+51 999 999 999,,,"-12.0032444,-76.87608039999999",3,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJITlEAQDFBZER4zCk5flNjJQ,https://www.google.com/maps/place/?q=place_id:ChIJITlEAQDFBZER4zCk5flNjJQ,PIKICHON - Alameda,Restaurante especializado en pollo,"X3XH+F5W, Av. las Torres, Lima 15461",982 358 551,+51 982 358 551,,,"-12.001219299999999,-76.9212739",4.1,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ4xRCXNKhrpEROc2HRR6t_so,https://www.google.com/maps/place/?q=place_id:ChIJ4xRCXNKhrpEROc2HRR6t_so,La Pampa - Corongo,Atracción turística,"83QX+GRW, La Pampa 02200",965 934 450,+51 965 934 450,,,"-8.6611428,-77.9004301",4.5,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJYekxXErDBZER3nWcjJvd1uU,https://www.google.com/maps/place/?q=place_id:ChIJYekxXErDBZER3nWcjJvd1uU,Wallpa Chicken,Restaurante,"Costado de Grifo Primax, Principal Km 15, Lurigancho-Chosica 15464",969 469 457,+51 969 469 457,instagram.com,https://instagram.com/wallpachickem?utm_medium=copy_link,"-12.002284399999999,-76.86077449999999",3.8,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ6ZRtF6bPBZER3Va38Xpmg8I,https://www.google.com/maps/place/?q=place_id:ChIJ6ZRtF6bPBZER3Va38Xpmg8I,Pollos & Chifa Fernández,Restaurante,"Av. los Próceres de Huandoy 39, Los Olivos 15306",914 829 742,+51 914 829 742,,,"-11.9634272,-77.0775334",3.6,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJNXG-yrHpBZER6z5f7bY36gM,https://www.google.com/maps/place/?q=place_id:ChIJNXG-yrHpBZER6z5f7bY36gM,Bambu chicken chaclacayo,Restaurante,"Av. Nicolás Ayllón 428, Chaclacayo 15472",936 017 763,+51 936 017 763,,,"-11.9766753,-76.7730636",3.4,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ_0Nxm9PpBZERud0L7m-gcwk,https://www.google.com/maps/place/?q=place_id:ChIJ_0Nxm9PpBZERud0L7m-gcwk,Dorados,Restaurante,"256J+873, Chaclacayo 15476",991 171 133,+51 991 171 133,,,"-11.989228899999999,-76.8193232",3.7,,"Pollería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJg7RpB6TNBZERH6NKpqJcToA,https://www.google.com/maps/place/?q=place_id:ChIJg7RpB6TNBZERH6NKpqJcToA,Rinconcito Coronguino,Restaurante,"Av. Manuel Mujica Gallo, Callao 07031",959 751 308,+51 959 751 308,,,"-11.9874966,-77.1221241",4.3,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJr4ziuWjDBZERENTIxMzKorA,https://www.google.com/maps/place/?q=place_id:ChIJr4ziuWjDBZERENTIxMzKorA,"Cevicheria ""El Rico Puerto 82"" sede san antonio de carapongo",Restaurante,"Los Sauces, Lurigancho-Chosica 15464",910 944 620,+51 910 944 620,,,"-12.0023097,-76.86429509999999",2,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJiYD5kznDBZER_NyrkhRZiRo,https://www.google.com/maps/place/?q=place_id:ChIJiYD5kznDBZER_NyrkhRZiRo,Restaurante Cevichería La Machi,Restaurante,"X4WF+MF7, Av. Carapongo, Lurigancho-Chosica 15464",931 880 113,+51 931 880 113,,,"-12.0033441,-76.8763295",4.1,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJY72GncPRBZER1vHOf8NHnvQ,https://www.google.com/maps/place/?q=place_id:ChIJY72GncPRBZER1vHOf8NHnvQ,Cebicheria Ancash,Restaurante,"Jirón Igualdad 7825, Los Olivos 15307",969 235 484,+51 969 235 484,,,"-11.939939599999999,-77.07440559999999",4.2,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJy2sjps3DBZERcxk0tZrnAlY,https://www.google.com/maps/place/?q=place_id:ChIJy2sjps3DBZERcxk0tZrnAlY,Cevicheria El Rincón escondido Sac.,Restaurante,"Asociacion agropecuaria, Harás el Huayco mz m lt 3, Lurigancho-Chosica 15461",,,facebook.com,https://www.facebook.com/share/1AvZAYo2R5/,"-11.996524599999999,-76.9105412",3.8,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ8UMqbQDDBZERwb0jDFMBjrA,https://www.google.com/maps/place/?q=place_id:ChIJ8UMqbQDDBZERwb0jDFMBjrA,Cevichería el REY,Marisquería,"X4WP+V47 MERCADO FLOR DE OLIVA, Principal, Lurigancho-Chosica 15464",,,,,"-12.0028264,-76.8647186",4.4,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJv50CzdvDBZERcwbSAKulOXo,https://www.google.com/maps/place/?q=place_id:ChIJv50CzdvDBZERcwbSAKulOXo,"Cevicheria ""El Rico Puerto 82"" Sede San Antonio",Restaurante,Lurigancho-Chosica 15464,960 186 647,+51 960 186 647,,,"-12.0035448,-76.8760988",1,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ2WsnxNDaBZERt0dcOrYtNX8,https://www.google.com/maps/place/?q=place_id:ChIJ2WsnxNDaBZERt0dcOrYtNX8,Cevichería El Rey,Marisquería,"Mar Tirreno Mz. C Lt. 16, San Juan de Lurigancho 15446",932 417 859,+51 932 417 859,facebook.com,https://www.facebook.com/CevicheriapescadosymariscosELREY,"-11.9389536,-76.9709783",4,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJoelc3enLBZER4Ewz6wxfego,https://www.google.com/maps/place/?q=place_id:ChIJoelc3enLBZER4Ewz6wxfego,La Aldea De Gastón,Restaurante,"Av La Marina 4707(AHORA 268, La Perla 07016",906 820 616,+51 906 820 616,la-aldea-de-gaston-2.ola.click,https://la-aldea-de-gaston-2.ola.click/,"-12.066567299999999,-77.1183411",4.3,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJHyeXaADRBZERu2hcuqs3DqY,https://www.google.com/maps/place/?q=place_id:ChIJHyeXaADRBZERu2hcuqs3DqY,Cevicheria y Restaurant ANCASH,Marisquería,"Jirón Igualdad Mz.HH - Lt.13, Comas 15307",(01) 5390164,+51 1 5390164,,,"-11.9393648,-77.0745163",,,"Cevichería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ8QgjYlnJBZER0HsOnerBeaE,https://www.google.com/maps/place/?q=place_id:ChIJ8QgjYlnJBZER0HsOnerBeaE,Juanjo Pizza,Pizzería,"Patio de Comidas de Gama Moda Plaza, Jirón Belgica 1275, La Victoria 15018",906 528 538,+51 906 528 538,bit.ly,https://bit.ly/CartaDigital-JuanjoPizza-Gama,"-12.0706767,-77.0128986",4.7,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ27BJ0vzIBZERSH0RlrVSwVI,https://www.google.com/maps/place/?q=place_id:ChIJ27BJ0vzIBZERSH0RlrVSwVI,Pizzas & Pastas Bambino Due,Pizzería,"Av. Húsares de Junín 172, Jesús María 15072",952 687 566,+51 952 687 566,facebook.com,https://www.facebook.com/BambinoDueOficialJesusMaria,"-12.075792199999999,-77.0531025",4.3,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ4xRCXNKhrpEROc2HRR6t_so,https://www.google.com/maps/place/?q=place_id:ChIJ4xRCXNKhrpEROc2HRR6t_so,La Pampa - Corongo,Atracción turística,"83QX+GRW, La Pampa 02200",965 934 450,+51 965 934 450,,,"-8.6611428,-77.9004301",4.5,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJN9-HusXHBZER5kzi49bfYiM,https://www.google.com/maps/place/?q=place_id:ChIJN9-HusXHBZER5kzi49bfYiM,Pizza La Delicia,Pizzería,"Av. Francisco Bolognesi 1081, Santa Anita 15008",(01) 3620609,+51 1 3620609,,,"-12.0457868,-76.9740595",4.1,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJg7RpB6TNBZERH6NKpqJcToA,https://www.google.com/maps/place/?q=place_id:ChIJg7RpB6TNBZERH6NKpqJcToA,Rinconcito Coronguino,Restaurante,"Av. Manuel Mujica Gallo, Callao 07031",959 751 308,+51 959 751 308,,,"-11.9874966,-77.1221241",4.3,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJnX_TZgDPBZER1HKa4OvOmqE,https://www.google.com/maps/place/?q=place_id:ChIJnX_TZgDPBZER1HKa4OvOmqE,PEPPERONI PIZZA CLUB (Habich),Pizzería,"Av. Eduardo de Habich 441 B, San Martín de Porres 15103",906 901 604,+51 906 901 604,,,"-12.027100899999999,-77.0553229",4.8,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJUYtoBiPDBZERhzXrFoeiLag,https://www.google.com/maps/place/?q=place_id:ChIJUYtoBiPDBZERhzXrFoeiLag,Pizzeria la delicia,Restaurante,Cl.24 de Septiembre Mz.F2 Lt.1 Urb. San Antonio de Carapongo LIMA,951 486 327,+51 951 486 327,,,"-12.0032116,-76.8748495",3.4,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJA8ztTLDFBZERJn90NbJvQyU,https://www.google.com/maps/place/?q=place_id:ChIJA8ztTLDFBZERJn90NbJvQyU,Pizza La Delicia,Pizzería,"Av. 13 de Enero N°1721, San Juan de Lurigancho 15431",(01) 6337460,+51 1 6337460,,,"-12.0033859,-77.0029311",4.3,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ1ziTuCXpBZERO1dj9uchGJk,https://www.google.com/maps/place/?q=place_id:ChIJ1ziTuCXpBZERO1dj9uchGJk,Pizza La Sabrosa Huascata,Pizzería,"15401 Coop. La Floresta Huascata, Chaclacayo 15476 Huascata, 15401",917 698 756,+51 917 698 756,linktr.ee,https://linktr.ee/PizzaLaSabrosa,"-11.992341999999999,-76.8215955",4.1,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJhbitpzTFBZER71S7tn8zkT8,https://www.google.com/maps/place/?q=place_id:ChIJhbitpzTFBZER71S7tn8zkT8,Pizza La Delicia,Pizzería,"Av. las Flores 115, San Juan de Lurigancho 15419",(01) 7635657,+51 1 7635657,,,"-11.9710064,-77.0051307",3.9,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJnaO4HKXOBZERlypUKwc0cqU,https://www.google.com/maps/place/?q=place_id:ChIJnaO4HKXOBZERlypUKwc0cqU,Pizzas & Pastas Smith,Pizzería,"Av. Perú 4080, San Martín de Porres 15106",(01) 5387184,+51 1 5387184,sites.google.com,https://sites.google.com/view/pizzassmith/p%C3%A1gina-principal,"-12.0298761,-77.0930516",4.1,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJPazuEnvNBZERZ2P_mrjX63w,https://www.google.com/maps/place/?q=place_id:ChIJPazuEnvNBZERZ2P_mrjX63w,PEPPERONI PIZZA CLUB (Canta Callao),Pizzería,"Mz, Av. Canta Callao 9, Callao 15112",906 712 419,+51 906 712 419,pepperonipizzaclub.ola.click,https://pepperonipizzaclub.ola.click/products,"-11.997730299999999,-77.1119705",4.6,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJU4m1tk_lBZERWfxwyQV_JQY,https://www.google.com/maps/place/?q=place_id:ChIJU4m1tk_lBZERWfxwyQV_JQY,Pizzería La Delicia,Pizzería,"PE-22 454, Lurigancho-Chosica 15468",962 096 927,+51 962 096 927,facebook.com,https://www.facebook.com/share/16vwGUKqdn/,"-11.925828,-76.6857788",4.4,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ5Vmdl1DBBZERNIX1F6IwEp8,https://www.google.com/maps/place/?q=place_id:ChIJ5Vmdl1DBBZERNIX1F6IwEp8,Pizza La Delicia,Restaurante,"Av. Esperanza, Cercado de Lima 15491",959 775 216,+51 959 775 216,,,"-12.0353018,-76.90454989999999",3.5,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJF2nApMjDBZERJI_fhUzFlW4,https://www.google.com/maps/place/?q=place_id:ChIJF2nApMjDBZERJI_fhUzFlW4,Pizza La Delicia,Pizzería,"Av. Simón Bolívar 210, Lima 15487",(01) 5764966,+51 1 5764966,facebook.com,https://www.facebook.com/pizzaladelicia/,"-12.0159453,-76.8828546",4,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ7y64xcC9BZERnPQEASESZ2o,https://www.google.com/maps/place/?q=place_id:ChIJ7y64xcC9BZERnPQEASESZ2o,Pizzas & Pastas Doña Mía,Pizzería,"Avenida Quebrada Verde, Cercado de Lima 15822 Pachacámac LIMA, 16",933 652 953,+51 933 652 953,facebook.com,https://www.facebook.com/Pizzas-Y-Pastas-DO%C3%91A-M%C3%8DO-112461204443387,"-12.2299937,-76.88856059999999",4.2,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ8TCGEmLNBZERpB-kejNAmwo,https://www.google.com/maps/place/?q=place_id:ChIJ8TCGEmLNBZERpB-kejNAmwo,PIZZAS Y PASTAS SMITH,Pizzería,"Av. Alejandro Bertello Bollati, San Martín de Porres 07031",(01) 7518719,+51 1 7518719,,,"-11.9971486,-77.1122778",3.8,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJE-cMeVrPBZERcHgmijijD3c,https://www.google.com/maps/place/?q=place_id:ChIJE-cMeVrPBZERcHgmijijD3c,Pizzeria La Delicia,Pizzería,"Av. Arequipa 189, Comas 15311",947 352 794,+51 947 352 794,,,"-11.955914799999999,-77.05183269999999",4.1,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ7wUmi4JBqZERptsJY3sHJW4,https://www.google.com/maps/place/?q=place_id:ChIJ7wUmi4JBqZERptsJY3sHJW4,Cafe Pizzeria Morayma,Pizzería,"AN-107 931-893, Carhuaz 02127",943 694 778,+51 943 694 778,,,"-9.2802914,-77.64540459999999",4.1,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ7eIA715nBZER3FzJi56oJn8,https://www.google.com/maps/place/?q=place_id:ChIJ7eIA715nBZER3FzJi56oJn8,Almacén de Pizzas - Asia,Pizzería,"P.º Claro, Asia 15690",938 457 500,+51 938 457 500,,,"-12.7623313,-76.6023026",4.2,,"Pizzería en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJg5ChCnDIBZERw0VWLarscqg,https://www.google.com/maps/place/?q=place_id:ChIJg5ChCnDIBZERw0VWLarscqg,Chifa Lung Fung,Restaurante chino,"Av. República de Panamá 3165, San Isidro 15036",(01) 4418775,+51 1 4418775,lungfung.com.pe,http://lungfung.com.pe/,"-12.0962792,-77.0203563",4.4,,"Chifa en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJy7RN1UjGBZERNVHLqCRdDS0,https://www.google.com/maps/place/?q=place_id:ChIJy7RN1UjGBZERNVHLqCRdDS0,Chifa Lung Fung Wha,Restaurante chino,"Av. Los Quechuas 1013, Ate 15022",946 755 702,+51 946 755 702,,,"-12.074741999999999,-76.98163579999999",4.2,,"Chifa en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ6Ze0NHTPBZER20SPHe6Y2xg,https://www.google.com/maps/place/?q=place_id:ChIJ6Ze0NHTPBZER20SPHe6Y2xg,Chifa Wong,Restaurante chino,"Av. Los Postes Oeste 120, San Juan de Lurigancho 15419",(01) 6280273,+51 1 6280273,linktr.ee,https://linktr.ee/chifawong,"-11.9972324,-77.0105098",4,,"Chifa en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJxSyHizHPBZERbhSjRxJ7jVU,https://www.google.com/maps/place/?q=place_id:ChIJxSyHizHPBZERbhSjRxJ7jVU,Chifa Chef Wong,Restaurante,"Av. Las Palmeras 4043, Los Olivos 15301",(01) 7748974,+51 1 7748974,editor.wix.com,https://editor.wix.com/html/editor/web/renderer/edit/520c3ae8-04dd-44d7-86f7-1ea03d74ebd9?metaSiteId=a67b3be3-19a4-4fe5-a901-126ace08058a&editorSessionId=fbfa30b4-04c4-4361-8ab7-2b1c620d2499&referralInfo=my-account,"-11.987653799999999,-77.0723127",4.3,,"Chifa en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJydl4MmPHBZERavIMbY-yTL4,https://www.google.com/maps/place/?q=place_id:ChIJydl4MmPHBZERavIMbY-yTL4,Chifa Sheng Yi,Restaurante,"Urb Las Terrazas de Caraponguillo, Av. B, Lurigancho-Chosica 15464",912 384 014,+51 912 384 014,m.facebook.com,https://m.facebook.com/Chifa-Sheng-Yi-109545331457995/?ref=page_internal,"-11.99742,-76.8520568",5,,"Chifa en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJS3itNZcNqZERytlGC7oIKrw,https://www.google.com/maps/place/?q=place_id:ChIJS3itNZcNqZERytlGC7oIKrw,CHIFA CIELO - HUARAZ,Restaurante chino,"Antonio Raymondi 1109, Huaraz 02001",939 204 786,+51 939 204 786,facebook.com,https://www.facebook.com/Chifacielo,"-9.5263449,-77.5230248",4,,"Chifa en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJB4jgsLPDBZERZN4RlHV5A7k,https://www.google.com/maps/place/?q=place_id:ChIJB4jgsLPDBZERZN4RlHV5A7k,Chifa Restaurant Miguelito,Restaurante,"X4WF+PJF, Lurigancho-Chosica 15464",999 999 999,+51 999 999 999,,,"-12.003181999999999,-76.87595859999999",3.4,,"Chifa en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ6U5RvNDDBZER2iTRJzVsikU,https://www.google.com/maps/place/?q=place_id:ChIJ6U5RvNDDBZER2iTRJzVsikU,Chifa Carapongo,Comida china para llevar,"Av. 3 Mz. I1 Lt. 13 Urb. San Antonio de Carapongo, Lurigancho-Chosica 15431",931 151 889,+51 931 151 889,facebook.com,https://www.facebook.com/pg/ChifaCarapongo/,"-12.0036505,-76.8751755",4.3,,"Chifa en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ4YPO8RoNqZERy21ZLTVxIHU,https://www.google.com/maps/place/?q=place_id:ChIJ4YPO8RoNqZERy21ZLTVxIHU,Chifa La Gran Muralla,Restaurante chino,"Jr.San Martin 746, Huaraz 02001",953 604 939,+51 953 604 939,chifalagranmuralla.com,https://chifalagranmuralla.com/,"-9.5297179,-77.53014499999999",3.6,,"Chifa en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJ37FbO6jFBZER2UxZUjkHzT0,https://www.google.com/maps/place/?q=place_id:ChIJ37FbO6jFBZER2UxZUjkHzT0,Ohashi maki sjl,Restaurante japonés,"Av. Los Jardines Oeste 269, San Juan de Lurigancho 15427",,,ohashimaki.pe,https://ohashimaki.pe/,"-12.007892,-77.009534",4.2,,"Makis en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJlYwHLaXJBZERa69CzrrVUe4,https://www.google.com/maps/place/?q=place_id:ChIJlYwHLaXJBZERa69CzrrVUe4,Ohashi Maki San Miguel,Restaurante japonés,"Av. La Mar 2231, San Miguel 15088",,,,,"-12.0750104,-77.0808563",3.8,,"Makis en el distrito de La Pampa, Corongo, Áncash, Perú"
ChIJrWK8m-LIBZER3wPdeYNSNL8,https://www.google.com/maps/place/?q=place_id:ChIJrWK8m-LIBZER3wPdeYNSNL8,Ohashi Maki,Restaurante japonés,"Av. Simón Bolívar 311, Pueblo Libre 15084",(01) 5923284,+51 1 5923284,ohashimaki.pe,http://www.ohashimaki.pe/,"-12.073632,-77.055977",4.2,,"Makis en el distrito de La Pampa, Corongo, Áncash, Perú"
