id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ2_YxWKT_qJERQYibFc6eXXk,https://www.google.com/maps/place/?q=place_id:ChIJ2_YxWKT_qJERQYibFc6eXXk,"Polleria ""TUBER""",Restaurante especializado en pollo,"Ancash 110, Chavín de Huantar 02396",982 773 196,+51 982 773 196,,,"-9.5883662,-77.1769186",4,,"Pollería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJNRbCAlD_qJERKK2N38Xe7Tk,https://www.google.com/maps/place/?q=place_id:ChIJNRbCAlD_qJERKK2N38Xe7Tk,Restaurante y Polleria Canta Gallo,Restaurante,"Jr. Huayna Capac s/n, Chavín de Huantar 02396",935 927 879,+51 935 927 879,facebook.com,https://www.facebook.com/profile.php?id=61555805597210,"-9.5885207,-77.1766842",3.6,,"Pollería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJpQcPurr_qJERL98k1yUaV7k,https://www.google.com/maps/place/?q=place_id:ChIJpQcPurr_qJERL98k1yUaV7k,Polleria PURO SABOR,Restaurante especializado en pollo,"CR6F+P6G, Q3 02396",990 586 686,+51 990 586 686,sites.google.com,https://sites.google.com/view/purosaborchavindehuantar/p%C3%A1gina-principal,"-9.5881875,-77.1769066",3.7,,"Pollería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJU3tpcdD_qJEReMhufGP44aE,https://www.google.com/maps/place/?q=place_id:ChIJU3tpcdD_qJEReMhufGP44aE,Ryko's Chicken Pollos a la Brasa Chavín,Restaurante,"Jr. Manco Capac 362, Chavín de Huantar 02396",921 635 173,+51 921 635 173,,,"-9.588877,-77.1770507",4.3,,"Pollería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJ7xfLaSD_qJERDX79pE_TWIo,https://www.google.com/maps/place/?q=place_id:ChIJ7xfLaSD_qJERDX79pE_TWIo,"Broasteria y Chifa - ""Briana""",Restaurante especializado en pollo,"Jr. Huayna Capac con, Chavín de Huantar 02396",,,,,"-9.588381,-77.1778444",4,,"Pollería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJ1wXHOTb_qJER8Mv_8Q5iOi0,https://www.google.com/maps/place/?q=place_id:ChIJ1wXHOTb_qJER8Mv_8Q5iOi0,Polleria EL K'RBON,Tienda de aves de corral,"CR6F+75V, Av. Julio Cesar Tello, Chavín de Huantar 02396",938 444 309,+51 938 444 309,,,"-9.589263299999999,-77.1770906",,,"Pollería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJVZfBPPP_qJERIncVj03IjcA,https://www.google.com/maps/place/?q=place_id:ChIJVZfBPPP_qJERIncVj03IjcA,Cevichería-Chifa EL HUARIQUE,Restaurante,"Av. Julio Cesar Tello 275, Chavín de Huantar 02396",961 510 491,+51 961 510 491,sites.google.com,https://sites.google.com/view/cevicheriaelhuarique/p%C3%A1gina-principal,"-9.5898528,-77.17713859999999",3.8,,"Cevichería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJJwEA_Pr_qJER9IBTiL1zYgA,https://www.google.com/maps/place/?q=place_id:ChIJJwEA_Pr_qJER9IBTiL1zYgA,Cevichería Chopin,Restaurante,"CR6F+24J, Chavín de Huantar 02396",,,,,"-9.5899133,-77.1772304",4,,"Cevichería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJndwdVBH-qJER0iZJRb2wAHI,https://www.google.com/maps/place/?q=place_id:ChIJndwdVBH-qJER0iZJRb2wAHI,Tullpa Pizzería & Resto Bar,Pizzería,Chavín de Huantar 02396,971 215 730,+51 971 215 730,facebook.com,https://www.facebook.com/Tullpa-Restaurante-Cafe-Bar-Chav%C3%ADn-de-Huantar-1448420195416193/,"-9.5884375,-77.1775625",4,,"Pizzería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJny8iZx7_qJER6ppIMCKU4O8,https://www.google.com/maps/place/?q=place_id:ChIJny8iZx7_qJER6ppIMCKU4O8,Restobar Rumi,Bar restaurante,"Av. Julio Cesar Tello cdra. 1, Chavín de Huantar 02396",983 704 831,+51 983 704 831,,,"-9.588082499999999,-77.1770344",4.5,,"Pizzería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJzWNwsUf_qJER6bYAl8u1RFg,https://www.google.com/maps/place/?q=place_id:ChIJzWNwsUf_qJER6bYAl8u1RFg,K'eros Restobar,Pizzería,"CR8F+H4C, Chavín de Huantar 02396",,,,,"-9.5835697,-77.17722359999999",,,"Pizzería en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJVZfBPPP_qJERIncVj03IjcA,https://www.google.com/maps/place/?q=place_id:ChIJVZfBPPP_qJERIncVj03IjcA,Cevichería-Chifa EL HUARIQUE,Restaurante,"Av. Julio Cesar Tello 275, Chavín de Huantar 02396",961 510 491,+51 961 510 491,sites.google.com,https://sites.google.com/view/cevicheriaelhuarique/p%C3%A1gina-principal,"-9.5898528,-77.17713859999999",3.8,,"Chifa en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJ7xfLaSD_qJERDX79pE_TWIo,https://www.google.com/maps/place/?q=place_id:ChIJ7xfLaSD_qJERDX79pE_TWIo,"Broasteria y Chifa - ""Briana""",Restaurante especializado en pollo,"Jr. Huayna Capac con, Chavín de Huantar 02396",,,,,"-9.588381,-77.1778444",4,,"Chifa en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJhVvRBhb-qJER5iA0DJDmWhg,https://www.google.com/maps/place/?q=place_id:ChIJhVvRBhb-qJER5iA0DJDmWhg,Monumento Arqueológico de Chavín de Huántar,Lugar de interés histórico,"CR4F+G3M Museo de, Chavín de Huantar 02395",,,cultura.gob.pe,http://www.cultura.gob.pe/,"-9.5936721,-77.1773384",4.6,,"Chifa en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJny8iZx7_qJER6ppIMCKU4O8,https://www.google.com/maps/place/?q=place_id:ChIJny8iZx7_qJER6ppIMCKU4O8,Restobar Rumi,Bar restaurante,"Av. Julio Cesar Tello cdra. 1, Chavín de Huantar 02396",983 704 831,+51 983 704 831,,,"-9.588082499999999,-77.1770344",4.5,,"Chifa en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJqS-GZxb-qJERTtZZOoUYb2U,https://www.google.com/maps/place/?q=place_id:ChIJqS-GZxb-qJERTtZZOoUYb2U,Restaurant Buongiorno,Restaurante,"CR5C+5GM, Chavín de Huantar 02396",,,,,"-9.5920437,-77.1786979",3.5,,"Chifa en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJny8iZx7_qJER6ppIMCKU4O8,https://www.google.com/maps/place/?q=place_id:ChIJny8iZx7_qJER6ppIMCKU4O8,Restobar Rumi,Bar restaurante,"Av. Julio Cesar Tello cdra. 1, Chavín de Huantar 02396",983 704 831,+51 983 704 831,,,"-9.588082499999999,-77.1770344",4.5,,"Comida oriental en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJBYkJObz_qJERBG99Bn0JBH0,https://www.google.com/maps/place/?q=place_id:ChIJBYkJObz_qJERBG99Bn0JBH0,Restaurante Condor de Chavin,Restaurante,"CR6F+3RC, Chavín de Huantar 02396",951 659 039,+51 951 659 039,sites.google.com,https://sites.google.com/view/condor-de-chavin/inicio,"-9.5898085,-77.17548769999999",2.3,,"Comida oriental en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
ChIJVZfBPPP_qJERIncVj03IjcA,https://www.google.com/maps/place/?q=place_id:ChIJVZfBPPP_qJERIncVj03IjcA,Cevichería-Chifa EL HUARIQUE,Restaurante,"Av. Julio Cesar Tello 275, Chavín de Huantar 02396",961 510 491,+51 961 510 491,sites.google.com,https://sites.google.com/view/cevicheriaelhuarique/p%C3%A1gina-principal,"-9.5898528,-77.17713859999999",3.8,,"Comida oriental en el distrito de Chavin de Huantar, Huari, Áncash, Perú"
