id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJV7vJfI7hqJERNjqt41a29hA,https://www.google.com/maps/place/?q=place_id:ChIJV7vJfI7hqJERNjqt41a29hA,Pollería Las Chozas,Restaurante,"Manuel Álvarez González, Huari 02304",935 843 607,+51 935 843 607,facebook.com,https://www.facebook.com/profile.php?id=61559277843533&mibextid=LQQJ4d,"-9.3482463,-77.1731837",5,,"Pollería en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJq2l4hmThqJERWULoYuOXRnQ,https://www.google.com/maps/place/?q=place_id:ChIJq2l4hmThqJERWULoYuOXRnQ,Polleria Soto Huari-Ancash-Perù,Restaurante,"MR2G+4QG, Avenida Magisterial, Huari 02304",910 755 268,+51 910 755 268,,,"-9.3496817,-77.1730585",4.1,,"Pollería en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJDegfYU3hqJERjhEQAH_yhAg,https://www.google.com/maps/place/?q=place_id:ChIJDegfYU3hqJERjhEQAH_yhAg,Polleria al Gusto Huari-Perú,Pollería,"MR2H+J97, Jr. San Martín, Huari 02304",979 069 163,+51 979 069 163,,,"-9.3484533,-77.1715746",5,,"Pollería en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJ8VCbEAfGBZERCWm_sWdX2rU,https://www.google.com/maps/place/?q=place_id:ChIJ8VCbEAfGBZERCWm_sWdX2rU,"Chifa ""Rong Hua""",Restaurante chino,"Jr. Áncash 2170, Lima 15006",942 617 873,+51 942 617 873,facebook.com,https://www.facebook.com/profile.php?id=100010096480125&mibextid=ZbWKwL,"-12.041501199999999,-77.0027051",4,,"Chifa en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJF1CGgrjhqJER_Hgyu8FZvdU,https://www.google.com/maps/place/?q=place_id:ChIJF1CGgrjhqJER_Hgyu8FZvdU,Chifa Maná,Restaurante,"MR2G+8VX, Jr. San Martín, Huari 02304",,,,,"-9.349129399999999,-77.17276389999999",4.2,,"Chifa en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJS9OyoDrGBZERECyAjtnDuCk,https://www.google.com/maps/place/?q=place_id:ChIJS9OyoDrGBZERECyAjtnDuCk,Chifa Wan,Restaurante,"Avenida Agustín de la Rosa Toro 350, San Luis 15021",989 855 888,+51 989 855 888,,,"-12.0726294,-76.99780799999999",4.2,,"Chifa en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJh8XbLgq5qJERMd5hzblq64s,https://www.google.com/maps/place/?q=place_id:ChIJh8XbLgq5qJERMd5hzblq64s,Plaza principal de Huacchis,Parque estatal,"Q6X7+M7C, Distrito de Huacchis 02380",,,,,"-9.2008207,-76.7868507",4.3,,"Chifa en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJ37FbO6jFBZER2UxZUjkHzT0,https://www.google.com/maps/place/?q=place_id:ChIJ37FbO6jFBZER2UxZUjkHzT0,Ohashi maki sjl,Restaurante japonés,"Av. Los Jardines Oeste 269, San Juan de Lurigancho 15427",,,ohashimaki.pe,https://ohashimaki.pe/,"-12.007892,-77.009534",4.2,,"Makis en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJmQol8vXVBZEROPUgf_bpBoI,https://www.google.com/maps/place/?q=place_id:ChIJmQol8vXVBZEROPUgf_bpBoI,Mikhuy Makis,Restaurante de sushi,"de la victoria Pachacutec, Ventanilla 07071",912 347 054,+51 912 347 054,,,"-11.845077,-77.1493338",4.4,,"Makis en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJh8XbLgq5qJERMd5hzblq64s,https://www.google.com/maps/place/?q=place_id:ChIJh8XbLgq5qJERMd5hzblq64s,Plaza principal de Huacchis,Parque estatal,"Q6X7+M7C, Distrito de Huacchis 02380",,,,,"-9.2008207,-76.7868507",4.3,,"Makis en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJ8VCbEAfGBZERCWm_sWdX2rU,https://www.google.com/maps/place/?q=place_id:ChIJ8VCbEAfGBZERCWm_sWdX2rU,"Chifa ""Rong Hua""",Restaurante chino,"Jr. Áncash 2170, Lima 15006",942 617 873,+51 942 617 873,facebook.com,https://www.facebook.com/profile.php?id=100010096480125&mibextid=ZbWKwL,"-12.041501199999999,-77.0027051",4,,"Comida oriental en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJh8XbLgq5qJERMd5hzblq64s,https://www.google.com/maps/place/?q=place_id:ChIJh8XbLgq5qJERMd5hzblq64s,Plaza principal de Huacchis,Parque estatal,"Q6X7+M7C, Distrito de Huacchis 02380",,,,,"-9.2008207,-76.7868507",4.3,,"Comida oriental en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJy7rIWjq5qJERnJXDKSek7ro,https://www.google.com/maps/place/?q=place_id:ChIJy7rIWjq5qJERnJXDKSek7ro,Bodega Marilyn,Bodega,"Cerca de, AN-688, Distrito de Huacchis 02380",,,,,"-9.202041,-76.786637",,,"Comida oriental en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJcUomjNC4qJERd7kdoCOTJK8,https://www.google.com/maps/place/?q=place_id:ChIJcUomjNC4qJERd7kdoCOTJK8,Distrito de Huacchis,,02380,,,,,"-9.200692499999999,-76.78702899999999",,,"Fastfood en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJh8XbLgq5qJERMd5hzblq64s,https://www.google.com/maps/place/?q=place_id:ChIJh8XbLgq5qJERMd5hzblq64s,Plaza principal de Huacchis,Parque estatal,"Q6X7+M7C, Distrito de Huacchis 02380",,,,,"-9.2008207,-76.7868507",4.3,,"Fastfood en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJ4xm3EQDhqJERxKOwsx4v1hc,https://www.google.com/maps/place/?q=place_id:ChIJ4xm3EQDhqJERxKOwsx4v1hc,"Brosters y caldos ""Doña Chony""",Restaurante de comida rápida,"MR2H+PRM, Huari 02304",926 099 319,+51 926 099 319,,,"-9.3481548,-77.1704669",5,,"Fastfood en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJIVWdAwbhqJERKci8X6YFiU8,https://www.google.com/maps/place/?q=place_id:ChIJIVWdAwbhqJERKci8X6YFiU8,Pastelerìa Mi Dulce Secreto,Pastelería,"Jr. Ancash 601, Huari 02304",(043) 608667,+51 43 608667,,,"-9.3480824,-77.17194239999999",4.8,,"Pastelería en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJcUomjNC4qJERd7kdoCOTJK8,https://www.google.com/maps/place/?q=place_id:ChIJcUomjNC4qJERd7kdoCOTJK8,Distrito de Huacchis,,02380,,,,,"-9.200692499999999,-76.78702899999999",,,"Pastelería en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJgfOPUvPhqJERHBebXZVlELQ,https://www.google.com/maps/place/?q=place_id:ChIJgfOPUvPhqJERHBebXZVlELQ,"Pastelería ""SLYKA""",Pastelería,"Avenida Magisterial, Huari 02304",967 878 733,+51 967 878 733,facebook.com,https://www.facebook.com/pasteleriaslyka/,"-9.3529792,-77.1732093",5,,"Pastelería en el distrito de Huacchis, Huari, Áncash, Perú"
ChIJ3RTUztHHBZERgduy0JjRe1Q,https://www.google.com/maps/place/?q=place_id:ChIJ3RTUztHHBZERgduy0JjRe1Q,Pastelería Tortaza,Pastelería,"X252+J3R, Jr. Áncash, Lima 15006",908 542 125,+51 908 542 125,,,"-12.0408942,-76.99984409999999",4,,"Pastelería en el distrito de Huacchis, Huari, Áncash, Perú"
