id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJD0nvq7wXqpERnalSVrFKHiE,https://www.google.com/maps/place/?q=place_id:ChIJD0nvq7wXqpERnalSVrFKHiE,Pollería LAS CARAVANAS,Restaurante,"C. los Andes 161, Huarmey 02651",936 811 909,+51 936 811 909,,,"-10.0682219,-78.1517544",4,,"Pollería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJewNvKXEXqpERFKyf-yGLdVc,https://www.google.com/maps/place/?q=place_id:ChIJewNvKXEXqpERFKyf-yGLdVc,POLLERIA FLORMILA,Restaurante,"Pasaje, Ricardo Palma Mz B, Huarmey",(043) 354744,+51 43 354744,,,"-10.0644713,-78.152497",4,,"Pollería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJR89vAMqLqZERPPQZL72U_6w,https://www.google.com/maps/place/?q=place_id:ChIJR89vAMqLqZERPPQZL72U_6w,"Restaurante, Polleria Y Chifa Rimac",Tienda de alimentación,"24MV+833, AN-109, Huamba 02650",965 843 494,+51 965 843 494,,,"-9.9667385,-77.857322",2.7,,"Pollería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJu74SsBcXqpERzEN19d11zGM,https://www.google.com/maps/place/?q=place_id:ChIJu74SsBcXqpERzEN19d11zGM,La Barra Rustica,Restaurante,"Mz D2 Lt 10, C. Casma, Huarmey",948 096 406,+51 948 096 406,,,"-10.0688482,-78.1479016",4.4,,"Pollería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJzReWEgAXqpERZofuA4ILkfw,https://www.google.com/maps/place/?q=place_id:ChIJzReWEgAXqpERZofuA4ILkfw,POLLERIA DON POLLO,Restaurante,"una cuadra antes de llegar al parque infantil de la victoria, Mz.A' lote 1 AA.HH. Marginal la victoria Entrada por el ovalo todo, 28 de Julio, Huarmey 02651",973 344 900,+51 973 344 900,,,"-10.0531585,-78.1610941",,,"Pollería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJ0RxvlNGRqZERf7scB6Hb3iI,https://www.google.com/maps/place/?q=place_id:ChIJ0RxvlNGRqZERf7scB6Hb3iI,Huayan,,02618,,,,,"-9.865272599999999,-77.7108686",,,"Cevichería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJx3cY8i4XqpERppXirvLC8wE,https://www.google.com/maps/place/?q=place_id:ChIJx3cY8i4XqpERppXirvLC8wE,El Huarique del Buzo,Restaurante,"WRWR+CVR, Huarmey 02650",917 199 389,+51 917 199 389,,,"-10.0538908,-78.1578689",4.3,,"Cevichería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJ2aQOljIWqpERYlwicok9yRA,https://www.google.com/maps/place/?q=place_id:ChIJ2aQOljIWqpERYlwicok9yRA,"Restaurant - Cevicheria "" Las Delicias """,Restaurante,"WRRR+PVP, Huarmey 02650",(043) 287720,+51 43 287720,facebook.com,https://www.facebook.com/Restaurant-Cevicheria-Las-Delicias-125893904446460/,"-10.058165899999999,-78.1577878",4,,"Cevichería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJA-c0XMoXqpER5cnvNxJwhiY,https://www.google.com/maps/place/?q=place_id:ChIJA-c0XMoXqpER5cnvNxJwhiY,Restaurant Picanteria El Pez De Oro,Restaurante,"Av. El Olivar, Huarmey 02651",933 389 536,+51 933 389 536,facebook.com,https://www.facebook.com/pg/elpezdeoroHy/,"-10.066468,-78.152958",4,,"Cevichería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJu_EybskXqpERGXaVF74SrHQ,https://www.google.com/maps/place/?q=place_id:ChIJu_EybskXqpERGXaVF74SrHQ,Cevicheria La Sirena,Restaurante,"WVP2+734, Gonzales Prada, Huarmey 02650",,,,,"-10.064364399999999,-78.1498036",4,,"Cevichería en el distrito de Huayan, Huarmey, Áncash, Perú"
ChIJ0V01l6M9qpERYwJh_WsyxdQ,https://www.google.com/maps/place/?q=place_id:ChIJ0V01l6M9qpERYwJh_WsyxdQ,REY ANZUMO Restaurant Huarmeyano,Restaurante,"Entrada al balneario de tuquillo, 02650",939 273 035,+51 939 273 035,,,"-10.0169037,-78.190601",4.7,,"Cevichería en el distrito de Huayan, Huarmey, Áncash, Perú"
