id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJD1fRXW23BZER1zJIoL1UC_Q,https://www.google.com/maps/place/?q=place_id:ChIJD1fRXW23BZER1zJIoL1UC_Q,Chick + Chicken | Pollos a la Brasa,Restaurante especializado en pollo,"LIMA 9, Av. Defensores del Morro 449, Chorrillos 15063",993 065 351,+51 993 065 351,,,"-12.168089199999999,-77.02489849999999",4,,"Pollería en el distrito de Huaylas, Huaylas, Áncash, Perú"
ChIJWZ7XkvfFBZERO-Zpbt5HpUs,https://www.google.com/maps/place/?q=place_id:ChIJWZ7XkvfFBZERO-Zpbt5HpUs,Chick + Chicken | Pollos a la brasa,Restaurante especializado en pollo,"Municipalidad Metropolitana de Avenida Gran Chimú 338 San Juan de Lurigancho, Lima 15401",956 310 176,+51 956 310 176,,,"-12.027683699999999,-77.0088818",4,,"Pollería en el distrito de Huaylas, Huaylas, Áncash, Perú"
ChIJLaFWDwDJBZERKqlj8G5M7_k,https://www.google.com/maps/place/?q=place_id:ChIJLaFWDwDJBZERKqlj8G5M7_k,Pollería Happy Chicken,Restaurante,"Av. 28 de Julio 2073, La Victoria 15018",,,,,"-12.0617936,-77.0203001",4.4,,"Pollería en el distrito de Huaylas, Huaylas, Áncash, Perú"
ChIJ0dSS1rqprpERdg8orxn_B6k,https://www.google.com/maps/place/?q=place_id:ChIJ0dSS1rqprpERdg8orxn_B6k,Polleria «D' BILLY Chicken & Grill»,Restaurante,250,983 067 489,+51 983 067 489,,,"-8.872251799999999,-77.8945841",4.6,,"Pollería en el distrito de Huaylas, Huaylas, Áncash, Perú"
ChIJKz9COn_GBZERNY0c6nyUjOk,https://www.google.com/maps/place/?q=place_id:ChIJKz9COn_GBZERNY0c6nyUjOk,La Finka: Pizzas ARTESANALES.,Pizzería,"Av. Los Chancas 229, Santa Anita 15009",,,,,"-12.0396345,-76.9692816",4,,"Pizzería en el distrito de Huaylas, Huaylas, Áncash, Perú"
ChIJ8SVf8uDpBZERjG8TDJ-A9Pk,https://www.google.com/maps/place/?q=place_id:ChIJ8SVf8uDpBZERjG8TDJ-A9Pk,Donatto's Pizza Huaycan,Pizzería,"Av. 15 De Julio, Lima 15479",(01) 7232479,+51 1 7232479,,,"-12.012019299999999,-76.8241476",3.6,,"Pizzería en el distrito de Huaylas, Huaylas, Áncash, Perú"
ChIJK98mAACFspER5EP7tcqp3v4,https://www.google.com/maps/place/?q=place_id:ChIJK98mAACFspER5EP7tcqp3v4,Pizzería HUAYKAS,Pizzería,"G5FJ+CH3, Ricardo Palma, Cascas 13781",958 312 925,+51 958 312 925,,,"-7.4764957,-78.8182599",5,,"Pizzería en el distrito de Huaylas, Huaylas, Áncash, Perú"
ChIJrTHf4dsNqZER1zMWR157byg,https://www.google.com/maps/place/?q=place_id:ChIJrTHf4dsNqZER1zMWR157byg,La Buona Pizza Restaurante Fusion,Pizzería,"Av. Centenario 715, Independencia 02001",993 232 600,+51 993 232 600,,,"-9.517647799999999,-77.5301829",4.3,,"Pizzería en el distrito de Huaylas, Huaylas, Áncash, Perú"
ChIJqzzbw4K3BZERi5jI75zr7ko,https://www.google.com/maps/place/?q=place_id:ChIJqzzbw4K3BZERi5jI75zr7ko,Chifa Centro,Panadería,"Av. Prol. Huaylas 966, Chorrillos 15064",(01) 2511253,+51 1 2511253,,,"-12.1728846,-77.0207336",3.7,,"Chifa en el distrito de Huaylas, Huaylas, Áncash, Perú"
ChIJ6ciL6t-3BZER5QhIfETNl2s,https://www.google.com/maps/place/?q=place_id:ChIJ6ciL6t-3BZER5QhIfETNl2s,Chifa Feliz,Restaurante chino,"Av. Defensores del Morro 762, Chorrillos 15064",980 833 138,+51 980 833 138,,,"-12.171482,-77.0220698",4,,"Chifa en el distrito de Huaylas, Huaylas, Áncash, Perú"
