id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ-f6EvZ3rBZEReioT7pRclnw,https://www.google.com/maps/place/?q=place_id:ChIJ-f6EvZ3rBZEReioT7pRclnw,Polleria los portales,Restaurante,Pachacamac 15593,999 193 868,+51 999 193 868,facebook.com,https://www.facebook.com/profile.php?id=61550766675318&mibextid=avESrC,"-12.1108005,-76.8747006",4.8,,"Pollería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJ0dSS1rqprpERdg8orxn_B6k,https://www.google.com/maps/place/?q=place_id:ChIJ0dSS1rqprpERdg8orxn_B6k,Polleria «D' BILLY Chicken & Grill»,Restaurante,250,983 067 489,+51 983 067 489,,,"-8.872251799999999,-77.8945841",4.6,,"Pollería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJWzuTdbLRBZERgC-ZPGCE3-I,https://www.google.com/maps/place/?q=place_id:ChIJWzuTdbLRBZERgC-ZPGCE3-I,POLLERIA JUANITO,Restaurante,"El Alamo 888, Comas 15316",947 177 558,+51 947 177 558,,,"-11.9191329,-77.06049639999999",3.9,,"Pollería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJMXq6TsvRBZERWSV4j_Xuo9g,https://www.google.com/maps/place/?q=place_id:ChIJMXq6TsvRBZERWSV4j_Xuo9g,Juanito Pollos y Parrillas,Restaurante,"15314, Av. Victor Andrés Belaunde 923, Comas 15314",(01) 3140599,+51 1 3140599,,,"-11.9347236,-77.05686229999999",3.6,,"Pollería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJkVyIpNvHBZERCV1tPwp5nlQ,https://www.google.com/maps/place/?q=place_id:ChIJkVyIpNvHBZERCV1tPwp5nlQ,Cevicheria La Isla del Lobo,Restaurante,"Av. Áncash 2538, El Agustino 15006",930 100 830,+51 930 100 830,,,"-12.040778399999999,-76.9992774",4,,"Cevichería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJFfXp-3_GBZER5hzygpZpA4k,https://www.google.com/maps/place/?q=place_id:ChIJFfXp-3_GBZER5hzygpZpA4k,Ceviche De Barrio,Marisquería,"Av. Los Chancas 1620, Santa Anita 15011",,,,,"-12.0342059,-76.9525183",4.2,,"Cevichería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJZX9HP9fHBZERWWp10lSP7pY,https://www.google.com/maps/place/?q=place_id:ChIJZX9HP9fHBZERWWp10lSP7pY,El Huarike,Marisquería,"Av. San Borja Nte. 401, San Borja 15036",(01) 2251616,+51 1 2251616,elhuarike.com,http://www.elhuarike.com/,"-12.0940269,-77.00588379999999",4.2,,"Cevichería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJHQTvZyrEBZERReuUH_Q3nmo,https://www.google.com/maps/place/?q=place_id:ChIJHQTvZyrEBZERReuUH_Q3nmo,Cevicheria El piurano,Restaurante peruano,"Av. Los Chancas cuadra 10, Santa Anita 15009",,,tumenuya.com,https://www.tumenuya.com/elpiuranocevicheria,"-12.0355005,-76.9592826",4.4,,"Cevichería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJY72GncPRBZER1vHOf8NHnvQ,https://www.google.com/maps/place/?q=place_id:ChIJY72GncPRBZER1vHOf8NHnvQ,Cebicheria Ancash,Restaurante,"Jirón Igualdad 7825, Los Olivos 15307",969 235 484,+51 969 235 484,,,"-11.939939599999999,-77.07440559999999",4.2,,"Cevichería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJP6ID6-rFBZEReRW9b17O_gQ,https://www.google.com/maps/place/?q=place_id:ChIJP6ID6-rFBZEReRW9b17O_gQ,Beli Pizza,Pizzería,"Av. Metropolitana 1303, Santa Anita 15011",968 870 947,+51 968 870 947,,,"-12.036471899999999,-76.9512907",3.9,,"Pizzería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
ChIJnX_TZgDPBZER1HKa4OvOmqE,https://www.google.com/maps/place/?q=place_id:ChIJnX_TZgDPBZER1HKa4OvOmqE,PEPPERONI PIZZA CLUB (Habich),Pizzería,"Av. Eduardo de Habich 441 B, San Martín de Porres 15103",906 901 604,+51 906 901 604,,,"-12.027100899999999,-77.0553229",4.8,,"Pizzería en el distrito de Santo Toribio, Huaylas, Áncash, Perú"
