id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJdzFDbQDFBZERXr8I145QcBI,https://www.google.com/maps/place/?q=place_id:ChIJdzFDbQDFBZERXr8I145QcBI,Pollería ocaña,Restaurante especializado en pollo,"2XPR+5C2, San Juan de Lurigancho 15412",,,,,"-11.9645882,-77.00896139999999",3,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
ChIJ5cWOQAY3B5ERkbHxilK8Cq4,https://www.google.com/maps/place/?q=place_id:ChIJ5cWOQAY3B5ERkbHxilK8Cq4,POLLERIA TACUCHI BUENA VISTA,Restaurante,"Jirón Alfonso Ugarte 1122, Barranca 15169",910 579 612,+51 910 579 612,,,"-10.7478091,-77.7500946",5,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
ChIJd5eDj4HPBZERL6the-bQB0A,https://www.google.com/maps/place/?q=place_id:ChIJd5eDj4HPBZERL6the-bQB0A,Polleria Frankys,Tienda de aves de corral,"Av. Canto Grande 2274, Lima 15419",(01) 4085707,+51 1 4085707,,,"-11.9932769,-77.0155661",3.9,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
ChIJlw5QK7rFBZERn4lkvz1Tocs,https://www.google.com/maps/place/?q=place_id:ChIJlw5QK7rFBZERn4lkvz1Tocs,Pollos ala Brasa Rocker,Restaurante,"Av. Tullipanes, Cercado de Lima 15416",920 434 875,+51 920 434 875,facebook.com,https://www.facebook.com/polleriarocker?mibextid=ZbWKwL,"-11.9536081,-77.0036597",3.4,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
ChIJrcEZEJfFBZERM2HoXK8sn0o,https://www.google.com/maps/place/?q=place_id:ChIJrcEZEJfFBZERM2HoXK8sn0o,Polleria Rocker,Restaurante,San Juan de Lurigancho 15431,,,,,"-12.007346199999999,-76.99098769999999",5,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
ChIJ2d2PfkbQBZER8si7HiQ7Vfc,https://www.google.com/maps/place/?q=place_id:ChIJ2d2PfkbQBZER8si7HiQ7Vfc,Pollería RICO SABOR,Restaurante,"Av. Túpac Amaru 4652, Lima 15326",904 886 571,+51 904 886 571,,,"-11.9240523,-77.04211029999999",4.2,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
ChIJAahQluDRBZER622hn7z6HNs,https://www.google.com/maps/place/?q=place_id:ChIJAahQluDRBZER622hn7z6HNs,Gran Chicken,Pollería,"Av. Romulo Betancourt Manzana J, Los Olivos 15307",934 074 279,+51 934 074 279,facebook.com,https://www.facebook.com/PolleriaGranChicken,"-11.949506399999999,-77.0803409",4.1,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
ChIJp6tBRFHQBZERWOa6kcokzxo,https://www.google.com/maps/place/?q=place_id:ChIJp6tBRFHQBZERWOa6kcokzxo,Pollería El Refugio,Restaurante peruano,"Av. Los Incas 562, Comas 15316",(01) 5563483,+51 1 5563483,elrefugio-per.ola.click,https://elrefugio-per.ola.click/products,"-11.9140117,-77.0496254",4.1,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
ChIJryUTBRDPBZEREAhB-kxojy0,https://www.google.com/maps/place/?q=place_id:ChIJryUTBRDPBZEREAhB-kxojy0,Gran Chicken,Restaurante,"Av. Gerardo Unger 8385 s/n, San Martín de Comas 15314",930 322 654,+51 930 322 654,,,"-11.9389764,-77.06764679999999",4,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
ChIJWTdenMHRBZERYuuUGyJhkpQ,https://www.google.com/maps/place/?q=place_id:ChIJWTdenMHRBZERYuuUGyJhkpQ,Polleria Mister's Chicken pro,Restaurante,"Bbb5, La Reflexión, Los Olivos 15307",(01) 5526646,+51 1 5526646,facebook.com,https://www.facebook.com/polleria.misterschiken,"-11.9357736,-77.0770046",4,,"Pollería en el distrito de Congas, Ocros, Áncash, Perú"
