id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJxaCJZvfPBZERSqMdm8qDUT8,https://www.google.com/maps/place/?q=place_id:ChIJxaCJZvfPBZERSqMdm8qDUT8,Polleria San Cristobal,Restaurante,"Av. Chinchaysuyo 270, Independencia 15332",(01) 3446107,+51 1 3446107,,,"-11.9793764,-77.0558799",4.4,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJ5cWOQAY3B5ERkbHxilK8Cq4,https://www.google.com/maps/place/?q=place_id:ChIJ5cWOQAY3B5ERkbHxilK8Cq4,POLLERIA TACUCHI BUENA VISTA,Restaurante,"Jirón Alfonso Ugarte 1122, Barranca 15169",910 579 612,+51 910 579 612,,,"-10.7478091,-77.7500946",5,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJZx3HcwDHBZER9oPv66TGQpQ,https://www.google.com/maps/place/?q=place_id:ChIJZx3HcwDHBZER9oPv66TGQpQ,Sazon D Brasa Pollos y Criollos,Restaurante,"Av. los Nogales 476, Santa Anita 15007",943 720 735,+51 943 720 735,pedidosya.com.pe,https://www.pedidosya.com.pe/restaurantes/lima/sazon-d-brasa-los-nogales-7a6bf310-da25-4f71-80ce-a9afb52dcfef-menu,"-12.0547281,-76.9817789",5,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJlw5QK7rFBZERn4lkvz1Tocs,https://www.google.com/maps/place/?q=place_id:ChIJlw5QK7rFBZERn4lkvz1Tocs,Pollos ala Brasa Rocker,Restaurante,"Av. Tullipanes, Cercado de Lima 15416",920 434 875,+51 920 434 875,facebook.com,https://www.facebook.com/polleriarocker?mibextid=ZbWKwL,"-11.9536081,-77.0036597",3.4,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJzx6BXAhUrZERCwi7y-ns80Q,https://www.google.com/maps/place/?q=place_id:ChIJzx6BXAhUrZERCwi7y-ns80Q,Polleria Larco,,Paiján 13721,,,,,"-7.7348767,-79.30322989999999",5,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJo8W3ZU_bBZERQJR_lepWH8E,https://www.google.com/maps/place/?q=place_id:ChIJo8W3ZU_bBZERQJR_lepWH8E,Pollería Don Julio Pollos & Grill,Restaurante,"Av el Muro 776, Del Cruce con, San Juan de Lurigancho 15453",925 485 232,+51 925 485 232,,,"-11.942454099999999,-76.9924379",3.9,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJb1J_zNU_B5ER-IBhH13dhSM,https://www.google.com/maps/place/?q=place_id:ChIJb1J_zNU_B5ER-IBhH13dhSM,Restaurante Pollería Anita,Tienda de aves de corral,"Ca. 28 de Julio 180, C.P Virgen de las Mercedes 15161",,,,,"-10.762625,-77.6402912",4.8,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJl-MAYxzXBZERNR-6O0m0cxc,https://www.google.com/maps/place/?q=place_id:ChIJl-MAYxzXBZERNR-6O0m0cxc,Pollería,Restaurante,"Cal. G Mz. A, Carabayllo 15319",970 595 885,+51 970 595 885,,,"-11.860025799999999,-77.0157846",4.3,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJT6DeTlQ5B5ERiNjdklg3AR8,https://www.google.com/maps/place/?q=place_id:ChIJT6DeTlQ5B5ERiNjdklg3AR8,"Pollos A La Brasa Y Chifa ""EL ANCASHINO""",Restaurante,"6749+97J, Unnamed Road, Supe Puerto",957 931 378,+51 957 931 378,,,"-10.7940331,-77.73185509999999",4.3,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJ03ETHADVBZERf3uP_83W70c,https://www.google.com/maps/place/?q=place_id:ChIJ03ETHADVBZERf3uP_83W70c,Pollería Araujo,Tienda de aves de corral,"5VP9+64G, Av. Los Arquitectos, Ancón 07076",,,,,"-11.8144516,-77.13241169999999",3,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJFZlV5BZBB5ERaMWgvDfH4R0,https://www.google.com/maps/place/?q=place_id:ChIJFZlV5BZBB5ERaMWgvDfH4R0,POLLERIA PAPASHHH,Restaurante especializado en pollo,"89GF+Q67, Huaito 15170",,,,,"-10.673091999999999,-77.626938",4.5,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJlf0hw9XPBZERZ19jVAJl-Jw,https://www.google.com/maps/place/?q=place_id:ChIJlf0hw9XPBZERZ19jVAJl-Jw,D'Granja Chicken,Restaurante especializado en pollo,"Av. Túpac Amaru 5130, Comas 15311",(01) 5296737,+51 1 5296737,,,"-11.9538619,-77.0515296",4.1,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJM8XA6pzrB5ERryLdnSO40d0,https://www.google.com/maps/place/?q=place_id:ChIJM8XA6pzrB5ERryLdnSO40d0,Kentoky's Oyón,Tienda de aves de corral,"Jirón Huacho 490, Oyón 15274",,,,,"-10.6682771,-76.7737531",4.1,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJqTyZHsdHB5ER1ddAWDoYbGo,https://www.google.com/maps/place/?q=place_id:ChIJqTyZHsdHB5ER1ddAWDoYbGo,"La Chakra, pollos y parrillas",Restaurante,"8855+X8J, 15170",,,,,"-10.6900253,-77.69172669999999",5,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJn8MVhOiBq5ERyQNodXw5u6I,https://www.google.com/maps/place/?q=place_id:ChIJn8MVhOiBq5ERyQNodXw5u6I,Restaurant Pollería El Milagro,Restaurante especializado en pollo,"MZ.E5 LT.13, Jirón Villa del Mar, Coishco",,,,,"-9.022978,-78.6167459",4.6,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJF9RjYAAjB5ERthQ-4MALyBM,https://www.google.com/maps/place/?q=place_id:ChIJF9RjYAAjB5ERthQ-4MALyBM,Pollería santa cruz,Tienda de aves de corral,"29X3+F4X, Av. San Felipe, Santa Cruz 15160",,,,,"-10.9512672,-77.64713429999999",,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJ2QF-aMTRBZERLqJrkmigPdU,https://www.google.com/maps/place/?q=place_id:ChIJ2QF-aMTRBZERLqJrkmigPdU,Polleria riveras chicken,Restaurante,"Av. Túpac Amaru 489, Carabayllo 15313",903 352 387,+51 903 352 387,,,"-11.9029697,-77.0309255",4.6,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJxyNHQLgXB5ERpj3YXPfWfco,https://www.google.com/maps/place/?q=place_id:ChIJxyNHQLgXB5ERpj3YXPfWfco,Restaurant Pollería C. Kasano,Restaurante,"01, Barranca",953 045 413,+51 953 045 413,,,"-10.8901003,-77.5010861",3.7,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJ73CAdF4hB5ERI5kyIVEqk2A,https://www.google.com/maps/place/?q=place_id:ChIJ73CAdF4hB5ERI5kyIVEqk2A,Pollería de primavera,Restaurante,"X9QR+9PM, Av. Panamericana Nte., Primavera 15160",,,,,"-11.0115412,-77.60819099999999",4,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJMxV-SfnrB5ER1eIZ5Mmlhjo,https://www.google.com/maps/place/?q=place_id:ChIJMxV-SfnrB5ER1eIZ5Mmlhjo,Polleria,Tienda de aves de corral,"San Juan 232, Oyón 15274",,,,,"-10.6678889,-76.771643",,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJL2TknlnLBZERnkVOcfwlU1I,https://www.google.com/maps/place/?q=place_id:ChIJL2TknlnLBZERnkVOcfwlU1I,"Pollería Restaurante ""ROJAS""",Tienda de aves de corral,"51, La Perla 07016",982 148 591,+51 982 148 591,,,"-12.076089999999999,-77.1140009",4,,"Pollería en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJO2YNZADPBZERmo_S5LeTMsI,https://www.google.com/maps/place/?q=place_id:ChIJO2YNZADPBZERmo_S5LeTMsI,Mao makis,Restaurante coreano,"Av. El Parral 340, Lima 15311",907 917 836,+51 907 917 836,,,"-11.9618214,-77.0575825",4.5,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJ37FbO6jFBZER2UxZUjkHzT0,https://www.google.com/maps/place/?q=place_id:ChIJ37FbO6jFBZER2UxZUjkHzT0,Ohashi maki sjl,Restaurante japonés,"Av. Los Jardines Oeste 269, San Juan de Lurigancho 15427",,,ohashimaki.pe,https://ohashimaki.pe/,"-12.007892,-77.009534",4.2,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJrWK8m-LIBZER3wPdeYNSNL8,https://www.google.com/maps/place/?q=place_id:ChIJrWK8m-LIBZER3wPdeYNSNL8,Ohashi Maki,Restaurante japonés,"Av. Simón Bolívar 311, Pueblo Libre 15084",(01) 5923284,+51 1 5923284,ohashimaki.pe,http://www.ohashimaki.pe/,"-12.073632,-77.055977",4.2,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJz4Tofy3HBZER4lGmm3gjB0A,https://www.google.com/maps/place/?q=place_id:ChIJz4Tofy3HBZER4lGmm3gjB0A,Okami Sushi Bar,Restaurante japonés,"Av. Flora Tristan 836, Lima 15012",946 059 655,+51 946 059 655,okamisushibar.com,http://www.okamisushibar.com/,"-12.0642511,-76.9451127",4.5,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJlYwHLaXJBZERa69CzrrVUe4,https://www.google.com/maps/place/?q=place_id:ChIJlYwHLaXJBZERa69CzrrVUe4,Ohashi Maki San Miguel,Restaurante japonés,"Av. La Mar 2231, San Miguel 15088",,,,,"-12.0750104,-77.0808563",3.8,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJl5_uxiLIBZER68mfhER7c3c,https://www.google.com/maps/place/?q=place_id:ChIJl5_uxiLIBZER68mfhER7c3c,Ohashi Maki,Restaurante de sushi,"C. Berlín 519, Miraflores 15074",(01) 4153014,+51 1 4153014,,,"-12.120280699999999,-77.03506159999999",4.2,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJfXlPQsTHBZERnmUdp_5Pwqc,https://www.google.com/maps/place/?q=place_id:ChIJfXlPQsTHBZERnmUdp_5Pwqc,Roll-Star Sushi Bar Delivery,Restaurante,"Av. San Luis 2512, San Borja 15037",,,rollstar.com.pe,https://www.rollstar.com.pe/pedir,"-12.0990969,-76.99506819999999",3.7,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJjeHdtizVBZERm6oZhSa6q7Y,https://www.google.com/maps/place/?q=place_id:ChIJjeHdtizVBZERm6oZhSa6q7Y,Okashi nikkei,Restaurante,"Av las Magnolias 138, Ventanilla 07076",974 494 769,+51 974 494 769,,,"-11.8239828,-77.1311492",4.5,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJ4TByrvzIBZERqwlq7gfVG-U,https://www.google.com/maps/place/?q=place_id:ChIJ4TByrvzIBZERqwlq7gfVG-U,Ohashi Maki,Restaurante,"Av. Carlos Izaguirre 576, Los Olivos 15301",965 272 246,+51 965 272 246,ohashimaki.pe,http://www.ohashimaki.pe/,"-11.9903531,-77.06837399999999",4.3,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJefhDqy7RBZERdnGsnQO3QW0,https://www.google.com/maps/place/?q=place_id:ChIJefhDqy7RBZERdnGsnQO3QW0,Maki Lovers Comas,Restaurante japonés,"Av. Micaela Bastidas 822, Comas 15314",902 442 383,+51 902 442 383,makilovers.pe,https://www.makilovers.pe/,"-11.9291074,-77.0547697",4.3,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJtTXTFAC4BZERu4_VstwQTgU,https://www.google.com/maps/place/?q=place_id:ChIJtTXTFAC4BZERu4_VstwQTgU,Runa Makis & Wings,Restaurante,"Simón Salguero 490, Santiago de Surco 15048",920 702 430,+51 920 702 430,instagram.com,https://www.instagram.com/runa_makis_wings/,"-12.130470299999999,-77.0089443",4.3,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJ6XLx7Ww3B5ERTsNWzpy6AA8,https://www.google.com/maps/place/?q=place_id:ChIJ6XLx7Ww3B5ERTsNWzpy6AA8,maksushi,Restaurante,"Jirón Arica 210, Barranca 15169",999 874 450,+51 999 874 450,,,"-10.7550511,-77.7620256",4.1,,"Makis en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJLUikm2vhB5ERHvaagiyqm2A,https://www.google.com/maps/place/?q=place_id:ChIJLUikm2vhB5ERHvaagiyqm2A,Chifa Oriental,Restaurante de cocina mandarina,"9F35+8G, Amadochacra 19600",947 829 613,+51 947 829 613,,,"-10.6466809,-76.5412072",5,,"Comida oriental en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJKaGZZQ3fBpER9Vf_tXZ5f7s,https://www.google.com/maps/place/?q=place_id:ChIJKaGZZQ3fBpER9Vf_tXZ5f7s,Paraiso Oriental,Restaurante,"Mariscal Castilla 256, Huacho 15136",928 756 709,+51 928 756 709,,,"-11.1047028,-77.6044732",4.5,,"Comida oriental en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJ88LnNeC3BZERSwPeZTDxo30,https://www.google.com/maps/place/?q=place_id:ChIJ88LnNeC3BZERSwPeZTDxo30,Ko Asian Kitchen - Larcomar,Restaurante asiático,"Larcomar - Local 207, Mal. de la Reserva 610, Miraflores 15074",932 027 323,+51 932 027 323,koasiankitchen.com,http://koasiankitchen.com/,"-12.131608,-77.0308572",4.4,,"Comida oriental en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJl1Azys3HBZERPXLZMVWJD-k,https://www.google.com/maps/place/?q=place_id:ChIJl1Azys3HBZERPXLZMVWJD-k,Restaurant Xin Yan,Restaurante chino,"Av. San Luis 1950, San Borja 15037",(01) 6351060,+51 1 6351060,salonxinyan.com,http://www.salonxinyan.com/,"-12.0883997,-76.99660879999999",4.4,,"Comida oriental en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJBTZnaNPJBZER_a2qylqXZ9E,https://www.google.com/maps/place/?q=place_id:ChIJBTZnaNPJBZER_a2qylqXZ9E,Sakura Alimento Asiático - Av. Arenales 736,Restaurante asiático,"Av. Gral. Juan Antonio Álvarez de Arenales 736, Jesús María 15046",986 013 775,+51 986 013 775,sakuraalimentoasiatico.com,https://www.sakuraalimentoasiatico.com/,"-12.0718345,-77.0376211",4.3,,"Comida oriental en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJLXp3wKk7B5ERmdhcV1930M4,https://www.google.com/maps/place/?q=place_id:ChIJLXp3wKk7B5ERmdhcV1930M4,Restaurante El Jardín Oriental - Caleta Vidal,Restaurante,Caleta Vidal 15161,999 669 716,+51 999 669 716,eljardinoriental.com,http://www.eljardinoriental.com/,"-10.8549898,-77.70085089999999",4.8,,"Comida oriental en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJIxP8dnPJBZER1VCERjdXPyY,https://www.google.com/maps/place/?q=place_id:ChIJIxP8dnPJBZER1VCERjdXPyY,Dragon Asian Food,Restaurante,"Av. los Insurgentes 305, San Miguel 15087",960 900 075,+51 960 900 075,facebook.com,https://www.facebook.com/DragonAsianFood/,"-12.0744589,-77.1063216",4.5,,"Comida oriental en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJCRzsWEeLBpERgLYjmCRpz6g,https://www.google.com/maps/place/?q=place_id:ChIJCRzsWEeLBpERgLYjmCRpz6g,Comida oriental,Restaurante,"Calle los ángeles de, Av. los Naturales Mz A, Huaral",,,dmateo.online,https://www.dmateo.online/,"-11.488033699999999,-77.2026929",,,"Comida oriental en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
ChIJYcx4liE3B5ERneQVPvgGw_4,https://www.google.com/maps/place/?q=place_id:ChIJYcx4liE3B5ERneQVPvgGw_4,Ohana,Restaurante peruano,"51, Barranca 15169",962 301 314,+51 962 301 314,facebook.com,https://www.facebook.com/share/1At4uKbWSr/,"-10.7525283,-77.7599919",,,"Comida peruana en el distrito de San Cristóbal de Rajan, Ocros, Áncash, Perú"
