id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJqW0rXXzHBZERaCYNEtvRBS8,https://www.google.com/maps/place/?q=place_id:ChIJqW0rXXzHBZERaCYNEtvRBS8,ESTACIÓN KARPA- POLLERIA ARTESANAL,Restaurante especializado en pollo,"Av. Los Quechuas 274, Ate 15022",943 100 771,+51 943 100 771,,,"-12.0739783,-76.9870552",4.4,,"Pollería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJyUunGEjGBZER7s4VzSB7PFo,https://www.google.com/maps/place/?q=place_id:ChIJyUunGEjGBZER7s4VzSB7PFo,Pollería Pihuicho,Pollería,"Av. Los Quechuas 215, Lima 15022",(01) 4342797,+51 1 4342797,facebook.com,https://www.facebook.com/PihuichoSalamanca/,"-12.0736166,-76.9868983",3.9,,"Pollería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJ09CaciV_rpER-RnwGD8gsJI,https://www.google.com/maps/place/?q=place_id:ChIJ09CaciV_rpER-RnwGD8gsJI,Polleria chicken,Restaurante,"P4MW+5CC, Conchucos 02876",918 823 626,+51 918 823 626,,,"-8.267066,-77.8539815",5,,"Pollería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJ8VOjXOzGBZERmWgUVoeXYDs,https://www.google.com/maps/place/?q=place_id:ChIJ8VOjXOzGBZERmWgUVoeXYDs,Pihuicho Pollo Peruano,Restaurante,"Av. Los Constructores 918, La Molina 15012",(01) 3550170,+51 1 3550170,,,"-12.0627298,-76.9487025",4,,"Pollería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJ7zSdMzrFBZERB-8nsxiqe4Y,https://www.google.com/maps/place/?q=place_id:ChIJ7zSdMzrFBZERB-8nsxiqe4Y,Braseros Chicken,Tienda de aves de corral,"Av. José Carlos Mariátegui 2539, El Agustino 15006",991 838 250,+51 991 838 250,,,"-12.031343999999999,-76.99946419999999",4.8,,"Pollería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJnWZLDQDLBZERr3OzZSblgZ4,https://www.google.com/maps/place/?q=place_id:ChIJnWZLDQDLBZERr3OzZSblgZ4,S'Concha La perla,Restaurante,"Av. Costanera 2303, La Perla 07016",947 743 488,+51 947 743 488,,,"-12.0769428,-77.11522599999999",4.5,,"Cevichería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJwcfKOaHJBZERC8-PiNpOV6Q,https://www.google.com/maps/place/?q=place_id:ChIJwcfKOaHJBZERC8-PiNpOV6Q,S´Concha Lince,Restaurante,"Jr. Emilio Althaus 160, Lince 15046",971 422 549,+51 971 422 549,sconcha.pe,http://www.sconcha.pe/,"-12.0809375,-77.0355625",4.2,,"Cevichería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJjfAZsNLJBZERXKrXJBfjH6A,https://www.google.com/maps/place/?q=place_id:ChIJjfAZsNLJBZERXKrXJBfjH6A,S'concha Barriada Cevichera,Restaurante,"Jirón Leoncio Prado 645, Surquillo 15047",970 114 145,+51 970 114 145,,,"-12.117242899999999,-77.0222172",4.4,,"Cevichería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJ6VjIFhLIBZERX8G5XrPMao0,https://www.google.com/maps/place/?q=place_id:ChIJ6VjIFhLIBZERX8G5XrPMao0,Las Conchas Negras Restaurante,Restaurante,"Domingo Elías 839, Surquillo 15047",(01) 2424863,+51 1 2424863,facebook.com,https://www.facebook.com/lasconchasnegras?mibextid=ZbWKwL,"-12.1121311,-77.0230103",4.2,,"Cevichería en el distrito de Conchucos, Pallasca, Áncash, Perú"
ChIJ4fCJdi7JBZERcr5GVtUPGQQ,https://www.google.com/maps/place/?q=place_id:ChIJ4fCJdi7JBZERcr5GVtUPGQQ,SConcha Miraflores,Restaurante peruano,"C. Alfonso Ugarte 150, Miraflores 15074",999 062 934,+51 999 062 934,sconcha.pe,https://www.sconcha.pe/,"-12.1185183,-77.0265579",4.7,,"Cevichería en el distrito de Conchucos, Pallasca, Áncash, Perú"
