id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJh8rGV6olqZERyVB4WT6Pxww,https://www.google.com/maps/place/?q=place_id:ChIJh8rGV6olqZERyVB4WT6Pxww,"Panaderia , Bodega ""Ayala""",Panadería,"RJPM+Q3V, Chacas 02315",,,,,"-9.1630039,-77.3673397",5,,"Panadería en el distrito de Pallasca, Pallasca, Áncash, Perú"
ChIJr6OabjTlBZERsoKTm929qPE,https://www.google.com/maps/place/?q=place_id:ChIJr6OabjTlBZERsoKTm929qPE,Panadería Barranca,Panadería,"Av. Nicolás Ayllón 310, Lurigancho-Chosica 15468",997 304 318,+51 997 304 318,,,"-11.9273519,-76.6878431",4.4,,"Panadería en el distrito de Pallasca, Pallasca, Áncash, Perú"
ChIJQxzhvHUprJERpy3Y4a2X5Pc,https://www.google.com/maps/place/?q=place_id:ChIJQxzhvHUprJERpy3Y4a2X5Pc,MUNICIPALIDAD PROVINCIAL DE PALLASCA - CABANA,Oficina de gobierno local,"PLAZA DE ARMAS Nº 103, 02850",972 678 609,+51 972 678 609,municabana.gob.pe,http://www.municabana.gob.pe/,"-8.3927861,-78.0088473",4.8,,"Panadería en el distrito de Pallasca, Pallasca, Áncash, Perú"
ChIJUycwZoz9qJER_nrfiqUIu6M,https://www.google.com/maps/place/?q=place_id:ChIJUycwZoz9qJER_nrfiqUIu6M,Delia Panadería,Panadería,"Av. San Isidro 108, San Marcos 02395",982 915 813,+51 982 915 813,,,"-9.529491199999999,-77.15906919999999",,,"Panadería en el distrito de Pallasca, Pallasca, Áncash, Perú"
ChIJB6plb-_IBZERUryoFHDid4g,https://www.google.com/maps/place/?q=place_id:ChIJB6plb-_IBZERUryoFHDid4g,El Arte del Pan,Tienda de tartas,"Av. Talara 559, Jesús María 15072",999 910 757,+51 999 910 757,elartedelpan.com,https://www.elartedelpan.com/,"-12.0711637,-77.044241",4.2,,"Panadería en el distrito de Pallasca, Pallasca, Áncash, Perú"
ChIJL7JFa0AlqZERU_8n104z_zE,https://www.google.com/maps/place/?q=place_id:ChIJL7JFa0AlqZERU_8n104z_zE,Panadería,Panadería,"RJQM+QFM, Jirón Raymondi, Chacas 02315",,,,,"-9.160535099999999,-77.36632809999999",,,"Panadería en el distrito de Pallasca, Pallasca, Áncash, Perú"
ChIJDf-lxkclqZER-hHP3nCIM24,https://www.google.com/maps/place/?q=place_id:ChIJDf-lxkclqZER-hHP3nCIM24,Panaderia,Panadería,"RJPM+7M8, Jirón Ramon Castilla, Chacas 02315",,,,,"-9.164325,-77.36579669999999",,,"Panadería en el distrito de Pallasca, Pallasca, Áncash, Perú"
ChIJCV0EQ925BZERaLBbZr9iKdY,https://www.google.com/maps/place/?q=place_id:ChIJCV0EQ925BZERaLBbZr9iKdY,La casita de las salchipapas,Restaurante de comida rápida,"Av. Ayacucho 412, Santiago de Surco 15049",974 660 405,+51 974 660 405,,,"-12.140091799999999,-76.9995685",3.9,,"Salchipapa en el distrito de Pallasca, Pallasca, Áncash, Perú"
ChIJ5ykrkjrJBZERg0Jt0FXZfgU,https://www.google.com/maps/place/?q=place_id:ChIJ5ykrkjrJBZERg0Jt0FXZfgU,El Vaquerito,Restaurante especializado en pollo,"Reynaldo Saavedra Pinón 2631, Lima 15081",950 368 464,+51 950 368 464,instagram.com,https://www.instagram.com/elvaquerito.pe?igsh=MWloZWs0YWFnOXBpMQ==,"-12.0548375,-77.0699389",4.3,,"Salchipapa en el distrito de Pallasca, Pallasca, Áncash, Perú"
ChIJydvtofC5BZEROvmk37mt5ls,https://www.google.com/maps/place/?q=place_id:ChIJydvtofC5BZEROvmk37mt5ls,Salchivoro,Restaurante,"Av. Aviación 3877, Surquillo 15038",,,instagram.com,https://www.instagram.com/salchivoro/,"-12.113938899999999,-76.9994593",3.6,,"Salchipapa en el distrito de Pallasca, Pallasca, Áncash, Perú"
