id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJuZmqSC-lqZERv7fbvAqza1o,https://www.google.com/maps/place/?q=place_id:ChIJuZmqSC-lqZERv7fbvAqza1o,«SANTA ROSA» Pollos a la Brasa,Restaurante,"Av. 31 de Mayo, Catac 02410",(043) 444547,+51 43 444547,,,"-9.803422099999999,-77.431009",4.9,,"Pollería en el distrito de Catac, Recuay, Áncash, Perú"
ChIJhd5oXCqlqZER-eOITC1HjPQ,https://www.google.com/maps/place/?q=place_id:ChIJhd5oXCqlqZER-eOITC1HjPQ,Polleria Mallqui,Restaurante,"9.805314 77.430380, Catac 02410",,,,,"-9.8053282,-77.4304288",,,"Pollería en el distrito de Catac, Recuay, Áncash, Perú"
ChIJzdFTParHBZERc2KeittG0fc,https://www.google.com/maps/place/?q=place_id:ChIJzdFTParHBZERc2KeittG0fc,Santoku Sushi-bar makis,Restaurante de sushi,"Av Cánada 3719 San Luis Gobierno Regional de Lima LIMA, 18",952 328 556,+51 952 328 556,santokusushi.com.pe,http://www.santokusushi.com.pe/,"-12.079882699999999,-76.99232889999999",4.6,,"Makis en el distrito de Catac, Recuay, Áncash, Perú"
ChIJ37FbO6jFBZER2UxZUjkHzT0,https://www.google.com/maps/place/?q=place_id:ChIJ37FbO6jFBZER2UxZUjkHzT0,Ohashi maki sjl,Restaurante japonés,"Av. Los Jardines Oeste 269, San Juan de Lurigancho 15427",,,ohashimaki.pe,https://ohashimaki.pe/,"-12.007892,-77.009534",4.2,,"Makis en el distrito de Catac, Recuay, Áncash, Perú"
ChIJa5DHCYvIBZERKgHs_MW7sMg,https://www.google.com/maps/place/?q=place_id:ChIJa5DHCYvIBZERKgHs_MW7sMg,Ohashi Maki,Restaurante,"Av. Francisco Lazo 1798, Lince 15046",(01) 2652684,+51 1 2652684,facebook.com,https://www.facebook.com/ohashimaki.lince/,"-12.0817763,-77.0307626",4.3,,"Makis en el distrito de Catac, Recuay, Áncash, Perú"
ChIJrWK8m-LIBZER3wPdeYNSNL8,https://www.google.com/maps/place/?q=place_id:ChIJrWK8m-LIBZER3wPdeYNSNL8,Ohashi Maki,Restaurante japonés,"Av. Simón Bolívar 311, Pueblo Libre 15084",(01) 5923284,+51 1 5923284,ohashimaki.pe,http://www.ohashimaki.pe/,"-12.073632,-77.055977",4.2,,"Makis en el distrito de Catac, Recuay, Áncash, Perú"
ChIJv6NyYmjlBZERqLF9n-OksEc,https://www.google.com/maps/place/?q=place_id:ChIJv6NyYmjlBZERqLF9n-OksEc,KOMAKAI SUSHI&BAR NIKKEI,Restaurante,"Jr. Trujillo Sur 660, Lurigancho-Chosica 15468",963 026 327,+51 963 026 327,api.whatsapp.com,https://api.whatsapp.com/send?phone=51963026327,"-11.9376219,-76.6983714",4.7,,"Makis en el distrito de Catac, Recuay, Áncash, Perú"
ChIJ4TByrvzIBZERqwlq7gfVG-U,https://www.google.com/maps/place/?q=place_id:ChIJ4TByrvzIBZERqwlq7gfVG-U,Ohashi Maki,Restaurante,"Av. Carlos Izaguirre 576, Los Olivos 15301",965 272 246,+51 965 272 246,ohashimaki.pe,http://www.ohashimaki.pe/,"-11.9903531,-77.06837399999999",4.3,,"Makis en el distrito de Catac, Recuay, Áncash, Perú"
ChIJlYwHLaXJBZERa69CzrrVUe4,https://www.google.com/maps/place/?q=place_id:ChIJlYwHLaXJBZERa69CzrrVUe4,Ohashi Maki San Miguel,Restaurante japonés,"Av. La Mar 2231, San Miguel 15088",,,,,"-12.0750104,-77.0808563",3.8,,"Makis en el distrito de Catac, Recuay, Áncash, Perú"
ChIJcwZya9HRBZERyPsjkeLglE4,https://www.google.com/maps/place/?q=place_id:ChIJcwZya9HRBZERyPsjkeLglE4,CallyMakis Restobar,Pub restaurante,"Isabel Chimpu Ocllo 204, Carabayllo 15001",922 854 717,+51 922 854 717,m.facebook.com,http://m.facebook.com/CallyMakis/,"-11.8980289,-77.0320794",4.5,,"Makis en el distrito de Catac, Recuay, Áncash, Perú"
