id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ43IJT-3EBZERNxr2zLpmZY8,https://www.google.com/maps/place/?q=place_id:ChIJ43IJT-3EBZERNxr2zLpmZY8,Pollería - Chifa Sam-Sy,Restaurante,Lurigancho-Chosica 15461,929 226 385,+51 929 226 385,,,"-11.9797628,-76.9418626",4.1,,"Pollería en el distrito de Samanco, Santa, Áncash, Perú"
ChIJa50s8Qqbq5ER_11s0LMC-EU,https://www.google.com/maps/place/?q=place_id:ChIJa50s8Qqbq5ER_11s0LMC-EU,"Restaurante - Pollería ""Los Delfines""",Restaurante,"Av. Ramón Castilla, Samanco 02700",990 122 028,+51 990 122 028,facebook.com,https://www.facebook.com/profile.php?id=61554501621871,"-9.262284,-78.4941721",5,,"Pollería en el distrito de Samanco, Santa, Áncash, Perú"
ChIJoddWub7IBZERAZCuLT25Gwo,https://www.google.com/maps/place/?q=place_id:ChIJoddWub7IBZERAZCuLT25Gwo,Chifa Polleria,Tienda de aves de corral,"Jr. Ayacucho 1167, La Victoria 15001",(01) 5624782,+51 1 5624782,,,"-12.0583403,-77.0283955",2.7,,"Pollería en el distrito de Samanco, Santa, Áncash, Perú"
ChIJGdDLrwebq5ERJCJXxVL92IU,https://www.google.com/maps/place/?q=place_id:ChIJGdDLrwebq5ERJCJXxVL92IU,"Rest. Picanteria ""La Marucha Caliente""",Restaurante,"PGW4+79W Playa El Enrocado Samanco, Samanco 02700",922 434 567,+51 922 434 567,,,"-9.2542558,-78.4940355",5,,"Cevichería en el distrito de Samanco, Santa, Áncash, Perú"
ChIJaeJQB6qbq5ERbn9rAxRiTPs,https://www.google.com/maps/place/?q=place_id:ChIJaeJQB6qbq5ERbn9rAxRiTPs,Restaurante y cevicheria “Búscamelo Bonito”,Restaurante,"03182, Samanco 03212",955 211 438,+51 955 211 438,instagram.com,https://www.instagram.com/restbuscamelobonito?igsh=bjk1a3o2bHNkZzBn&utm_source=qr,"-9.2129323,-78.48472559999999",4.5,,"Cevichería en el distrito de Samanco, Santa, Áncash, Perú"
ChIJa50s8Qqbq5ER_11s0LMC-EU,https://www.google.com/maps/place/?q=place_id:ChIJa50s8Qqbq5ER_11s0LMC-EU,"Restaurante - Pollería ""Los Delfines""",Restaurante,"Av. Ramón Castilla, Samanco 02700",990 122 028,+51 990 122 028,facebook.com,https://www.facebook.com/profile.php?id=61554501621871,"-9.262284,-78.4941721",5,,"Cevichería en el distrito de Samanco, Santa, Áncash, Perú"
ChIJXbxbbgCbq5ER3wnHLvLjmNM,https://www.google.com/maps/place/?q=place_id:ChIJXbxbbgCbq5ER3wnHLvLjmNM,"Restaurante cevicheria ""El Paradero""",Restaurante,"PGQ4+F3J, Av. Revolución Peruana, Samanco 02700",,,,,"-9.2612902,-78.4948519",3,,"Cevichería en el distrito de Samanco, Santa, Áncash, Perú"
ChIJA4mLvJabq5ERRCc6Yb0tKyY,https://www.google.com/maps/place/?q=place_id:ChIJA4mLvJabq5ERRCc6Yb0tKyY,Costa Brava,Restaurante,"PGP3+HC8, José Olaya, Samanco 02700",,,,,"-9.2635965,-78.496427",4.5,,"Cevichería en el distrito de Samanco, Santa, Áncash, Perú"
ChIJswkuBxmaq5EREJXy4BeDnoA,https://www.google.com/maps/place/?q=place_id:ChIJswkuBxmaq5EREJXy4BeDnoA,Restaurant Cevicheria El Puma,Restaurante,"PGQ4+C3Q, Samanco 02700",,,,,"-9.2614208,-78.4947677",4.2,,"Cevichería en el distrito de Samanco, Santa, Áncash, Perú"
ChIJK60Hc56Fq5ER3eeLFmYmEjU,https://www.google.com/maps/place/?q=place_id:ChIJK60Hc56Fq5ER3eeLFmYmEjU,Cevicheria el Rincon del Chapu,Restaurante familiar,"Urbanización bruces H-79, Nuevo Chimbote",917 354 213,+51 917 354 213,,,"-9.134319999999999,-78.51777589999999",4.8,,"Cevichería en el distrito de Samanco, Santa, Áncash, Perú"
