id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJfTsm-giVrpERI_EyPWLIg7g,https://www.google.com/maps/place/?q=place_id:ChIJfTsm-giVrpERI_EyPWLIg7g,Pizzas Del Barrio - Sihuas,Pizzería,"Av. 28 de Julio SN, Sihuas 02222",964 870 977,+51 964 870 977,,,"-8.552053899999999,-77.6377689",4.8,,"Pizzería en el distrito de Quiches, Sihuas, Áncash, Perú"
ChIJObkRQWtBqZERcne4CQnSZTc,https://www.google.com/maps/place/?q=place_id:ChIJObkRQWtBqZERcne4CQnSZTc,Santino Café & Bar,Pizzería,"51, Carhuaz 02125",965 930 217,+51 965 930 217,,,"-9.282231099999999,-77.6498227",5,,"Pizzería en el distrito de Quiches, Sihuas, Áncash, Perú"
ChIJETDnTPLzrpERU1D0ChIsxqk,https://www.google.com/maps/place/?q=place_id:ChIJETDnTPLzrpERU1D0ChIsxqk,"Quiches, Sihuas, Ancash Perú",Centro comunitario,"JG56+23, 12B 02234, Quiches 02234",,,,,"-8.3952815,-77.4905654",4.3,,"Pizzería en el distrito de Quiches, Sihuas, Áncash, Perú"
ChIJbbcP_OGVrpER47-FTBL7ytc,https://www.google.com/maps/place/?q=place_id:ChIJbbcP_OGVrpER47-FTBL7ytc,"Chifa Pollería "" El Chinito""",Restaurante,"C9W7+RRW, Sihuas 02222",,,,,"-8.552888399999999,-77.6354195",4,,"Chifa en el distrito de Quiches, Sihuas, Áncash, Perú"
ChIJETDnTPLzrpERU1D0ChIsxqk,https://www.google.com/maps/place/?q=place_id:ChIJETDnTPLzrpERU1D0ChIsxqk,"Quiches, Sihuas, Ancash Perú",Centro comunitario,"JG56+23, 12B 02234, Quiches 02234",,,,,"-8.3952815,-77.4905654",4.3,,"Chifa en el distrito de Quiches, Sihuas, Áncash, Perú"
ChIJXe4zL3OUrpER_-6o5LZyq7I,https://www.google.com/maps/place/?q=place_id:ChIJXe4zL3OUrpER_-6o5LZyq7I,Flores - Panadería & Pastelería,Panadería,"Av. 28 de Julio 427 - Barrio Pingullo Alto, Sihuas 02222",,,,,"-8.555648099999999,-77.6299682",3.9,,"Pastelería en el distrito de Quiches, Sihuas, Áncash, Perú"
ChIJETDnTPLzrpERU1D0ChIsxqk,https://www.google.com/maps/place/?q=place_id:ChIJETDnTPLzrpERU1D0ChIsxqk,"Quiches, Sihuas, Ancash Perú",Centro comunitario,"JG56+23, 12B 02234, Quiches 02234",,,,,"-8.3952815,-77.4905654",4.3,,"Pastelería en el distrito de Quiches, Sihuas, Áncash, Perú"
ChIJWyAOHZ_xrpERJOU-2uA3X6g,https://www.google.com/maps/place/?q=place_id:ChIJWyAOHZ_xrpERJOU-2uA3X6g,Quiches,,02245,,,,,"-8.416667,-77.45",,,"Pastelería en el distrito de Quiches, Sihuas, Áncash, Perú"
ChIJWyAOHZ_xrpERJOU-2uA3X6g,https://www.google.com/maps/place/?q=place_id:ChIJWyAOHZ_xrpERJOU-2uA3X6g,Quiches,,02245,,,,,"-8.416667,-77.45",,,"Panadería en el distrito de Quiches, Sihuas, Áncash, Perú"
ChIJXe4zL3OUrpER_-6o5LZyq7I,https://www.google.com/maps/place/?q=place_id:ChIJXe4zL3OUrpER_-6o5LZyq7I,Flores - Panadería & Pastelería,Panadería,"Av. 28 de Julio 427 - Barrio Pingullo Alto, Sihuas 02222",,,,,"-8.555648099999999,-77.6299682",3.9,,"Panadería en el distrito de Quiches, Sihuas, Áncash, Perú"
