id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJV2lDQQBPqZERX_W9lboBBmM,https://www.google.com/maps/place/?q=place_id:ChIJV2lDQQBPqZERX_W9lboBBmM,Polleria Real Progreso,Restaurante especializado en pollo,"V754+774, Av. Arias Grazziani, Yungay 02160",922 724 780,+51 922 724 780,facebook.com,https://www.facebook.com/share/17MfhBGkR9/?mibextid=wwXIfr,"-9.141850699999999,-77.7443096",4.3,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
ChIJjblkFeJFqZER3XGraKRnAB8,https://www.google.com/maps/place/?q=place_id:ChIJjblkFeJFqZER3XGraKRnAB8,"Pollería ""El Angel""",Restaurante de alas de pollo,"R8JG+GPG, AN-814, Musho 02160",928 283 200,+51 928 283 200,,,"-9.1686801,-77.6731652",5,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
ChIJK9v41ZtPqZERezutJE206BU,https://www.google.com/maps/place/?q=place_id:ChIJK9v41ZtPqZERezutJE206BU,"Pollería ""EL SABROSO""",Restaurante,"V754+C7Q, Yungay 02160",(043) 303104,+51 43 303104,,,"-9.1414013,-77.7442798",4.6,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
ChIJ895EKihPqZERO-j3JBLJA50,https://www.google.com/maps/place/?q=place_id:ChIJ895EKihPqZERO-j3JBLJA50,"Pollería ""El Rinconcito del Barrio""",Restaurante,"V735+64X, Parque De La Fe Cristiana, Cochauaín, Yungay 02160",900 196 233,+51 900 196 233,,,"-9.1468756,-77.7421308",4,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
ChIJPa76oRhRqZERXHX8cx_T9x0,https://www.google.com/maps/place/?q=place_id:ChIJPa76oRhRqZERXHX8cx_T9x0,Pollos Broster Pilar,Restaurante,"V753+W9P, Jirón Sta. Rosa, Yungay 02160",902 744 207,+51 902 744 207,,,"-9.1402272,-77.746501",5,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
ChIJqU7u20tPqZERNBKAzV2dMEA,https://www.google.com/maps/place/?q=place_id:ChIJqU7u20tPqZERNBKAzV2dMEA,Pollería Jordy's,Tienda de aves de corral,"Jr. Santa Rosa, Jr. 28 de julio, Yungay 02158",918 988 677,+51 918 988 677,tiktok.com,https://www.tiktok.com/@polleria.jordys?_r=1&_t=ZS-945LnuqsPcf,"-9.1411915,-77.7457137",,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
ChIJZaRQ9Q1FqZERYJbmIV5xZKU,https://www.google.com/maps/place/?q=place_id:ChIJZaRQ9Q1FqZERYJbmIV5xZKU,Pollos a la brasa MARCOS,Restaurante especializado en pollo,"Av. Perú 556, Tumpa 02160",985 662 648,+51 985 662 648,,,"-9.172844399999999,-77.66225089999999",3.7,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
ChIJuVKRENRPqZEROoE6T0bGPto,https://www.google.com/maps/place/?q=place_id:ChIJuVKRENRPqZEROoE6T0bGPto,Restant Pollería MATIU'S,Restaurante,"V754+C5X, Av. Arias Grazziani, Yungay 02160",925 593 953,+51 925 593 953,,,"-9.1413853,-77.7445247",,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
ChIJ2aaWL-VBqZERM5hYbPvByCc,https://www.google.com/maps/place/?q=place_id:ChIJ2aaWL-VBqZERM5hYbPvByCc,GERARDO'S Polleria Chifa,Restaurante,"La Merced 454, Carhuaz 02127",(043) 261730,+51 43 261730,,,"-9.2822128,-77.6472721",3.4,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
ChIJYX_Zj45PqZERSfQk_znYfx0,https://www.google.com/maps/place/?q=place_id:ChIJYX_Zj45PqZERSfQk_znYfx0,Restaurante La Pulpa,Restaurante,"Unnamed Road, Yungay",995 778 561,+51 995 778 561,,,"-9.1419451,-77.74413559999999",4,,"Pollería en el distrito de Ranrahirca, Yungay, Áncash, Perú"
