id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ-VThpkvHBZER0IeS1P0I9Ac,https://www.google.com/maps/place/?q=place_id:ChIJ-VThpkvHBZER0IeS1P0I9Ac,Pollería el Rey,Tienda de aves de corral,"XX5X+F42, Jr. Áncash, Lima 15006",921 785 260,+51 921 785 260,,,"-12.0413648,-77.002219",,,"Pollería en el distrito de Yanama, Yungay, Áncash, Perú"
ChIJ43IJT-3EBZERNxr2zLpmZY8,https://www.google.com/maps/place/?q=place_id:ChIJ43IJT-3EBZERNxr2zLpmZY8,Pollería - Chifa Sam-Sy,Restaurante,Lurigancho-Chosica 15461,929 226 385,+51 929 226 385,,,"-11.9797628,-76.9418626",4.1,,"Pollería en el distrito de Yanama, Yungay, Áncash, Perú"
ChIJtWk4bRXHBZERaGEQBqOhu_0,https://www.google.com/maps/place/?q=place_id:ChIJtWk4bRXHBZERaGEQBqOhu_0,"Pollería ""El Rey""",Restaurante especializado en pollo,"Guayabos 128, El Agustino 15007",904 402 450,+51 904 402 450,,,"-12.0393665,-76.9933241",5,,"Pollería en el distrito de Yanama, Yungay, Áncash, Perú"
ChIJK48IkyfFBZERWNOZl7GRrok,https://www.google.com/maps/place/?q=place_id:ChIJK48IkyfFBZERWNOZl7GRrok,Walpa Chicken - Campoy,Restaurante,"Av. S. Martín, San Juan de Lurigancho 15457",924 068 913,+51 924 068 913,walpachicken.com,http://www.walpachicken.com/,"-12.0241895,-76.96800069999999",3.5,,"Pollería en el distrito de Yanama, Yungay, Áncash, Perú"
ChIJe0PugwbEBZERCTRYXwl6YyQ,https://www.google.com/maps/place/?q=place_id:ChIJe0PugwbEBZERCTRYXwl6YyQ,Polleria Ñaños Sede Santa maria,Restaurante peruano,"Sta. Maria 260, Ate 15498",(01) 3696515,+51 1 3696515,,,"-12.027839799999999,-76.9235479",3.7,,"Pollería en el distrito de Yanama, Yungay, Áncash, Perú"
ChIJVRI2ZbzHBZERT9ZBhYUHzx0,https://www.google.com/maps/place/?q=place_id:ChIJVRI2ZbzHBZERT9ZBhYUHzx0,Pollería Y Cevichería Rudy's,Restaurante,"Blvd. República 625, Lima 15003",910 324 101,+51 910 324 101,,,"-12.049657199999999,-77.0106126",4,,"Pollería en el distrito de Yanama, Yungay, Áncash, Perú"
ChIJKd_SKPPIBZERUrt5JODZnO0,https://www.google.com/maps/place/?q=place_id:ChIJKd_SKPPIBZERUrt5JODZnO0,El Mana Pollos y Parrillas,Restaurante,"Calle Teodoro Cárdenas 340, Lima 15046",(01) 2650319,+51 1 2650319,elmana.pe,https://www.elmana.pe/,"-12.077642299999999,-77.03392269999999",4.1,,"Pollería en el distrito de Yanama, Yungay, Áncash, Perú"
ChIJ2aaWL-VBqZERM5hYbPvByCc,https://www.google.com/maps/place/?q=place_id:ChIJ2aaWL-VBqZERM5hYbPvByCc,GERARDO'S Polleria Chifa,Restaurante,"La Merced 454, Carhuaz 02127",(043) 261730,+51 43 261730,,,"-9.2822128,-77.6472721",3.4,,"Pollería en el distrito de Yanama, Yungay, Áncash, Perú"
ChIJoddWub7IBZERAZCuLT25Gwo,https://www.google.com/maps/place/?q=place_id:ChIJoddWub7IBZERAZCuLT25Gwo,Chifa Polleria,Tienda de aves de corral,"Jr. Ayacucho 1167, La Victoria 15001",(01) 5624782,+51 1 5624782,,,"-12.0583403,-77.0283955",2.7,,"Pollería en el distrito de Yanama, Yungay, Áncash, Perú"
ChIJc3u2J8fPBZERVCB14c2-BK4,https://www.google.com/maps/place/?q=place_id:ChIJc3u2J8fPBZERVCB14c2-BK4,D' Génova Pizza,Pizzería,"Jr. Moquegua 299, San Juan de Lurigancho 15004",902 563 873,+51 902 563 873,,,"-12.025552699999999,-77.015564",3.8,,"Pizzería en el distrito de Yanama, Yungay, Áncash, Perú"
